model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-09T05:01:59.494318

Build Times
provider,build_time_s
torchinferno,333.6
vllm,1367.0
sglang,213.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,163.32,150.19,sglang
ttft_p99_ms,,976.20,7308.79,vllm
tpot_median_ms,,59.62,72.86,vllm
tpot_p99_ms,,134.25,430.43,vllm
e2e_median_ms,,220.15,219.13,sglang
e2e_p99_ms,,1030.09,7703.57,vllm
throughput_median_tps,,6.85,5.39,vllm
total_output_tokens,,1459,1460,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,204.27,204.68,vllm
ttft_p99_ms,,409.79,71348.49,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,228.77,338.92,vllm
e2e_p99_ms,,441.52,71431.34,vllm
throughput_median_tps,,4.37,2.95,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,182.66,166.43,sglang
ttft_p99_ms,,359.22,555.46,vllm
tpot_median_ms,,70.45,96.35,vllm
tpot_p99_ms,,225.93,235.67,vllm
e2e_median_ms,,249.50,267.91,vllm
e2e_p99_ms,,460.95,616.16,vllm
throughput_median_tps,,5.86,4.95,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,148.56,305.56,vllm
ttft_last_turn_ms,,176.53,198.48,vllm
ttft_growth_ratio,,1.19,0.65,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,60.20,83.28,vllm
ttft_p99_ms,,2014.91,942.70,sglang
tpot_median_ms,,28.18,46.88,vllm
tpot_p99_ms,,1720.46,130.00,sglang
e2e_median_ms,,82.16,142.94,vllm
e2e_p99_ms,,2041.03,992.64,sglang
throughput_median_tps,,14.68,9.64,vllm
total_output_tokens,,1475,1477,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,69.93,79.05,vllm
ttft_p99_ms,,116.16,166.20,vllm
tpot_median_ms,,14.80,23.26,vllm
tpot_p99_ms,,19.80,28.22,vllm
e2e_median_ms,,599.44,883.43,vllm
e2e_p99_ms,,997.22,1669.05,vllm
throughput_median_tps,,59.93,40.29,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,816.19,0.00,817.10,1,1.22,1
vllm,few_shot,1,813.28,0.00,814.77,1,1.23,1
vllm,few_shot,2,819.32,0.00,820.69,1,1.22,1
vllm,few_shot,3,817.26,0.00,818.97,1,1.22,1
vllm,few_shot,4,818.38,0.00,821.71,1,1.22,1
vllm,few_shot,5,842.14,43.90,886.03,2,2.26,1
vllm,few_shot,6,868.83,0.00,888.52,1,1.13,1
vllm,few_shot,7,864.76,0.00,890.11,1,1.12,1
vllm,few_shot,8,879.34,0.00,901.22,1,1.11,1
vllm,few_shot,9,873.93,0.00,900.25,1,1.11,1
vllm,few_shot,10,882.94,0.00,905.25,1,1.10,1
vllm,few_shot,11,877.55,0.00,905.44,1,1.10,1
vllm,few_shot,12,881.41,0.00,906.36,1,1.10,1
vllm,few_shot,13,877.19,0.00,906.95,1,1.10,1
vllm,few_shot,14,878.02,0.00,909.95,1,1.10,1
vllm,few_shot,15,885.32,0.00,961.52,1,1.04,1
vllm,few_shot,16,867.23,99.43,966.65,2,2.07,1
vllm,few_shot,17,879.57,97.25,976.82,2,2.05,1
vllm,few_shot,18,891.93,0.00,969.69,1,1.03,1
vllm,few_shot,19,872.73,107.52,980.25,2,2.04,1
vllm,few_shot,20,867.71,107.98,975.69,2,2.05,1
vllm,few_shot,21,883.37,106.81,990.19,2,2.02,1
vllm,few_shot,22,874.24,111.94,986.18,2,2.03,1
vllm,few_shot,23,876.25,110.10,986.35,2,2.03,1
vllm,few_shot,24,874.13,114.14,988.26,2,2.02,1
vllm,few_shot,25,875.85,112.63,988.47,2,2.02,1
vllm,few_shot,26,886.23,0.00,979.86,1,1.02,1
vllm,few_shot,27,878.57,110.46,989.03,2,2.02,1
vllm,few_shot,28,962.71,0.00,983.10,1,1.02,1
vllm,few_shot,29,956.87,0.00,983.91,1,1.02,1
vllm,few_shot,30,961.16,0.00,986.94,1,1.01,1
vllm,few_shot,31,966.75,0.00,990.65,1,1.01,1
vllm,few_shot,32,886.98,109.34,996.32,2,2.01,1
vllm,few_shot,33,959.36,0.00,992.33,1,1.01,1
vllm,few_shot,34,957.80,0.00,995.91,1,1.00,1
vllm,few_shot,35,964.37,0.00,994.98,1,1.01,1
vllm,few_shot,36,898.70,100.31,999.01,2,2.00,1
vllm,few_shot,37,972.53,0.00,998.60,1,1.00,1
vllm,few_shot,38,967.16,0.00,997.81,1,1.00,1
vllm,few_shot,39,953.79,46.51,1000.30,2,2.00,1
vllm,few_shot,40,969.66,32.88,1002.54,2,1.99,1
vllm,few_shot,41,184.74,0.00,201.70,1,4.96,1
vllm,few_shot,42,121.66,0.00,121.88,1,8.21,1
vllm,few_shot,43,211.41,0.00,211.66,1,4.72,1
vllm,few_shot,44,976.20,29.38,1005.57,2,1.99,1
vllm,few_shot,45,960.82,0.00,1012.45,1,0.99,1
