model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T18:14:44.318867+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,158.90,144.66,171.75,sglang
ttft_p99_ms,771.78,666.61,4469.39,sglang
tpot_median_ms,60.98,90.20,54.21,torchinferno
tpot_p99_ms,150.95,639.91,1244.18,vllm
e2e_median_ms,208.97,230.45,220.55,vllm
e2e_p99_ms,848.25,775.25,4514.98,sglang
throughput_median_tps,6.87,5.21,5.10,vllm
total_output_tokens,1460,1457,1454,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,177.42,220.07,155.47,torchinferno
ttft_p99_ms,579.08,59320.48,660.34,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,333.45,431.53,334.52,vllm
e2e_p99_ms,795.34,59466.88,884.97,vllm
throughput_median_tps,3.00,2.32,2.99,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,131.73,177.07,484.75,vllm
ttft_p99_ms,344.60,707.16,2339.12,vllm
tpot_median_ms,83.83,115.71,68.52,torchinferno
tpot_p99_ms,264.59,423.58,153.31,torchinferno
e2e_median_ms,214.59,289.87,541.50,vllm
e2e_p99_ms,461.72,818.46,2388.61,vllm
throughput_median_tps,5.90,4.38,2.28,vllm
total_output_tokens,1450,1436,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,133.50,124.41,1251.79,sglang
ttft_last_turn_ms,138.33,289.73,948.71,vllm
ttft_growth_ratio,1.04,2.33,0.76,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,73.38,77.61,309.27,vllm
ttft_p99_ms,165.58,543.53,1436.45,vllm
tpot_median_ms,35.24,63.15,57.05,vllm
tpot_p99_ms,121.81,221.10,549.63,vllm
e2e_median_ms,99.93,148.97,342.78,vllm
e2e_p99_ms,197.54,741.08,1478.70,vllm
throughput_median_tps,12.04,8.84,4.07,vllm
total_output_tokens,1474,1481,1455,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,85.59,100.31,296.52,vllm
ttft_p99_ms,204.85,679.93,1940.83,vllm
tpot_median_ms,18.76,25.81,28.05,vllm
tpot_p99_ms,24.06,34.30,186.55,vllm
e2e_median_ms,755.15,996.41,1466.53,vllm
e2e_p99_ms,1308.48,1982.80,3751.35,vllm
throughput_median_tps,46.98,34.96,25.67,vllm
total_output_tokens,36715,36704,36715,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,644.20,0.00,645.07,1,1.55,1
vllm,few_shot,1,642.60,0.00,644.47,1,1.55,1
vllm,few_shot,2,659.74,0.00,674.42,1,1.48,1
vllm,few_shot,3,690.62,0.00,721.56,1,1.39,1
vllm,few_shot,4,690.02,0.00,721.06,1,1.39,1
vllm,few_shot,5,689.37,0.00,724.52,1,1.38,1
vllm,few_shot,6,696.07,0.00,731.83,1,1.37,1
vllm,few_shot,7,699.45,0.00,733.32,1,1.36,1
vllm,few_shot,8,700.94,0.00,738.89,1,1.35,1
vllm,few_shot,9,692.44,0.00,731.76,1,1.37,1
vllm,few_shot,10,701.57,0.00,739.70,1,1.35,1
vllm,few_shot,11,721.56,0.00,767.58,1,1.30,1
vllm,few_shot,12,688.76,88.24,777.00,2,2.57,1
vllm,few_shot,13,691.23,85.14,776.37,2,2.58,1
vllm,few_shot,14,699.29,89.44,788.73,2,2.54,1
vllm,few_shot,15,718.95,0.00,770.63,1,1.30,1
vllm,few_shot,16,699.87,94.36,794.22,2,2.52,1
vllm,few_shot,17,711.29,0.00,779.05,1,1.28,1
vllm,few_shot,18,712.58,0.00,781.50,1,1.28,1
vllm,few_shot,19,703.13,94.41,797.54,2,2.51,1
vllm,few_shot,20,719.19,0.00,780.15,1,1.28,1
vllm,few_shot,21,688.04,98.79,786.83,2,2.54,1
vllm,few_shot,22,692.15,99.71,791.86,2,2.53,1
vllm,few_shot,23,719.08,83.75,802.82,2,2.49,1
vllm,few_shot,24,764.26,0.00,790.45,1,1.27,1
vllm,few_shot,25,716.00,85.64,801.65,2,2.49,1
vllm,few_shot,26,763.16,0.00,794.09,1,1.26,1
vllm,few_shot,27,762.23,0.00,801.89,1,1.25,1
vllm,few_shot,28,768.18,0.00,795.62,1,1.26,1
vllm,few_shot,29,757.06,0.00,799.80,1,1.25,1
vllm,few_shot,30,717.83,94.52,812.35,2,2.46,1
vllm,few_shot,31,755.59,0.00,799.83,1,1.25,1
vllm,few_shot,32,758.39,0.00,803.22,1,1.24,1
vllm,few_shot,33,762.41,0.00,811.23,1,1.23,1
vllm,few_shot,34,717.28,98.91,816.19,2,2.45,1
vllm,few_shot,35,776.51,0.00,805.84,1,1.24,1
vllm,few_shot,36,760.63,0.00,801.27,1,1.25,1
vllm,few_shot,37,761.62,0.00,802.32,1,1.25,1
vllm,few_shot,38,185.93,0.00,190.09,1,5.26,1
vllm,few_shot,39,723.70,98.67,822.37,2,2.43,1
vllm,few_shot,40,755.96,53.46,809.42,2,2.47,1
vllm,few_shot,41,755.33,0.00,814.90,1,1.23,1
vllm,few_shot,42,760.55,54.79,815.33,2,2.45,1
vllm,few_shot,43,748.75,0.00,814.02,1,1.23,1
vllm,few_shot,44,771.78,50.05,821.84,2,2.43,1
vllm,few_shot,45,754.48,62.73,817.21,2,2.45,1
vllm,few_shot,46,716.77,115.68,832.44,2,2.40,1
vllm,few_shot,47,135.24,0.00,176.05,1,5.68,1
vllm,few_shot,48,775.21,0.00,834.57,1,1.20,1
vllm,few_shot,49,803.21,19.72,822.92,2,2.43,1
vllm,few_shot,50,95.94,0.00,114.23,1,8.75,1
