model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-22T09:03:36.304679

Build Times
provider,build_time_s
torchinferno,343.9
vllm,1326.9
sglang,197.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.12,165.65,138.78,sglang
ttft_p99_ms,1950.23,627.49,4656.50,vllm
tpot_median_ms,155.27,58.45,73.45,vllm
tpot_p99_ms,208.17,146.81,7302.14,vllm
e2e_median_ms,390.82,223.65,205.42,sglang
e2e_p99_ms,2146.15,661.73,11939.03,vllm
throughput_median_tps,3.79,6.45,5.98,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,272.29,183.14,205.84,vllm
ttft_p99_ms,1750.10,434.51,70605.12,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,303.18,206.92,333.22,vllm
e2e_p99_ms,1785.32,458.35,70685.26,vllm
throughput_median_tps,3.30,4.83,3.00,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,698.79,167.88,151.43,sglang
ttft_p99_ms,2045.16,318.90,774.93,vllm
tpot_median_ms,114.43,54.16,102.41,vllm
tpot_p99_ms,404.10,178.76,235.94,vllm
e2e_median_ms,829.30,214.48,251.87,vllm
e2e_p99_ms,2292.31,408.64,848.94,vllm
throughput_median_tps,1.49,6.46,5.30,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1074.46,145.16,114.03,sglang
ttft_last_turn_ms,648.01,162.87,180.80,vllm
ttft_growth_ratio,0.60,1.12,1.59,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,357.60,57.35,74.49,vllm
ttft_p99_ms,959.22,105.09,484.11,vllm
tpot_median_ms,131.34,26.90,54.41,vllm
tpot_p99_ms,262.07,43.35,162.91,vllm
e2e_median_ms,460.50,78.07,135.84,vllm
e2e_p99_ms,1170.36,149.72,602.95,vllm
throughput_median_tps,2.98,15.68,10.06,vllm
total_output_tokens,1466,1476,1484,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,782.57,66.02,70.07,vllm
ttft_p99_ms,2528.72,103.40,116.41,vllm
tpot_median_ms,15.97,14.99,22.45,vllm
tpot_p99_ms,39.19,18.93,27.26,vllm
e2e_median_ms,1388.55,597.49,821.66,vllm
e2e_p99_ms,3381.44,1009.51,1568.22,vllm
throughput_median_tps,26.72,59.37,42.20,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,929.87,269.79,1199.66,2,1.67,1
torchinferno,few_shot,1,1944.31,0.00,2029.86,1,0.49,1
torchinferno,few_shot,2,1943.30,0.00,2028.78,1,0.49,1
torchinferno,few_shot,3,1937.79,0.00,2031.87,1,0.49,1
torchinferno,few_shot,4,1937.55,0.00,2033.15,1,0.49,1
torchinferno,few_shot,5,1939.77,0.00,2037.53,1,0.49,1
torchinferno,few_shot,6,1934.40,0.00,2032.13,1,0.49,1
torchinferno,few_shot,7,1936.42,0.00,2032.19,1,0.49,1
torchinferno,few_shot,8,1941.76,0.00,2033.88,1,0.49,1
torchinferno,few_shot,9,1937.85,0.00,2037.44,1,0.49,1
torchinferno,few_shot,10,1943.22,0.00,2041.46,1,0.49,1
torchinferno,few_shot,11,1947.76,0.00,2042.31,1,0.49,1
torchinferno,few_shot,12,1944.98,0.00,2038.95,1,0.49,1
torchinferno,few_shot,13,1939.30,0.00,2040.79,1,0.49,1
torchinferno,few_shot,14,1947.23,0.00,2046.89,1,0.49,1
torchinferno,few_shot,15,1936.96,0.00,2051.61,1,0.49,1
torchinferno,few_shot,16,1942.68,0.00,2057.27,1,0.49,1
torchinferno,few_shot,17,1942.24,0.00,2059.96,1,0.49,1
torchinferno,few_shot,18,1951.18,0.00,2055.69,1,0.49,1
torchinferno,few_shot,19,1941.70,0.00,2061.93,1,0.48,1
torchinferno,few_shot,20,740.72,0.00,862.93,1,1.16,1
torchinferno,few_shot,21,1936.78,0.00,2060.80,1,0.49,1
torchinferno,few_shot,22,1950.23,0.00,2061.79,1,0.49,1
torchinferno,few_shot,23,1942.18,0.00,2066.06,1,0.48,1
torchinferno,few_shot,24,1945.57,0.00,2068.38,1,0.48,1
torchinferno,few_shot,25,1948.13,0.00,2069.55,1,0.48,1
torchinferno,few_shot,26,1945.47,0.00,2069.75,1,0.48,1
torchinferno,few_shot,27,1957.19,0.00,2076.37,1,0.48,1
torchinferno,few_shot,28,1939.78,0.00,2078.10,1,0.48,1
torchinferno,few_shot,29,1957.60,0.00,2083.53,1,0.48,1
torchinferno,few_shot,30,1950.60,0.00,2078.77,1,0.48,1
torchinferno,few_shot,31,1937.18,0.00,2079.21,1,0.48,1
torchinferno,few_shot,32,1938.77,0.00,2084.47,1,0.48,1
torchinferno,few_shot,33,1945.13,0.00,2091.68,1,0.48,1
torchinferno,few_shot,34,1936.47,178.16,2114.63,2,0.95,1
torchinferno,few_shot,35,1952.35,163.43,2115.78,2,0.95,1
torchinferno,few_shot,36,1937.23,176.12,2113.35,2,0.95,1
torchinferno,few_shot,37,1945.25,166.94,2112.19,2,0.95,1
torchinferno,few_shot,38,1939.64,176.48,2116.12,2,0.95,1
torchinferno,few_shot,39,1935.30,181.50,2116.80,2,0.94,1
torchinferno,few_shot,40,1941.41,187.54,2128.94,2,0.94,1
torchinferno,few_shot,41,1934.84,189.35,2124.19,2,0.94,1
torchinferno,few_shot,42,1944.68,180.78,2125.47,2,0.94,1
torchinferno,few_shot,43,1937.40,193.50,2130.89,2,0.94,1
torchinferno,few_shot,44,1955.02,175.79,2130.81,2,0.94,1
torchinferno,few_shot,45,1954.65,178.38,2133.04,2,0.94,1
torchinferno,few_shot,46,1941.05,188.85,2129.90,2,0.94,1
torchinferno,few_shot,47,1941.21,188.85,2130.07,2,0.94,1
torchinferno,few_shot,48,1936.03,196.02,2132.06,2,0.94,1
torchinferno,few_shot,49,1945.46,199.26,2144.73,2,0.93,1
torchinferno,few_shot,50,1941.73,196.77,2138.50,2,0.94,1
torchinferno,few_shot,51,1943.23,193.43,2136.66,2,0.94,1
torchinferno,few_shot,52,1941.85,199.45,2141.29,2,0.93,1
torchinferno,few_shot,53,1937.10,208.17,2145.27,2,0.93,1
torchinferno,few_shot,54,1946.93,199.22,2146.15,2,0.93,1
torchinferno,few_shot,55,1940.35,206.87,2147.22,2,0.93,1
torchinferno,few_shot,56,1940.14,203.46,2143.60,2,0.93,1
torchinferno,few_shot,57,1948.93,201.03,2149.95,2,0.93,1
torchinferno,few_shot,58,1940.75,207.20,2147.95,2,0.93,1
torchinferno,few_shot,59,1956.68,200.77,2157.45,2,0.93,1
torchinferno,few_shot,60,1945.61,207.91,2153.52,2,0.93,1
torchinferno,few_shot,61,1940.53,221.07,2161.61,2,0.93,1
torchinferno,few_shot,62,1942.69,209.21,2151.90,2,0.93,1
torchinferno,few_shot,63,1953.70,205.10,2158.80,2,0.93,1
torchinferno,few_shot,64,1947.88,210.86,2158.74,2,0.93,1
torchinferno,few_shot,65,196.19,0.00,268.56,1,3.72,1
torchinferno,few_shot,66,212.52,0.00,282.19,1,3.54,1
torchinferno,few_shot,67,153.94,0.00,224.70,1,4.45,1
torchinferno,few_shot,68,157.17,0.00,230.27,1,4.34,1
torchinferno,few_shot,69,204.27,0.00,282.17,1,3.54,1
torchinferno,few_shot,70,172.31,0.00,255.53,1,3.91,1
torchinferno,few_shot,71,212.80,0.00,296.80,1,3.37,1
torchinferno,few_shot,72,185.61,0.00,271.24,1,3.69,1
torchinferno,few_shot,73,174.77,0.00,258.95,1,3.86,1
torchinferno,few_shot,74,184.85,0.00,276.54,1,3.62,1
torchinferno,few_shot,75,175.61,0.00,264.09,1,3.79,1
torchinferno,few_shot,76,208.09,0.00,294.85,1,3.39,1
torchinferno,few_shot,77,173.59,0.00,264.51,1,3.78,1
torchinferno,few_shot,78,163.25,0.00,253.55,1,3.94,1
torchinferno,few_shot,79,211.02,0.00,303.90,1,3.29,1
torchinferno,few_shot,80,171.33,0.00,267.07,1,3.74,1
torchinferno,few_shot,81,207.12,0.00,308.62,1,3.24,1
torchinferno,few_shot,82,184.16,0.00,284.65,1,3.51,1
torchinferno,few_shot,83,207.78,0.00,310.79,1,3.22,1
torchinferno,few_shot,84,201.95,0.00,300.81,1,3.32,1
torchinferno,few_shot,85,181.43,0.00,283.79,1,3.52,1
torchinferno,few_shot,86,164.70,0.00,273.03,1,3.66,1
torchinferno,few_shot,87,193.10,150.27,343.37,2,5.82,1
torchinferno,few_shot,88,199.37,151.97,351.34,2,5.69,1
torchinferno,few_shot,89,202.62,155.30,357.92,2,5.59,1
torchinferno,few_shot,90,169.06,148.54,317.60,2,6.30,1
torchinferno,few_shot,91,167.24,155.29,322.53,2,6.20,1
torchinferno,few_shot,92,191.55,155.51,347.06,2,5.76,1
torchinferno,few_shot,93,197.54,158.93,356.46,2,5.61,1
torchinferno,few_shot,94,182.08,159.26,341.35,2,5.86,1
torchinferno,few_shot,95,164.82,156.80,321.62,2,6.22,1
torchinferno,few_shot,96,184.89,157.72,342.61,2,5.84,1
torchinferno,few_shot,97,195.71,159.99,355.70,2,5.62,1
torchinferno,few_shot,98,423.56,0.00,482.19,1,2.07,1
torchinferno,few_shot,99,415.98,0.00,470.95,1,2.12,1
torchinferno,few_shot,100,215.63,0.00,278.15,1,3.60,1
torchinferno,few_shot,101,218.39,0.00,290.95,1,3.44,1
torchinferno,few_shot,102,185.94,0.00,259.92,1,3.85,1
torchinferno,few_shot,103,388.30,0.00,466.21,1,2.14,1
torchinferno,few_shot,104,394.31,0.00,471.78,1,2.12,1
torchinferno,few_shot,105,382.46,0.00,454.45,1,2.20,1
torchinferno,few_shot,106,385.85,0.00,470.13,1,2.13,1
torchinferno,few_shot,107,401.56,0.00,481.56,1,2.08,1
torchinferno,few_shot,108,377.01,0.00,465.11,1,2.15,1
torchinferno,few_shot,109,410.50,0.00,501.67,1,1.99,1
torchinferno,few_shot,110,219.62,0.00,307.07,1,3.26,1
torchinferno,few_shot,111,412.89,0.00,502.29,1,1.99,1
torchinferno,few_shot,112,205.71,0.00,287.54,1,3.48,1
torchinferno,few_shot,113,395.69,0.00,492.89,1,2.03,1
torchinferno,few_shot,114,390.77,0.00,490.46,1,2.04,1
torchinferno,few_shot,115,195.22,0.00,289.46,1,3.45,1
torchinferno,few_shot,116,404.68,0.00,503.26,1,1.99,1
torchinferno,few_shot,117,205.54,0.00,306.13,1,3.27,1
torchinferno,few_shot,118,220.50,0.00,325.95,1,3.07,1
torchinferno,few_shot,119,423.69,0.00,521.35,1,1.92,1
torchinferno,few_shot,120,396.32,0.00,492.93,1,2.03,1
torchinferno,few_shot,121,210.82,0.00,315.76,1,3.17,1
torchinferno,few_shot,122,212.83,0.00,324.45,1,3.08,1
torchinferno,few_shot,123,209.18,0.00,316.14,1,3.16,1
