model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T17:29:50.539974+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,242.18,128.12,165.78,sglang
ttft_p99_ms,831.39,570.66,2718.51,sglang
tpot_median_ms,90.27,76.45,48.14,torchinferno
tpot_p99_ms,220.80,158.82,698.86,sglang
e2e_median_ms,323.86,205.88,205.59,torchinferno
e2e_p99_ms,922.29,602.25,2770.55,sglang
throughput_median_tps,4.28,5.88,5.55,sglang
total_output_tokens,1463,1463,1454,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,233.71,201.06,315.32,sglang
ttft_p99_ms,605.46,783.54,720.77,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,289.14,390.91,352.77,vllm
e2e_p99_ms,687.51,1007.13,854.87,vllm
throughput_median_tps,3.46,2.56,2.83,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,281.43,142.98,314.73,sglang
ttft_p99_ms,458.71,601.59,1136.50,vllm
tpot_median_ms,103.89,117.64,64.85,torchinferno
tpot_p99_ms,326.18,505.41,631.50,vllm
e2e_median_ms,373.19,267.62,373.51,sglang
e2e_p99_ms,574.38,664.58,1184.56,vllm
throughput_median_tps,3.94,4.89,3.32,sglang
total_output_tokens,1450,1448,1446,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,282.84,152.53,757.83,sglang
ttft_last_turn_ms,281.58,162.66,359.82,sglang
ttft_growth_ratio,1.00,1.07,0.47,torchinferno
ttft_first_turn_median_ms,292.98,83.72,967.47,sglang
ttft_first_turn_p99_ms,458.44,309.44,1269.91,sglang
ttft_last_turn_median_ms,288.35,158.44,364.18,sglang
ttft_last_turn_p99_ms,454.37,297.20,426.84,sglang

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,124.97,63.98,272.26,sglang
ttft_p99_ms,179.74,274.89,650.05,vllm
tpot_median_ms,83.24,69.63,48.20,torchinferno
tpot_p99_ms,106.32,638.73,240.59,vllm
e2e_median_ms,185.32,140.01,313.64,sglang
e2e_p99_ms,270.06,704.14,671.67,vllm
throughput_median_tps,6.80,9.82,4.57,sglang
total_output_tokens,1471,1464,1465,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,93.04,61.04,283.49,sglang
ttft_p99_ms,456.16,321.29,2501.63,sglang
tpot_median_ms,26.85,24.72,24.92,sglang
tpot_p99_ms,42.23,42.56,85.24,vllm
e2e_median_ms,1118.25,932.82,1207.77,sglang
e2e_p99_ms,1924.70,1708.76,3288.49,sglang
throughput_median_tps,33.99,38.02,30.76,sglang
total_output_tokens,36715,36683,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,0,0,623.74,0.00,623.92,1,1.60,1,,,,,,,0,,,
vllm,few_shot,9,1,619.90,0.00,622.34,1,1.61,1,,,,,,,9,,,
vllm,few_shot,1,2,627.52,0.00,628.13,1,1.59,1,,,,,,,1,,,
vllm,few_shot,3,3,626.24,0.00,628.16,1,1.59,1,,,,,,,3,,,
vllm,few_shot,4,4,671.30,0.00,682.85,1,1.46,1,,,,,,,4,,,
vllm,few_shot,7,5,669.48,0.00,683.15,1,1.46,1,,,,,,,7,,,
vllm,few_shot,6,6,668.33,173.85,842.18,2,2.37,1,,,,,,,6,,,
vllm,few_shot,2,7,671.82,174.37,846.19,2,2.36,1,,,,,,,2,,,
vllm,few_shot,55,8,814.36,0.00,842.82,1,1.19,1,,,,,,,55,,,
vllm,few_shot,28,9,823.14,0.00,856.29,1,1.17,1,,,,,,,28,,,
vllm,few_shot,31,10,820.22,0.00,857.39,1,1.17,1,,,,,,,31,,,
vllm,few_shot,39,11,810.72,0.00,854.58,1,1.17,1,,,,,,,39,,,
vllm,few_shot,42,12,815.66,0.00,853.25,1,1.17,1,,,,,,,42,,,
vllm,few_shot,37,13,819.21,0.00,860.85,1,1.16,1,,,,,,,37,,,
vllm,few_shot,34,14,827.05,0.00,863.04,1,1.16,1,,,,,,,34,,,
vllm,few_shot,57,15,807.71,0.00,853.12,1,1.17,1,,,,,,,57,,,
vllm,few_shot,48,16,808.03,0.00,857.63,1,1.17,1,,,,,,,48,,,
vllm,few_shot,60,17,810.69,0.00,854.81,1,1.17,1,,,,,,,60,,,
vllm,few_shot,8,18,838.77,0.00,883.10,1,1.13,1,,,,,,,8,,,
vllm,few_shot,29,19,816.26,0.00,870.34,1,1.15,1,,,,,,,29,,,
vllm,few_shot,17,20,831.39,0.00,877.47,1,1.14,1,,,,,,,17,,,
vllm,few_shot,25,21,829.14,0.00,875.47,1,1.14,1,,,,,,,25,,,
vllm,few_shot,35,22,812.78,0.00,871.77,1,1.15,1,,,,,,,35,,,
vllm,few_shot,5,23,839.05,0.00,890.67,1,1.12,1,,,,,,,5,,,
vllm,few_shot,24,24,830.42,0.00,881.23,1,1.13,1,,,,,,,24,,,
vllm,few_shot,12,25,829.05,0.00,886.59,1,1.13,1,,,,,,,12,,,
vllm,few_shot,46,26,816.49,0.00,872.10,1,1.15,1,,,,,,,46,,,
vllm,few_shot,41,27,813.99,0.00,874.53,1,1.14,1,,,,,,,41,,,
vllm,few_shot,11,28,832.13,0.00,890.53,1,1.12,1,,,,,,,11,,,
vllm,few_shot,43,29,819.03,0.00,876.86,1,1.14,1,,,,,,,43,,,
vllm,few_shot,10,30,827.15,0.00,894.33,1,1.12,1,,,,,,,10,,,
vllm,few_shot,58,31,803.10,0.00,873.88,1,1.14,1,,,,,,,58,,,
vllm,few_shot,47,32,816.05,0.00,879.06,1,1.14,1,,,,,,,47,,,
vllm,few_shot,26,33,820.74,0.00,890.47,1,1.12,1,,,,,,,26,,,
vllm,few_shot,38,34,811.69,0.00,887.27,1,1.13,1,,,,,,,38,,,
vllm,few_shot,18,35,832.05,67.47,899.52,2,2.22,1,,,,,,,18,,,
vllm,few_shot,30,36,823.94,72.03,895.96,2,2.23,1,,,,,,,30,,,
vllm,few_shot,65,37,269.12,0.00,288.94,1,3.46,1,,,,,,,65,,,
vllm,few_shot,19,38,822.31,81.76,904.07,2,2.21,1,,,,,,,19,,,
vllm,few_shot,53,39,847.32,0.00,889.21,1,1.12,1,,,,,,,53,,,
vllm,few_shot,13,40,825.03,82.65,907.69,2,2.20,1,,,,,,,13,,,
vllm,few_shot,45,41,814.68,78.77,893.45,2,2.24,1,,,,,,,45,,,
vllm,few_shot,32,42,819.69,82.34,902.02,2,2.22,1,,,,,,,32,,,
vllm,few_shot,22,43,822.00,86.64,908.64,2,2.20,1,,,,,,,22,,,
vllm,few_shot,51,44,812.45,83.38,895.82,2,2.23,1,,,,,,,51,,,
vllm,few_shot,20,45,821.67,90.20,911.87,2,2.19,1,,,,,,,20,,,
vllm,few_shot,49,46,819.93,81.24,901.17,2,2.22,1,,,,,,,49,,,
vllm,few_shot,16,47,829.65,88.33,917.99,2,2.18,1,,,,,,,16,,,
vllm,few_shot,56,48,813.82,87.48,901.30,2,2.22,1,,,,,,,56,,,
vllm,few_shot,59,49,806.62,95.29,901.91,2,2.22,1,,,,,,,59,,,
vllm,few_shot,36,50,826.60,87.33,913.93,2,2.19,1,,,,,,,36,,,
vllm,few_shot,44,51,813.41,95.80,909.21,2,2.20,1,,,,,,,44,,,
vllm,few_shot,40,52,813.31,100.15,913.46,2,2.19,1,,,,,,,40,,,
vllm,few_shot,27,53,820.40,100.39,920.79,2,2.17,1,,,,,,,27,,,
vllm,few_shot,54,54,811.99,97.46,909.44,2,2.20,1,,,,,,,54,,,
vllm,few_shot,64,55,269.80,0.00,315.21,1,3.17,1,,,,,,,64,,,
vllm,few_shot,33,56,817.64,104.65,922.29,2,2.17,1,,,,,,,33,,,
vllm,few_shot,67,57,260.40,0.00,313.52,1,3.19,1,,,,,,,67,,,
vllm,few_shot,21,58,822.02,111.05,933.07,2,2.14,1,,,,,,,21,,,
vllm,few_shot,14,59,825.27,111.19,936.46,2,2.14,1,,,,,,,14,,,
vllm,few_shot,66,60,266.12,0.00,319.29,1,3.13,1,,,,,,,66,,,
vllm,few_shot,23,61,819.48,116.48,935.96,2,2.14,1,,,,,,,23,,,
vllm,few_shot,15,62,828.95,113.36,942.31,2,2.12,1,,,,,,,15,,,
vllm,few_shot,50,63,810.43,120.07,930.50,2,2.15,1,,,,,,,50,,,
vllm,few_shot,68,64,260.66,0.00,274.61,1,3.64,1,,,,,,,68,,,
vllm,few_shot,63,65,840.11,89.87,929.98,2,2.15,1,,,,,,,63,,,
vllm,few_shot,62,66,854.07,78.64,932.71,2,2.14,1,,,,,,,62,,,
vllm,few_shot,69,67,244.12,0.00,281.30,1,3.55,1,,,,,,,69,,,
vllm,few_shot,61,68,849.01,89.56,938.58,2,2.13,1,,,,,,,61,,,
vllm,few_shot,52,69,862.97,80.96,943.93,2,2.12,1,,,,,,,52,,,
vllm,few_shot,71,70,114.15,0.00,130.38,1,7.67,1,,,,,,,71,,,
vllm,few_shot,70,71,118.90,49.38,168.29,2,11.88,1,,,,,,,70,,,
vllm,few_shot,74,72,134.80,0.00,180.58,1,5.54,1,,,,,,,74,,,
vllm,few_shot,95,73,105.85,0.00,154.43,1,6.48,1,,,,,,,95,,,
vllm,few_shot,80,74,126.70,0.00,175.58,1,5.70,1,,,,,,,80,,,
vllm,few_shot,97,75,103.11,0.00,155.52,1,6.43,1,,,,,,,97,,,
vllm,few_shot,92,76,111.63,0.00,163.03,1,6.13,1,,,,,,,92,,,
vllm,few_shot,76,77,133.55,0.00,186.07,1,5.37,1,,,,,,,76,,,
