model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-06T09:02:20.231297+00:00

Build Times
provider,build_time_s
torchinferno,41.4
vllm,243.9
sglang,163.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,146.52,124.92,135.16,vllm
ttft_p99_ms,518.28,259.93,599.96,vllm
tpot_median_ms,44.07,46.01,81.27,torchinferno
tpot_p99_ms,114.09,139.47,855.86,torchinferno
e2e_median_ms,189.42,158.23,212.86,vllm
e2e_p99_ms,556.09,313.09,913.91,vllm
throughput_median_tps,6.14,8.48,5.85,vllm
total_output_tokens,1466,1461,1466,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,94.46,125.80,211.98,torchinferno
ttft_p99_ms,358.54,361.11,69273.01,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,101.76,150.44,371.33,torchinferno
e2e_p99_ms,368.92,368.84,69403.94,vllm
throughput_median_tps,9.83,6.65,2.69,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,236.40,151.29,162.68,vllm
ttft_p99_ms,744.02,436.24,646.61,vllm
tpot_median_ms,59.09,46.57,103.79,vllm
tpot_p99_ms,246.40,304.86,1033.01,torchinferno
e2e_median_ms,289.79,197.84,276.82,vllm
e2e_p99_ms,815.21,537.90,985.15,vllm
throughput_median_tps,4.60,7.06,4.73,vllm
total_output_tokens,1444,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,210.82,145.78,93.76,sglang
ttft_last_turn_ms,260.57,156.17,199.03,vllm
ttft_growth_ratio,1.24,1.07,2.12,vllm
ttft_first_turn_median_ms,191.70,134.86,88.68,sglang
ttft_first_turn_p99_ms,379.26,378.73,244.60,sglang
ttft_last_turn_median_ms,230.51,141.30,197.94,vllm
ttft_last_turn_p99_ms,543.78,478.25,297.46,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,79.75,32.37,48.55,vllm
ttft_p99_ms,249.45,45.94,426.80,vllm
tpot_median_ms,63.38,21.71,411.76,vllm
tpot_p99_ms,170.87,28.57,1016.42,vllm
e2e_median_ms,110.38,47.86,433.16,vllm
e2e_p99_ms,305.54,112.90,1062.60,vllm
throughput_median_tps,12.51,25.71,3.43,vllm
total_output_tokens,1478,1467,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,266.93,76.41,67.64,sglang
ttft_p99_ms,1662.24,538.15,884.01,vllm
tpot_median_ms,19.40,14.82,22.41,vllm
tpot_p99_ms,49.99,70.83,118.83,torchinferno
e2e_median_ms,924.45,673.16,972.16,vllm
e2e_p99_ms,2078.46,1700.80,1907.02,vllm
throughput_median_tps,36.74,58.60,41.66,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,3,0,179.17,127.01,306.17,2,6.53,1,,,,,,,3,,,
torchinferno,few_shot,10,1,423.74,0.00,435.41,1,2.30,1,,,,,,,10,,,
torchinferno,few_shot,8,2,463.05,0.00,477.44,1,2.09,1,,,,,,,8,,,
torchinferno,few_shot,4,3,542.12,0.00,560.29,1,1.78,1,,,,,,,4,,,
torchinferno,few_shot,5,4,522.27,0.00,542.90,1,1.84,1,,,,,,,5,,,
torchinferno,few_shot,12,5,388.35,0.00,407.78,1,2.45,1,,,,,,,12,,,
torchinferno,few_shot,11,6,404.58,0.00,427.37,1,2.34,1,,,,,,,11,,,
torchinferno,few_shot,9,7,443.25,0.00,468.11,1,2.14,1,,,,,,,9,,,
torchinferno,few_shot,7,8,480.87,0.00,505.72,1,1.98,1,,,,,,,7,,,
torchinferno,few_shot,15,9,324.36,28.39,352.75,2,5.67,1,,,,,,,15,,,
torchinferno,few_shot,6,10,503.66,28.03,531.69,2,3.76,1,,,,,,,6,,,
torchinferno,few_shot,14,11,346.37,31.55,377.92,2,5.29,1,,,,,,,14,,,
torchinferno,few_shot,16,12,308.60,29.73,338.33,2,5.91,1,,,,,,,16,,,
torchinferno,few_shot,13,13,369.79,31.94,401.74,2,4.98,1,,,,,,,13,,,
torchinferno,few_shot,31,14,124.95,0.00,136.80,1,7.31,1,,,,,,,31,,,
torchinferno,few_shot,1,15,733.53,0.00,749.16,1,1.33,1,,,,,,,1,,,
torchinferno,few_shot,64,16,377.07,0.00,399.52,1,2.50,1,,,,,,,64,,,
torchinferno,few_shot,28,17,175.72,0.00,194.90,1,5.13,1,,,,,,,28,,,
torchinferno,few_shot,17,18,368.83,0.00,389.38,1,2.57,1,,,,,,,17,,,
torchinferno,few_shot,29,19,156.64,0.00,179.39,1,5.57,1,,,,,,,29,,,
torchinferno,few_shot,32,20,105.60,23.82,129.42,2,15.45,1,,,,,,,32,,,
torchinferno,few_shot,25,21,229.25,0.00,252.01,1,3.97,1,,,,,,,25,,,
torchinferno,few_shot,24,22,246.02,0.00,270.67,1,3.69,1,,,,,,,24,,,
torchinferno,few_shot,33,23,89.53,26.06,115.59,2,17.30,1,,,,,,,33,,,
torchinferno,few_shot,19,24,334.51,26.36,360.87,2,5.54,1,,,,,,,19,,,
torchinferno,few_shot,0,25,750.72,31.25,781.97,2,2.56,1,,,,,,,0,,,
torchinferno,few_shot,26,26,207.57,0.00,242.32,1,4.13,1,,,,,,,26,,,
torchinferno,few_shot,18,27,347.95,35.68,383.62,2,5.21,1,,,,,,,18,,,
torchinferno,few_shot,22,28,277.13,37.79,314.92,2,6.35,1,,,,,,,22,,,
torchinferno,few_shot,23,29,261.02,38.15,299.17,2,6.69,1,,,,,,,23,,,
torchinferno,few_shot,21,30,298.11,38.01,336.12,2,5.95,1,,,,,,,21,,,
torchinferno,few_shot,30,31,139.78,40.82,180.60,2,11.07,1,,,,,,,30,,,
torchinferno,few_shot,2,32,706.03,47.25,753.28,2,2.66,1,,,,,,,2,,,
torchinferno,few_shot,20,33,316.84,42.12,358.96,2,5.57,1,,,,,,,20,,,
torchinferno,few_shot,27,34,190.71,49.38,240.09,2,8.33,1,,,,,,,27,,,
torchinferno,few_shot,34,35,146.07,0.00,157.11,1,6.37,1,,,,,,,34,,,
torchinferno,few_shot,65,36,145.30,0.00,157.15,1,6.36,1,,,,,,,65,,,
torchinferno,few_shot,66,37,141.58,0.00,156.59,1,6.39,1,,,,,,,66,,,
torchinferno,few_shot,67,38,137.86,0.00,156.24,1,6.40,1,,,,,,,67,,,
