model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-15T11:03:15.919300+00:00

Build Times
provider,build_time_s
torchinferno,46.7
vllm,376.9
sglang,177.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,139.76,73.83,81.18,vllm
ttft_p99_ms,712.53,136.42,547.55,vllm
tpot_median_ms,32.46,38.17,66.47,torchinferno
tpot_p99_ms,46.69,87.54,855.43,torchinferno
e2e_median_ms,164.50,104.54,137.58,vllm
e2e_p99_ms,739.10,176.90,804.07,vllm
throughput_median_tps,7.06,13.03,9.57,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,59.68,72.56,119.19,torchinferno
ttft_p99_ms,334.29,296.94,69988.30,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,77.45,91.00,199.09,torchinferno
e2e_p99_ms,357.70,302.69,70031.10,vllm
throughput_median_tps,12.91,10.99,5.02,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.14,68.65,83.15,vllm
ttft_p99_ms,1021.12,152.72,491.43,vllm
tpot_median_ms,35.55,34.96,67.85,vllm
tpot_p99_ms,46.82,84.45,471.71,torchinferno
e2e_median_ms,218.21,92.69,140.36,vllm
e2e_p99_ms,1045.71,195.29,528.00,vllm
throughput_median_tps,5.15,13.95,9.38,vllm
total_output_tokens,1442,1450,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,425.05,72.85,67.65,sglang
ttft_last_turn_ms,173.03,79.18,83.87,vllm
ttft_growth_ratio,0.41,1.09,1.24,torchinferno
ttft_first_turn_median_ms,207.52,67.17,67.38,vllm
ttft_first_turn_p99_ms,1108.96,149.34,102.92,sglang
ttft_last_turn_median_ms,187.54,69.53,78.71,vllm
ttft_last_turn_p99_ms,208.93,152.34,116.90,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.81,39.01,52.41,vllm
ttft_p99_ms,768.10,94.89,435.72,vllm
tpot_median_ms,34.83,29.43,423.58,vllm
tpot_p99_ms,77.63,42.89,1073.99,vllm
e2e_median_ms,74.24,59.91,427.12,vllm
e2e_p99_ms,797.06,129.90,1160.59,vllm
throughput_median_tps,19.56,22.13,3.25,vllm
total_output_tokens,1489,1456,1444,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,182.57,47.42,51.55,vllm
ttft_p99_ms,457.53,64.82,112.67,vllm
tpot_median_ms,19.04,15.54,25.10,vllm
tpot_p99_ms,24.10,18.95,74.95,vllm
e2e_median_ms,840.39,581.24,949.79,vllm
e2e_p99_ms,1543.21,1058.29,1740.50,vllm
throughput_median_tps,40.86,59.61,38.36,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,772.87,0.00,784.67,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,790.01,23.73,813.74,2,2.46,1,,,,,,,0,,,
torchinferno,few_shot,5,2,783.42,0.00,795.45,1,1.26,1,,,,,,,5,,,
torchinferno,few_shot,25,3,442.03,0.00,457.12,1,2.19,1,,,,,,,25,,,
torchinferno,few_shot,26,4,426.50,0.00,440.94,1,2.27,1,,,,,,,26,,,
torchinferno,few_shot,4,5,796.89,0.00,814.31,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,28,6,391.86,0.00,408.08,1,2.45,1,,,,,,,28,,,
torchinferno,few_shot,12,7,661.95,0.00,680.65,1,1.47,1,,,,,,,12,,,
torchinferno,few_shot,11,8,680.92,0.00,697.98,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,31,9,341.95,0.00,359.22,1,2.78,1,,,,,,,31,,,
torchinferno,few_shot,7,10,746.92,0.00,767.81,1,1.30,1,,,,,,,7,,,
torchinferno,few_shot,17,11,580.47,0.00,598.29,1,1.67,1,,,,,,,17,,,
torchinferno,few_shot,10,12,697.66,0.00,717.08,1,1.39,1,,,,,,,10,,,
torchinferno,few_shot,8,13,733.86,0.00,752.56,1,1.33,1,,,,,,,8,,,
torchinferno,few_shot,24,14,461.40,0.00,482.89,1,2.07,1,,,,,,,24,,,
torchinferno,few_shot,29,15,374.66,0.00,398.96,1,2.51,1,,,,,,,29,,,
torchinferno,few_shot,9,16,712.53,0.00,739.10,1,1.35,1,,,,,,,9,,,
torchinferno,few_shot,2,17,834.37,25.43,859.80,2,2.33,1,,,,,,,2,,,
torchinferno,few_shot,6,18,763.61,30.62,794.23,2,2.52,1,,,,,,,6,,,
torchinferno,few_shot,16,19,594.29,31.58,625.87,2,3.20,1,,,,,,,16,,,
torchinferno,few_shot,14,20,630.42,30.03,660.46,2,3.03,1,,,,,,,14,,,
torchinferno,few_shot,23,21,476.46,31.85,508.31,2,3.93,1,,,,,,,23,,,
torchinferno,few_shot,21,22,511.18,32.66,543.84,2,3.68,1,,,,,,,21,,,
torchinferno,few_shot,3,23,816.71,32.37,849.08,2,2.36,1,,,,,,,3,,,
torchinferno,few_shot,19,24,543.80,35.35,579.14,2,3.45,1,,,,,,,19,,,
torchinferno,few_shot,22,25,496.32,32.33,528.65,2,3.78,1,,,,,,,22,,,
torchinferno,few_shot,15,26,612.75,35.33,648.08,2,3.09,1,,,,,,,15,,,
torchinferno,few_shot,18,27,562.98,34.79,597.77,2,3.35,1,,,,,,,18,,,
torchinferno,few_shot,20,28,526.87,37.77,564.64,2,3.54,1,,,,,,,20,,,
torchinferno,few_shot,32,29,324.84,36.62,361.46,2,5.53,1,,,,,,,32,,,
torchinferno,few_shot,13,30,645.27,40.43,685.69,2,2.92,1,,,,,,,13,,,
torchinferno,few_shot,27,31,409.34,39.38,448.72,2,4.46,1,,,,,,,27,,,
torchinferno,few_shot,30,32,359.76,39.45,399.21,2,5.01,1,,,,,,,30,,,
torchinferno,few_shot,33,33,309.25,40.14,349.39,2,5.72,1,,,,,,,33,,,
torchinferno,few_shot,34,34,371.65,0.00,384.79,1,2.60,1,,,,,,,34,,,
torchinferno,few_shot,35,35,353.35,0.00,368.69,1,2.71,1,,,,,,,35,,,
torchinferno,few_shot,66,36,70.18,0.00,82.68,1,12.09,1,,,,,,,66,,,
torchinferno,few_shot,48,37,133.18,0.00,148.76,1,6.72,1,,,,,,,48,,,
torchinferno,few_shot,42,38,235.75,0.00,251.97,1,3.97,1,,,,,,,42,,,
