model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-20T20:03:17.691194

Build Times
provider,build_time_s
torchinferno,93.1
vllm,1254.6
sglang,191.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,306.87,167.03,149.01,sglang
ttft_p99_ms,2498.34,570.12,8359.38,vllm
tpot_median_ms,161.11,58.34,75.97,vllm
tpot_p99_ms,220.96,137.07,7312.49,vllm
e2e_median_ms,422.46,217.32,220.90,vllm
e2e_p99_ms,2703.81,600.15,15624.21,vllm
throughput_median_tps,3.31,6.55,5.41,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,285.48,201.26,218.77,vllm
ttft_p99_ms,1935.85,508.18,69974.81,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,333.67,225.66,367.64,vllm
e2e_p99_ms,2004.09,523.55,70065.17,vllm
throughput_median_tps,3.00,4.43,2.72,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,906.90,193.15,166.45,sglang
ttft_p99_ms,3316.35,379.40,814.55,vllm
tpot_median_ms,105.49,62.07,105.68,vllm
tpot_p99_ms,961.11,190.36,277.96,vllm
e2e_median_ms,1009.20,251.82,277.97,vllm
e2e_p99_ms,3583.48,444.82,845.81,vllm
throughput_median_tps,1.29,5.65,4.80,vllm
total_output_tokens,1450,1462,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1550.18,164.32,109.53,sglang
ttft_last_turn_ms,783.27,182.98,206.77,vllm
ttft_growth_ratio,0.51,1.11,1.89,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,391.41,60.89,79.14,vllm
ttft_p99_ms,1112.21,195.78,724.25,vllm
tpot_median_ms,137.57,27.40,71.64,vllm
tpot_p99_ms,160.76,81.54,703.47,vllm
e2e_median_ms,505.44,81.48,160.70,vllm
e2e_p99_ms,1237.96,231.17,901.66,vllm
throughput_median_tps,2.59,14.90,8.76,vllm
total_output_tokens,1473,1475,1456,vllm
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1198.53,74.41,74.64,vllm
ttft_p99_ms,2888.00,376.59,384.49,vllm
tpot_median_ms,16.76,14.99,22.10,vllm
tpot_p99_ms,70.14,24.12,31.33,vllm
e2e_median_ms,1851.19,656.83,815.96,vllm
e2e_p99_ms,3769.30,1127.69,1567.52,vllm
throughput_median_tps,17.80,57.57,42.04,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,895.17,485.37,1380.54,2,1.45,1
torchinferno,few_shot,1,2498.34,0.00,2568.89,1,0.39,1
torchinferno,few_shot,2,2508.96,0.00,2585.08,1,0.39,1
torchinferno,few_shot,3,2488.87,0.00,2568.38,1,0.39,1
torchinferno,few_shot,4,2493.33,0.00,2592.72,1,0.39,1
torchinferno,few_shot,5,2477.93,0.00,2576.58,1,0.39,1
torchinferno,few_shot,6,2470.70,0.00,2568.58,1,0.39,1
torchinferno,few_shot,7,2495.56,0.00,2584.25,1,0.39,1
torchinferno,few_shot,8,2491.09,0.00,2597.71,1,0.38,1
torchinferno,few_shot,9,2497.23,0.00,2600.49,1,0.38,1
torchinferno,few_shot,10,2495.79,0.00,2603.31,1,0.38,1
torchinferno,few_shot,11,2479.05,0.00,2588.01,1,0.39,1
torchinferno,few_shot,12,2486.79,0.00,2593.18,1,0.39,1
torchinferno,few_shot,13,2497.10,0.00,2609.79,1,0.38,1
torchinferno,few_shot,14,2501.75,0.00,2609.57,1,0.38,1
torchinferno,few_shot,15,2486.30,0.00,2599.36,1,0.38,1
torchinferno,few_shot,16,1127.95,0.00,1236.36,1,0.81,1
torchinferno,few_shot,17,2484.39,0.00,2604.99,1,0.38,1
torchinferno,few_shot,18,2484.97,0.00,2604.99,1,0.38,1
torchinferno,few_shot,19,2480.53,0.00,2609.60,1,0.38,1
torchinferno,few_shot,20,2489.80,0.00,2604.16,1,0.38,1
torchinferno,few_shot,21,2492.77,0.00,2626.89,1,0.38,1
torchinferno,few_shot,22,2510.74,0.00,2628.33,1,0.38,1
torchinferno,few_shot,23,2486.30,0.00,2608.38,1,0.38,1
torchinferno,few_shot,24,2478.06,0.00,2606.86,1,0.38,1
torchinferno,few_shot,25,2498.09,0.00,2622.93,1,0.38,1
torchinferno,few_shot,26,2480.33,0.00,2621.16,1,0.38,1
torchinferno,few_shot,27,2489.88,0.00,2623.50,1,0.38,1
torchinferno,few_shot,28,2493.04,0.00,2628.75,1,0.38,1
torchinferno,few_shot,29,2504.15,0.00,2638.51,1,0.38,1
torchinferno,few_shot,30,2473.15,0.00,2614.07,1,0.38,1
torchinferno,few_shot,31,2476.40,0.00,2618.50,1,0.38,1
torchinferno,few_shot,32,2486.91,0.00,2631.37,1,0.38,1
torchinferno,few_shot,33,2485.54,0.00,2633.41,1,0.38,1
torchinferno,few_shot,34,2504.21,169.70,2673.91,2,0.75,1
torchinferno,few_shot,35,2472.66,185.10,2657.76,2,0.75,1
torchinferno,few_shot,36,2492.68,179.99,2672.67,2,0.75,1
torchinferno,few_shot,37,2475.26,184.35,2659.61,2,0.75,1
torchinferno,few_shot,38,2486.86,185.32,2672.18,2,0.75,1
torchinferno,few_shot,39,2484.19,181.77,2665.95,2,0.75,1
torchinferno,few_shot,40,2468.30,194.42,2662.72,2,0.75,1
torchinferno,few_shot,41,2491.49,200.44,2691.93,2,0.74,1
torchinferno,few_shot,42,2495.48,194.81,2690.29,2,0.74,1
torchinferno,few_shot,43,2476.66,184.88,2661.54,2,0.75,1
torchinferno,few_shot,44,2487.82,197.77,2685.59,2,0.74,1
torchinferno,few_shot,45,2491.68,194.87,2686.55,2,0.74,1
