model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-07T11:01:59.986233

Build Times
provider,build_time_s
torchinferno,426.3
vllm,1332.6
sglang,178.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.31,153.85,140.55,sglang
ttft_p99_ms,2809.55,280.89,1038.85,vllm
tpot_median_ms,51.48,56.25,72.26,torchinferno
tpot_p99_ms,167.02,137.15,7306.35,vllm
e2e_median_ms,340.93,204.43,208.95,vllm
e2e_p99_ms,2823.04,337.03,8321.45,vllm
throughput_median_tps,3.48,7.04,5.63,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,223.49,185.67,203.05,vllm
ttft_p99_ms,880.73,433.15,70871.74,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,350.46,208.81,330.65,vllm
e2e_p99_ms,991.93,459.64,70959.08,vllm
throughput_median_tps,2.85,4.79,3.02,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,642.53,177.02,162.60,sglang
ttft_p99_ms,2128.37,353.42,660.85,vllm
tpot_median_ms,59.88,63.95,95.24,torchinferno
tpot_p99_ms,152.15,193.66,228.05,torchinferno
e2e_median_ms,712.67,240.21,255.56,vllm
e2e_p99_ms,2194.60,428.57,723.94,vllm
throughput_median_tps,1.85,6.22,5.16,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1101.94,138.49,116.18,sglang
ttft_last_turn_ms,1254.23,159.08,188.72,vllm
ttft_growth_ratio,1.14,1.15,1.62,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,391.19,58.09,78.24,vllm
ttft_p99_ms,2735.29,2040.66,648.45,sglang
tpot_median_ms,31.63,28.77,44.66,vllm
tpot_p99_ms,250.28,1662.00,121.59,sglang
e2e_median_ms,433.67,79.75,136.39,vllm
e2e_p99_ms,2761.56,2070.76,681.59,sglang
throughput_median_tps,3.10,15.01,10.06,vllm
total_output_tokens,1471,1467,1470,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,590.51,70.36,75.34,vllm
ttft_p99_ms,2116.63,135.30,182.99,vllm
tpot_median_ms,33.92,15.25,24.17,vllm
tpot_p99_ms,70.51,22.56,29.55,vllm
e2e_median_ms,1856.22,621.41,900.85,vllm
e2e_p99_ms,3946.52,1041.28,1770.31,vllm
throughput_median_tps,19.75,58.04,38.72,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1636.86,0.00,1646.33,1,0.61,1
torchinferno,few_shot,1,1638.31,0.00,1647.48,1,0.61,1
torchinferno,few_shot,2,1636.60,0.00,1649.90,1,0.61,1
torchinferno,few_shot,3,1638.85,0.00,1652.76,1,0.61,1
torchinferno,few_shot,4,1640.11,129.03,1769.14,2,1.13,1
torchinferno,few_shot,5,1640.45,131.55,1772.00,2,1.13,1
torchinferno,few_shot,6,2338.85,0.00,2355.01,1,0.42,1
torchinferno,few_shot,7,2340.32,0.00,2355.51,1,0.42,1
torchinferno,few_shot,8,2333.24,0.00,2355.53,1,0.42,1
torchinferno,few_shot,9,2335.92,0.00,2361.46,1,0.42,1
torchinferno,few_shot,10,2343.91,0.00,2361.99,1,0.42,1
torchinferno,few_shot,11,2349.85,0.00,2368.38,1,0.42,1
torchinferno,few_shot,12,2340.14,22.60,2362.74,2,0.85,1
torchinferno,few_shot,13,2349.34,20.87,2370.21,2,0.84,1
torchinferno,few_shot,14,2332.14,0.00,2367.26,1,0.42,1
torchinferno,few_shot,15,2338.98,0.00,2365.80,1,0.42,1
torchinferno,few_shot,16,2337.85,32.06,2369.91,2,0.84,1
torchinferno,few_shot,17,2331.21,0.00,2370.86,1,0.42,1
torchinferno,few_shot,18,2338.15,38.14,2376.29,2,0.84,1
torchinferno,few_shot,19,2336.09,0.00,2371.44,1,0.42,1
torchinferno,few_shot,20,2342.02,36.17,2378.20,2,0.84,1
torchinferno,few_shot,21,2339.99,0.00,2377.62,1,0.42,1
torchinferno,few_shot,22,2332.98,0.00,2376.74,1,0.42,1
torchinferno,few_shot,23,2341.27,0.00,2376.71,1,0.42,1
torchinferno,few_shot,24,2346.62,0.00,2384.12,1,0.42,1
torchinferno,few_shot,25,2340.25,0.00,2381.60,1,0.42,1
torchinferno,few_shot,26,2333.22,0.00,2381.35,1,0.42,1
torchinferno,few_shot,27,2340.92,44.00,2384.92,2,0.84,1
torchinferno,few_shot,28,2345.23,0.00,2385.71,1,0.42,1
torchinferno,few_shot,29,2337.87,51.36,2389.23,2,0.84,1
torchinferno,few_shot,30,2345.01,0.00,2394.79,1,0.42,1
torchinferno,few_shot,31,2332.95,0.00,2390.19,1,0.42,1
torchinferno,few_shot,32,2335.58,53.65,2389.23,2,0.84,1
torchinferno,few_shot,33,2345.95,52.17,2398.12,2,0.83,1
torchinferno,few_shot,34,2334.12,60.62,2394.74,2,0.84,1
torchinferno,few_shot,35,2335.04,0.00,2399.69,1,0.42,1
torchinferno,few_shot,36,2351.82,56.36,2408.18,2,0.83,1
torchinferno,few_shot,37,2336.44,0.00,2414.30,1,0.41,1
torchinferno,few_shot,38,2344.32,0.00,2417.55,1,0.41,1
torchinferno,few_shot,39,2327.20,80.01,2407.22,2,0.83,1
torchinferno,few_shot,40,2341.82,67.53,2409.35,2,0.83,1
torchinferno,few_shot,41,2333.58,84.37,2417.95,2,0.83,1
torchinferno,few_shot,42,2337.91,84.70,2422.62,2,0.83,1
torchinferno,few_shot,43,2345.63,0.00,2418.04,1,0.41,1
torchinferno,few_shot,44,2333.46,82.42,2415.87,2,0.83,1
torchinferno,few_shot,45,2337.71,82.87,2420.59,2,0.83,1
