model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-14T08:07:44.025730

Build Times
provider,build_time_s
torchinferno,350.0
vllm,1095.1
sglang,161.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,266.32,155.82,134.51,sglang
ttft_p99_ms,1758.82,921.45,6648.09,vllm
tpot_median_ms,168.59,56.87,76.65,vllm
tpot_p99_ms,207.30,144.53,7399.70,vllm
e2e_median_ms,397.10,211.48,203.30,sglang
e2e_p99_ms,1958.98,978.10,14016.34,vllm
throughput_median_tps,3.73,7.08,5.99,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,292.37,216.25,198.82,sglang
ttft_p99_ms,1659.49,260.49,70449.38,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,327.38,294.73,327.66,vllm
e2e_p99_ms,1748.44,359.58,70540.85,vllm
throughput_median_tps,3.05,3.39,3.05,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,656.16,167.69,154.07,sglang
ttft_p99_ms,1296.47,349.88,695.92,vllm
tpot_median_ms,206.77,53.25,105.27,vllm
tpot_p99_ms,537.05,208.02,223.53,vllm
e2e_median_ms,800.19,214.11,250.63,vllm
e2e_p99_ms,1496.67,422.69,883.23,vllm
throughput_median_tps,1.72,6.49,5.38,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,675.50,151.08,110.63,sglang
ttft_last_turn_ms,563.15,160.96,164.73,vllm
ttft_growth_ratio,0.83,1.07,1.49,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,389.82,57.99,76.80,vllm
ttft_p99_ms,899.76,150.94,631.43,vllm
tpot_median_ms,246.52,27.39,57.41,vllm
tpot_p99_ms,294.21,45.12,151.32,vllm
e2e_median_ms,583.93,77.98,143.71,vllm
e2e_p99_ms,1065.10,169.85,677.66,vllm
throughput_median_tps,2.34,15.55,9.91,vllm
total_output_tokens,1478,1457,1469,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,611.15,73.18,66.17,sglang
ttft_p99_ms,2390.45,177.17,126.08,sglang
tpot_median_ms,23.75,14.93,22.17,vllm
tpot_p99_ms,44.96,21.00,25.94,vllm
e2e_median_ms,1798.76,619.41,841.28,vllm
e2e_p99_ms,3460.94,1008.41,1540.93,vllm
throughput_median_tps,19.37,58.26,42.62,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,957.93,0.00,1144.65,1,0.87,1
torchinferno,few_shot,1,1744.57,0.00,1832.95,1,0.55,1
torchinferno,few_shot,2,1740.06,0.00,1825.44,1,0.55,1
torchinferno,few_shot,3,1743.47,0.00,1824.88,1,0.55,1
torchinferno,few_shot,4,1745.27,0.00,1840.58,1,0.54,1
torchinferno,few_shot,5,1743.40,0.00,1830.39,1,0.55,1
torchinferno,few_shot,6,1743.95,0.00,1841.03,1,0.54,1
torchinferno,few_shot,7,1735.87,0.00,1832.49,1,0.55,1
torchinferno,few_shot,8,1737.10,0.00,1836.66,1,0.54,1
torchinferno,few_shot,9,1756.05,0.00,1846.71,1,0.54,1
torchinferno,few_shot,10,1749.19,0.00,1840.40,1,0.54,1
torchinferno,few_shot,11,1743.97,0.00,1849.65,1,0.54,1
torchinferno,few_shot,12,1757.04,0.00,1855.02,1,0.54,1
torchinferno,few_shot,13,1745.48,0.00,1851.80,1,0.54,1
torchinferno,few_shot,14,1744.82,0.00,1851.45,1,0.54,1
torchinferno,few_shot,15,1748.38,0.00,1845.53,1,0.54,1
torchinferno,few_shot,16,1738.81,0.00,1848.71,1,0.54,1
torchinferno,few_shot,17,1745.76,0.00,1857.02,1,0.54,1
torchinferno,few_shot,18,1742.48,0.00,1850.17,1,0.54,1
torchinferno,few_shot,19,1758.10,0.00,1863.38,1,0.54,1
torchinferno,few_shot,20,1741.36,0.00,1859.64,1,0.54,1
torchinferno,few_shot,21,1745.39,0.00,1851.71,1,0.54,1
torchinferno,few_shot,22,1758.82,0.00,1870.23,1,0.53,1
torchinferno,few_shot,23,1754.29,0.00,1871.06,1,0.53,1
torchinferno,few_shot,24,1761.33,0.00,1874.29,1,0.53,1
torchinferno,few_shot,25,1735.72,0.00,1862.00,1,0.54,1
torchinferno,few_shot,26,1756.32,0.00,1875.18,1,0.53,1
torchinferno,few_shot,27,1759.71,0.00,1874.98,1,0.53,1
torchinferno,few_shot,28,1736.90,0.00,1863.86,1,0.54,1
torchinferno,few_shot,29,1748.78,0.00,1868.85,1,0.54,1
torchinferno,few_shot,30,1737.79,178.61,1916.40,2,1.04,1
torchinferno,few_shot,31,1749.59,175.86,1925.45,2,1.04,1
torchinferno,few_shot,32,1740.45,176.90,1917.36,2,1.04,1
torchinferno,few_shot,33,1746.90,189.06,1935.96,2,1.03,1
torchinferno,few_shot,34,1740.71,181.61,1922.32,2,1.04,1
torchinferno,few_shot,35,1746.36,188.94,1935.30,2,1.03,1
torchinferno,few_shot,36,1740.04,185.40,1925.45,2,1.04,1
torchinferno,few_shot,37,1741.19,183.24,1924.43,2,1.04,1
torchinferno,few_shot,38,1755.35,183.08,1938.43,2,1.03,1
torchinferno,few_shot,39,1748.26,188.77,1937.03,2,1.03,1
torchinferno,few_shot,40,1744.89,184.22,1929.11,2,1.04,1
torchinferno,few_shot,41,1750.09,193.31,1943.39,2,1.03,1
torchinferno,few_shot,42,1738.18,195.70,1933.87,2,1.03,1
torchinferno,few_shot,43,1739.36,193.01,1932.36,2,1.04,1
torchinferno,few_shot,44,1751.62,195.81,1947.44,2,1.03,1
torchinferno,few_shot,45,1752.29,194.27,1946.57,2,1.03,1
torchinferno,few_shot,46,1751.78,193.77,1945.56,2,1.03,1
torchinferno,few_shot,47,1744.81,205.86,1950.67,2,1.03,1
torchinferno,few_shot,48,1745.80,208.37,1954.17,2,1.02,1
torchinferno,few_shot,49,1756.27,200.65,1956.92,2,1.02,1
torchinferno,few_shot,50,1746.24,207.30,1953.53,2,1.02,1
torchinferno,few_shot,51,1753.76,205.22,1958.98,2,1.02,1
torchinferno,few_shot,52,1748.98,206.76,1955.73,2,1.02,1
torchinferno,few_shot,53,1753.18,201.40,1954.58,2,1.02,1
torchinferno,few_shot,54,1736.04,213.61,1949.66,2,1.03,1
torchinferno,few_shot,55,1753.59,205.85,1959.43,2,1.02,1
torchinferno,few_shot,56,1752.33,208.17,1960.51,2,1.02,1
torchinferno,few_shot,57,196.98,0.00,270.69,1,3.69,1
torchinferno,few_shot,58,180.64,0.00,254.45,1,3.93,1
torchinferno,few_shot,59,179.45,0.00,256.12,1,3.90,1
torchinferno,few_shot,60,201.09,0.00,285.42,1,3.50,1
torchinferno,few_shot,61,178.71,0.00,257.67,1,3.88,1
torchinferno,few_shot,62,209.54,0.00,296.26,1,3.38,1
torchinferno,few_shot,63,2030.42,0.00,2116.20,1,0.47,1
torchinferno,few_shot,64,173.70,0.00,257.11,1,3.89,1
torchinferno,few_shot,65,198.78,0.00,285.88,1,3.50,1
torchinferno,few_shot,66,898.63,0.00,990.47,1,1.01,1
