model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-19T23:02:53.193969

Build Times
provider,build_time_s
torchinferno,328.1
vllm,453.8
sglang,259.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,321.16,138.52,145.18,vllm
ttft_p99_ms,2045.37,234.18,1025.66,vllm
tpot_median_ms,50.45,51.68,67.42,torchinferno
tpot_p99_ms,202.63,124.03,469.50,vllm
e2e_median_ms,377.30,181.35,214.15,vllm
e2e_p99_ms,2061.69,294.71,1463.47,vllm
throughput_median_tps,3.47,7.95,5.53,vllm
total_output_tokens,1466,1456,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,306.28,178.00,229.96,vllm
ttft_p99_ms,931.72,385.28,70748.83,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,415.52,203.94,370.34,vllm
e2e_p99_ms,1041.84,413.95,70852.12,vllm
throughput_median_tps,2.41,4.90,2.70,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,652.82,155.81,167.58,vllm
ttft_p99_ms,1853.32,282.93,281.35,sglang
tpot_median_ms,65.69,49.22,100.46,vllm
tpot_p99_ms,164.04,167.67,220.74,torchinferno
e2e_median_ms,715.72,198.47,265.90,vllm
e2e_p99_ms,1915.67,377.56,417.80,vllm
throughput_median_tps,1.93,6.92,5.13,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,560.47,128.46,120.77,sglang
ttft_last_turn_ms,917.87,153.57,194.10,vllm
ttft_growth_ratio,1.64,1.20,1.61,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,182.90,59.64,87.89,vllm
ttft_p99_ms,671.33,2068.23,507.44,sglang
tpot_median_ms,34.08,30.74,40.98,vllm
tpot_p99_ms,266.29,2034.91,135.12,sglang
e2e_median_ms,218.16,82.48,141.87,vllm
e2e_p99_ms,765.91,2172.25,539.68,sglang
throughput_median_tps,6.10,15.08,9.50,vllm
total_output_tokens,1465,1469,1476,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,349.23,65.60,66.95,vllm
ttft_p99_ms,1247.76,160.63,121.78,sglang
tpot_median_ms,21.40,14.84,22.46,vllm
tpot_p99_ms,43.64,26.26,26.78,vllm
e2e_median_ms,1153.24,603.31,839.75,vllm
e2e_p99_ms,2378.77,1001.67,1597.85,vllm
throughput_median_tps,32.21,60.28,41.83,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1155.00,0.00,1163.74,1,0.86,1
torchinferno,few_shot,1,1160.06,0.00,1169.96,1,0.85,1
torchinferno,few_shot,2,1156.41,219.60,1376.02,2,1.45,1
torchinferno,few_shot,3,1161.49,219.99,1381.48,2,1.45,1
torchinferno,few_shot,4,1684.63,0.00,1809.15,1,0.55,1
torchinferno,few_shot,5,1688.61,0.00,1811.45,1,0.55,1
torchinferno,few_shot,6,1683.54,0.00,1804.44,1,0.55,1
torchinferno,few_shot,7,1684.23,0.00,1810.13,1,0.55,1
torchinferno,few_shot,8,1686.09,0.00,1815.99,1,0.55,1
torchinferno,few_shot,9,1684.26,0.00,1811.78,1,0.55,1
torchinferno,few_shot,10,1681.30,130.48,1811.78,2,1.10,1
torchinferno,few_shot,11,1687.66,0.00,1814.14,1,0.55,1
torchinferno,few_shot,12,1684.14,138.73,1822.87,2,1.10,1
torchinferno,few_shot,13,1683.43,0.00,1825.72,1,0.55,1
torchinferno,few_shot,14,1693.07,0.00,1822.18,1,0.55,1
torchinferno,few_shot,15,1683.16,138.98,1822.14,2,1.10,1
torchinferno,few_shot,16,1696.36,137.24,1833.60,2,1.09,1
torchinferno,few_shot,17,1692.29,137.93,1830.22,2,1.09,1
torchinferno,few_shot,18,1679.00,0.00,1827.00,1,0.55,1
torchinferno,few_shot,19,1684.89,146.15,1831.04,2,1.09,1
torchinferno,few_shot,20,1691.44,0.00,1829.07,1,0.55,1
torchinferno,few_shot,21,1679.88,152.47,1832.35,2,1.09,1
torchinferno,few_shot,22,1688.26,0.00,1832.17,1,0.55,1
torchinferno,few_shot,23,1688.92,153.03,1841.96,2,1.09,1
torchinferno,few_shot,24,1681.84,0.00,1838.10,1,0.54,1
torchinferno,few_shot,25,1692.72,0.00,1846.52,1,0.54,1
torchinferno,few_shot,26,1693.42,153.35,1846.76,2,1.08,1
torchinferno,few_shot,27,1686.41,0.00,1844.97,1,0.54,1
torchinferno,few_shot,28,1698.93,0.00,1852.07,1,0.54,1
torchinferno,few_shot,29,1690.34,152.71,1843.05,2,1.09,1
torchinferno,few_shot,30,1683.46,167.89,1851.35,2,1.08,1
torchinferno,few_shot,31,1685.24,0.00,1856.43,1,0.54,1
torchinferno,few_shot,32,1681.75,173.55,1855.30,2,1.08,1
torchinferno,few_shot,33,1697.63,163.26,1860.89,2,1.07,1
torchinferno,few_shot,34,1690.63,159.10,1849.73,2,1.08,1
torchinferno,few_shot,35,1677.20,175.24,1852.43,2,1.08,1
torchinferno,few_shot,36,1688.58,0.00,1860.50,1,0.54,1
torchinferno,few_shot,37,1690.33,0.00,1860.81,1,0.54,1
torchinferno,few_shot,38,1687.30,0.00,1863.88,1,0.54,1
torchinferno,few_shot,39,1684.48,180.83,1865.31,2,1.07,1
torchinferno,few_shot,40,1683.52,0.00,1864.63,1,0.54,1
torchinferno,few_shot,41,1690.12,178.47,1868.59,2,1.07,1
torchinferno,few_shot,42,1694.11,180.28,1874.39,2,1.07,1
torchinferno,few_shot,43,1681.37,189.97,1871.34,2,1.07,1
torchinferno,few_shot,44,1682.69,0.00,1875.56,1,0.53,1
torchinferno,few_shot,45,1683.69,195.12,1878.81,2,1.06,1
