model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-23T15:02:58.193238

Build Times
provider,build_time_s
torchinferno,485.3
vllm,598.8
sglang,304.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,140.51,143.49,vllm
ttft_p99_ms,,1013.60,682.72,sglang
tpot_median_ms,,46.40,81.48,vllm
tpot_p99_ms,,135.43,609.22,vllm
e2e_median_ms,,180.28,217.58,vllm
e2e_p99_ms,,1069.39,914.68,sglang
throughput_median_tps,,7.56,5.57,vllm
total_output_tokens,,1462,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,192.05,209.07,vllm
ttft_p99_ms,,393.62,71584.97,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,221.00,344.87,vllm
e2e_p99_ms,,474.73,71687.29,vllm
throughput_median_tps,,4.52,2.90,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,159.24,171.92,vllm
ttft_p99_ms,,364.10,472.31,vllm
tpot_median_ms,,49.30,104.94,vllm
tpot_p99_ms,,194.38,238.44,vllm
e2e_median_ms,,201.16,276.49,vllm
e2e_p99_ms,,425.75,575.25,vllm
throughput_median_tps,,6.84,4.81,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,143.38,313.07,vllm
ttft_last_turn_ms,,161.67,195.02,vllm
ttft_growth_ratio,,1.13,0.62,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.72,81.18,vllm
ttft_p99_ms,,2074.84,903.31,sglang
tpot_median_ms,,30.21,43.69,vllm
tpot_p99_ms,,1735.81,134.64,sglang
e2e_median_ms,,81.84,128.42,vllm
e2e_p99_ms,,2142.09,909.31,sglang
throughput_median_tps,,14.80,10.25,vllm
total_output_tokens,,1470,1476,sglang
num_requests,,992,992,
correctness_rate,,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,69.98,87.03,vllm
ttft_p99_ms,,166.04,295.70,vllm
tpot_median_ms,,14.91,22.25,vllm
tpot_p99_ms,,22.79,51.46,vllm
e2e_median_ms,,603.50,866.80,vllm
e2e_p99_ms,,1019.40,1865.69,vllm
throughput_median_tps,,59.27,40.73,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,896.42,0.00,896.67,1,1.12,1
vllm,few_shot,1,892.63,0.00,897.38,1,1.11,1
vllm,few_shot,2,896.83,0.00,899.18,1,1.11,1
vllm,few_shot,3,906.87,0.00,907.00,1,1.10,1
vllm,few_shot,4,907.13,0.00,909.78,1,1.10,1
vllm,few_shot,5,904.48,0.00,912.70,1,1.10,1
vllm,few_shot,6,892.69,0.00,907.08,1,1.10,1
vllm,few_shot,7,905.88,0.00,917.20,1,1.09,1
vllm,few_shot,8,938.39,0.00,957.28,1,1.04,1
vllm,few_shot,9,935.10,0.00,956.26,1,1.05,1
vllm,few_shot,10,939.12,0.00,958.81,1,1.04,1
vllm,few_shot,11,939.17,0.00,961.55,1,1.04,1
vllm,few_shot,12,934.18,0.00,958.80,1,1.04,1
vllm,few_shot,13,934.59,41.86,976.45,2,2.05,1
vllm,few_shot,14,952.72,0.00,977.20,1,1.02,1
vllm,few_shot,15,950.86,0.00,978.33,1,1.02,1
vllm,few_shot,16,938.66,46.53,985.19,2,2.03,1
vllm,few_shot,17,936.04,49.19,985.23,2,2.03,1
vllm,few_shot,18,936.83,50.68,987.51,2,2.03,1
vllm,few_shot,19,955.15,0.00,986.51,1,1.01,1
vllm,few_shot,20,939.36,52.77,992.13,2,2.02,1
vllm,few_shot,21,936.87,53.04,989.91,2,2.02,1
vllm,few_shot,22,935.64,55.83,991.47,2,2.02,1
vllm,few_shot,23,949.96,54.36,1004.32,2,1.99,1
vllm,few_shot,24,981.36,0.00,1006.03,1,0.99,1
vllm,few_shot,25,974.58,0.00,1006.37,1,0.99,1
vllm,few_shot,26,951.05,58.51,1009.56,2,1.98,1
vllm,few_shot,27,948.88,62.37,1011.26,2,1.98,1
vllm,few_shot,28,972.17,0.00,1009.60,1,0.99,1
vllm,few_shot,29,971.81,0.00,1011.22,1,0.99,1
vllm,few_shot,30,949.42,66.36,1015.78,2,1.97,1
vllm,few_shot,31,972.89,0.00,1016.91,1,0.98,1
vllm,few_shot,32,976.92,0.00,1017.90,1,0.98,1
vllm,few_shot,33,979.70,0.00,1019.04,1,0.98,1
vllm,few_shot,34,980.61,0.00,1020.23,1,0.98,1
vllm,few_shot,35,973.58,0.00,1022.46,1,0.98,1
vllm,few_shot,36,979.81,46.36,1026.17,2,1.95,1
vllm,few_shot,37,995.69,0.00,1024.86,1,0.98,1
vllm,few_shot,38,998.55,0.00,1029.14,1,0.97,1
vllm,few_shot,39,997.73,0.00,1029.51,1,0.97,1
vllm,few_shot,40,977.95,57.43,1035.38,2,1.93,1
vllm,few_shot,41,1006.68,0.00,1034.62,1,0.97,1
vllm,few_shot,42,85.07,0.00,85.44,1,11.70,1
vllm,few_shot,43,982.54,58.21,1040.75,2,1.92,1
vllm,few_shot,44,1014.63,0.00,1040.55,1,0.96,1
vllm,few_shot,45,1002.12,39.35,1041.47,2,1.92,1
vllm,few_shot,46,997.81,44.59,1042.41,2,1.92,1
vllm,few_shot,47,985.45,62.00,1047.45,2,1.91,1
vllm,few_shot,48,149.79,0.00,150.12,1,6.66,1
vllm,few_shot,49,142.34,0.00,160.76,1,6.22,1
vllm,few_shot,50,1001.11,0.00,1047.35,1,0.95,1
vllm,few_shot,51,70.79,0.00,97.42,1,10.26,1
vllm,few_shot,52,131.22,0.00,158.32,1,6.32,1
vllm,few_shot,53,142.01,0.00,162.13,1,6.17,1
vllm,few_shot,54,999.56,55.26,1054.82,2,1.90,1
vllm,few_shot,55,134.56,0.00,158.14,1,6.32,1
vllm,few_shot,56,1002.49,55.47,1057.96,2,1.89,1
vllm,few_shot,57,1038.27,20.26,1058.53,2,1.89,1
vllm,few_shot,58,1021.41,0.00,1061.39,1,0.94,1
vllm,few_shot,59,1032.15,0.00,1060.99,1,0.94,1
vllm,few_shot,60,1031.46,30.61,1062.07,2,1.88,1
vllm,few_shot,61,140.39,0.00,155.20,1,6.44,1
vllm,few_shot,62,81.99,0.00,117.77,1,8.49,1
vllm,few_shot,63,979.51,92.14,1071.65,2,1.87,1
vllm,few_shot,64,1015.44,0.00,1069.72,1,0.93,1
vllm,few_shot,65,1026.25,43.14,1069.39,2,1.87,1
vllm,few_shot,66,1013.60,0.00,1072.10,1,0.93,1
vllm,few_shot,67,1001.01,72.38,1073.39,2,1.86,1
vllm,few_shot,68,74.23,47.29,121.52,2,16.46,1
vllm,few_shot,69,86.07,0.00,91.14,1,10.97,1
vllm,few_shot,70,1048.42,27.20,1075.61,2,1.86,1
vllm,few_shot,71,80.21,0.00,99.36,1,10.06,1
vllm,few_shot,72,102.02,4.26,106.28,2,18.82,1
vllm,few_shot,73,70.62,27.91,98.53,2,20.30,1
vllm,few_shot,74,78.17,0.00,102.03,1,9.80,1
vllm,few_shot,75,82.45,51.52,133.97,2,14.93,1
vllm,few_shot,76,81.89,0.00,99.64,1,10.04,1
vllm,few_shot,77,72.48,0.00,105.54,1,9.47,1
vllm,few_shot,78,998.02,89.94,1087.95,2,1.84,1
vllm,few_shot,79,1040.95,47.59,1088.54,2,1.84,1
vllm,few_shot,80,998.94,91.45,1090.38,2,1.83,1
vllm,few_shot,81,112.93,6.93,119.85,2,16.69,1
vllm,few_shot,82,132.33,61.75,194.08,2,10.31,1
vllm,few_shot,83,77.92,0.00,78.13,1,12.80,1
vllm,few_shot,84,88.34,34.99,123.33,2,16.22,1
vllm,few_shot,85,136.95,0.00,209.57,1,4.77,1
vllm,few_shot,86,114.03,3.74,117.77,2,16.98,1
vllm,few_shot,87,73.64,21.90,95.54,2,20.93,1
vllm,few_shot,88,86.70,0.00,103.86,1,9.63,1
vllm,few_shot,89,976.61,131.12,1107.73,2,1.81,1
vllm,few_shot,90,72.87,0.00,103.03,1,9.71,1
vllm,few_shot,91,89.65,16.40,106.05,2,18.86,1
vllm,few_shot,92,88.33,10.77,99.10,2,20.18,1
vllm,few_shot,93,110.53,0.00,126.62,1,7.90,1
vllm,few_shot,94,101.67,0.00,114.91,1,8.70,1
vllm,few_shot,95,76.21,34.20,110.41,2,18.11,1
vllm,few_shot,96,92.56,0.00,115.01,1,8.69,1
vllm,few_shot,97,123.28,0.00,147.41,1,6.78,1
vllm,few_shot,98,111.08,0.00,135.11,1,7.40,1
vllm,few_shot,99,99.30,0.00,107.37,1,9.31,1
vllm,few_shot,100,140.09,0.00,149.35,1,6.70,1
vllm,few_shot,101,123.52,0.00,133.33,1,7.50,1
vllm,few_shot,102,130.66,0.00,142.13,1,7.04,1
vllm,few_shot,103,122.86,0.00,123.12,1,8.12,1
vllm,few_shot,104,58.93,34.47,93.40,2,21.41,1
vllm,few_shot,105,100.14,24.60,124.75,2,16.03,1
vllm,few_shot,106,140.88,0.00,156.89,1,6.37,1
vllm,few_shot,107,108.92,0.00,127.34,1,7.85,1
vllm,few_shot,108,97.10,0.00,118.23,1,8.46,1
vllm,few_shot,109,128.47,0.00,151.22,1,6.61,1
vllm,few_shot,110,114.20,0.00,137.67,1,7.26,1
vllm,few_shot,111,133.19,0.00,158.60,1,6.31,1
vllm,few_shot,112,158.83,43.20,202.03,2,9.90,1
vllm,few_shot,113,122.76,38.68,161.45,2,12.39,1
vllm,few_shot,114,124.95,46.05,171.00,2,11.70,1
vllm,few_shot,115,132.60,45.13,177.73,2,11.25,1
vllm,few_shot,116,139.73,0.00,171.53,1,5.83,1
vllm,few_shot,117,141.81,0.00,177.87,1,5.62,1
vllm,few_shot,118,158.42,0.00,196.78,1,5.08,1
vllm,few_shot,119,151.12,0.00,174.51,1,5.73,1
vllm,few_shot,120,148.73,0.00,170.19,1,5.88,1
vllm,few_shot,121,139.25,0.00,163.51,1,6.12,1
vllm,few_shot,122,108.14,0.00,143.96,1,6.95,1
vllm,few_shot,123,119.13,59.97,179.10,2,11.17,1
vllm,few_shot,124,126.05,0.00,162.48,1,6.15,1
vllm,few_shot,125,117.15,64.22,181.36,2,11.03,1
vllm,few_shot,126,170.54,0.00,194.92,1,5.13,1
vllm,few_shot,127,130.97,65.34,196.31,2,10.19,1
vllm,few_shot,128,138.87,0.00,170.95,1,5.85,1
vllm,few_shot,129,147.23,0.00,184.15,1,5.43,1
vllm,few_shot,130,124.32,71.47,195.79,2,10.22,1
vllm,few_shot,131,131.22,0.00,175.30,1,5.70,1
vllm,few_shot,132,174.91,0.34,175.25,2,11.41,1
vllm,few_shot,133,116.19,0.00,147.52,1,6.78,1
vllm,few_shot,134,105.05,0.00,110.26,1,9.07,1
vllm,few_shot,135,145.27,5.32,150.59,2,13.28,1
vllm,few_shot,136,138.85,28.33,167.18,2,11.96,1
vllm,few_shot,137,153.19,60.27,213.46,2,9.37,1
vllm,few_shot,138,120.12,67.45,187.57,2,10.66,1
vllm,few_shot,139,129.82,0.00,195.56,1,5.11,1
vllm,few_shot,140,115.68,0.00,126.11,1,7.93,1
vllm,few_shot,141,120.33,0.00,125.42,1,7.97,1
vllm,few_shot,142,151.73,0.00,206.59,1,4.84,1
vllm,few_shot,143,164.04,41.77,205.82,2,9.72,1
vllm,few_shot,144,105.82,0.00,152.00,1,6.58,1
vllm,few_shot,145,148.90,49.08,197.98,2,10.10,1
vllm,few_shot,146,177.39,78.10,255.49,2,7.83,1
vllm,few_shot,147,144.42,0.00,195.47,1,5.12,1
vllm,few_shot,148,129.58,0.00,184.54,1,5.42,1
vllm,few_shot,149,67.29,30.34,97.63,2,20.49,1
vllm,few_shot,150,153.13,105.83,258.96,2,7.72,1
vllm,few_shot,151,135.21,0.00,140.33,1,7.13,1
vllm,few_shot,152,152.43,42.84,195.27,2,10.24,1
vllm,few_shot,153,158.13,82.33,240.45,2,8.32,1
vllm,few_shot,154,89.65,54.60,144.26,2,13.86,1
vllm,few_shot,155,123.13,83.99,207.12,2,9.66,1
vllm,few_shot,156,73.26,0.00,113.43,1,8.82,1
vllm,few_shot,157,108.32,31.93,140.25,2,14.26,1
vllm,few_shot,158,65.71,0.00,89.45,1,11.18,1
vllm,few_shot,159,144.90,9.96,154.86,2,12.92,1
vllm,few_shot,160,158.49,26.33,211.15,3,14.21,0
vllm,few_shot,161,72.06,0.00,123.28,1,8.11,1
vllm,few_shot,162,87.57,0.00,97.29,1,10.28,1
vllm,few_shot,163,136.40,74.33,210.73,2,9.49,1
vllm,few_shot,164,135.03,93.87,228.90,2,8.74,1
vllm,few_shot,165,140.95,0.00,141.18,1,7.08,1
vllm,few_shot,166,163.06,74.40,237.46,2,8.42,1
vllm,few_shot,167,66.49,60.84,127.32,2,15.71,1
vllm,few_shot,168,84.83,24.09,108.92,2,18.36,1
vllm,few_shot,169,147.57,61.36,208.93,2,9.57,1
vllm,few_shot,170,120.01,9.49,129.50,2,15.44,1
vllm,few_shot,171,67.65,0.00,105.88,1,9.44,1
vllm,few_shot,172,214.10,7.32,221.42,2,9.03,1
vllm,few_shot,173,107.58,0.00,177.43,1,5.64,1
vllm,few_shot,174,63.88,42.53,106.41,2,18.79,1
vllm,few_shot,175,131.47,106.39,237.86,2,8.41,1
vllm,few_shot,176,117.59,0.00,200.16,1,5.00,1
vllm,few_shot,177,173.09,0.00,253.62,1,3.94,1
vllm,few_shot,178,166.20,0.00,173.63,1,5.76,1
vllm,few_shot,179,96.36,76.72,173.09,2,11.55,1
vllm,few_shot,180,75.99,44.56,120.55,2,16.59,1
vllm,few_shot,181,66.75,45.89,112.64,2,17.76,1
vllm,few_shot,182,66.26,0.00,117.24,1,8.53,1
vllm,few_shot,183,88.51,0.00,101.98,1,9.81,1
vllm,few_shot,184,98.65,0.00,110.99,1,9.01,1
vllm,few_shot,185,123.13,0.00,139.21,1,7.18,1
vllm,few_shot,186,115.85,0.00,129.44,1,7.73,1
vllm,few_shot,187,128.88,0.00,142.61,1,7.01,1
vllm,few_shot,188,129.99,30.64,160.63,2,12.45,1
vllm,few_shot,189,78.10,23.15,101.25,2,19.75,1
vllm,few_shot,190,124.71,22.53,147.24,2,13.58,1
vllm,few_shot,191,83.31,26.08,109.39,2,18.28,1
vllm,few_shot,192,113.97,27.27,141.24,2,14.16,1
vllm,few_shot,193,131.06,31.35,162.42,2,12.31,1
vllm,few_shot,194,169.19,0.00,188.69,1,5.30,1
vllm,few_shot,195,107.39,0.00,124.20,1,8.05,1
vllm,few_shot,196,113.73,0.00,129.54,1,7.72,1
vllm,few_shot,197,180.06,0.00,198.02,1,5.05,1
vllm,few_shot,198,145.51,0.00,166.05,1,6.02,1
vllm,few_shot,199,149.51,0.00,177.09,1,5.65,1
vllm,few_shot,200,104.89,0.00,135.37,1,7.39,1
vllm,few_shot,201,164.56,0.00,194.76,1,5.13,1
vllm,few_shot,202,156.52,0.00,188.96,1,5.29,1
vllm,few_shot,203,139.27,0.00,177.03,1,5.65,1
vllm,few_shot,204,119.37,0.00,157.31,1,6.36,1
vllm,few_shot,205,129.07,0.00,166.74,1,6.00,1
vllm,few_shot,206,178.91,56.23,235.14,2,8.51,1
vllm,few_shot,207,202.50,0.00,244.52,1,4.09,1
vllm,few_shot,208,113.03,0.00,158.79,1,6.30,1
vllm,few_shot,209,176.44,60.61,237.05,2,8.44,1
vllm,few_shot,210,196.97,0.00,257.42,1,3.88,1
vllm,few_shot,211,174.77,0.00,237.28,1,4.21,1
vllm,few_shot,212,181.50,86.20,267.70,2,7.47,1
vllm,few_shot,213,218.86,0.00,271.81,1,3.68,1
vllm,few_shot,214,219.24,0.00,285.96,1,3.50,1
vllm,few_shot,215,167.02,0.00,235.43,1,4.25,1
vllm,few_shot,216,182.72,0.00,260.25,1,3.84,1
vllm,few_shot,217,237.10,0.00,237.38,1,4.21,1
vllm,few_shot,218,155.34,0.00,218.63,1,4.57,1
vllm,few_shot,219,164.04,80.02,244.07,2,8.19,1
vllm,few_shot,220,225.68,84.94,310.62,2,6.44,1
vllm,few_shot,221,133.31,109.13,242.44,2,8.25,1
vllm,few_shot,222,158.27,77.66,235.93,2,8.48,1
vllm,few_shot,223,288.51,0.00,315.42,1,3.17,1
vllm,few_shot,224,241.08,0.00,259.07,1,3.86,1
vllm,few_shot,225,266.77,0.00,267.00,1,3.75,1
vllm,few_shot,226,240.31,0.00,265.27,1,3.77,1
vllm,few_shot,227,148.83,94.52,243.36,2,8.22,1
vllm,few_shot,228,201.88,0.00,224.19,1,4.46,1
vllm,few_shot,229,180.10,94.22,274.33,2,7.29,1
vllm,few_shot,230,142.39,90.71,233.10,2,8.58,1
vllm,few_shot,231,142.90,0.00,148.21,1,6.75,1
vllm,few_shot,232,176.77,0.00,269.20,1,3.71,1
vllm,few_shot,233,255.06,0.00,295.80,1,3.38,1
vllm,few_shot,234,139.42,0.00,139.66,1,7.16,1
vllm,few_shot,235,139.44,0.00,247.13,1,4.05,1
vllm,few_shot,236,124.63,5.86,130.49,2,15.33,1
vllm,few_shot,237,170.16,0.00,275.68,1,3.63,1
vllm,few_shot,238,206.78,36.08,242.85,2,8.24,1
vllm,few_shot,239,140.48,41.41,181.89,2,11.00,1
vllm,few_shot,240,107.75,0.00,139.37,1,7.17,1
vllm,few_shot,241,197.07,0.00,252.44,1,3.96,1
vllm,few_shot,242,138.37,0.00,183.70,1,5.44,1
vllm,few_shot,243,103.88,37.22,141.11,2,14.17,1
vllm,few_shot,244,265.34,39.99,305.33,2,6.55,1
vllm,few_shot,245,175.72,0.00,281.84,1,3.55,1
vllm,few_shot,246,152.21,0.00,269.54,1,3.71,1
vllm,few_shot,247,91.92,0.00,111.89,1,8.94,1
vllm,few_shot,248,196.73,123.05,319.78,2,6.25,1
vllm,few_shot,249,153.40,0.00,205.26,1,4.87,1
vllm,few_shot,250,120.24,0.00,120.48,1,8.30,1
vllm,few_shot,251,96.24,21.54,117.78,2,16.98,1
vllm,few_shot,252,111.07,0.00,115.14,1,8.68,1
vllm,few_shot,253,200.09,73.72,273.81,2,7.30,1
vllm,few_shot,254,134.56,135.43,269.99,2,7.41,1
vllm,few_shot,255,124.16,10.63,134.79,2,14.84,1
vllm,few_shot,256,128.58,5.45,134.03,2,14.92,1
