model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T01:03:22.274459+00:00

Build Times
provider,build_time_s
torchinferno,452.9
vllm,533.4
sglang,265.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,141.75,152.06,vllm
ttft_p99_ms,,1193.07,665.83,sglang
tpot_median_ms,,50.38,81.13,vllm
tpot_p99_ms,,149.24,392.76,vllm
e2e_median_ms,,188.54,226.21,vllm
e2e_p99_ms,,1242.13,884.09,sglang
throughput_median_tps,,7.43,5.39,vllm
total_output_tokens,,1457,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,185.82,220.84,vllm
ttft_p99_ms,,464.81,69863.12,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,208.64,398.44,vllm
e2e_p99_ms,,483.66,69921.85,vllm
throughput_median_tps,,4.79,2.51,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,160.62,165.73,vllm
ttft_p99_ms,,309.52,284.77,sglang
tpot_median_ms,,54.31,101.42,vllm
tpot_p99_ms,,179.92,232.42,vllm
e2e_median_ms,,199.51,264.10,vllm
e2e_p99_ms,,390.06,434.50,vllm
throughput_median_tps,,6.51,5.14,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,127.70,117.32,sglang
ttft_last_turn_ms,,162.06,196.39,vllm
ttft_growth_ratio,,1.27,1.67,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.82,83.60,vllm
ttft_p99_ms,,3725.72,573.24,sglang
tpot_median_ms,,29.17,48.89,vllm
tpot_p99_ms,,1781.13,130.87,sglang
e2e_median_ms,,82.65,146.33,vllm
e2e_p99_ms,,3806.16,622.20,sglang
throughput_median_tps,,14.97,9.44,vllm
total_output_tokens,,1470,1458,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,75.94,75.62,sglang
ttft_p99_ms,,176.42,151.66,sglang
tpot_median_ms,,14.89,22.44,vllm
tpot_p99_ms,,19.23,27.32,vllm
e2e_median_ms,,610.25,842.84,vllm
e2e_p99_ms,,988.33,1615.58,vllm
throughput_median_tps,,58.31,41.21,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,1039.56,0.00,1039.74,1,0.96,1
vllm,few_shot,1,1043.88,0.00,1046.72,1,0.96,1
vllm,few_shot,2,1045.47,0.00,1049.67,1,0.95,1
vllm,few_shot,3,1049.08,0.00,1049.20,1,0.95,1
vllm,few_shot,4,1053.22,0.00,1064.39,1,0.94,1
vllm,few_shot,5,1098.03,0.00,1109.03,1,0.90,1
vllm,few_shot,6,1088.90,0.00,1104.74,1,0.91,1
vllm,few_shot,7,1088.02,0.00,1109.39,1,0.90,1
vllm,few_shot,8,1088.75,0.00,1111.70,1,0.90,1
vllm,few_shot,9,1089.15,0.00,1111.74,1,0.90,1
vllm,few_shot,10,1098.05,0.00,1114.87,1,0.90,1
vllm,few_shot,11,1092.63,0.00,1115.55,1,0.90,1
vllm,few_shot,12,1091.45,0.00,1117.65,1,0.89,1
vllm,few_shot,13,1087.44,0.00,1117.78,1,0.89,1
vllm,few_shot,14,1084.20,48.32,1132.53,2,1.77,1
vllm,few_shot,15,1102.64,0.00,1134.81,1,0.88,1
vllm,few_shot,16,1086.93,50.33,1137.26,2,1.76,1
vllm,few_shot,17,1084.34,56.17,1140.51,2,1.75,1
vllm,few_shot,18,1113.50,0.00,1138.70,1,0.88,1
vllm,few_shot,19,1109.77,0.00,1140.24,1,0.88,1
vllm,few_shot,20,1084.55,59.12,1143.67,2,1.75,1
vllm,few_shot,21,1087.74,58.60,1146.34,2,1.74,1
vllm,few_shot,22,1094.26,57.11,1151.37,2,1.74,1
vllm,few_shot,23,1099.62,92.69,1192.30,2,1.68,1
vllm,few_shot,24,1126.67,0.00,1195.78,1,0.84,1
vllm,few_shot,25,1126.55,0.00,1190.40,1,0.84,1
vllm,few_shot,26,1117.37,0.00,1189.87,1,0.84,1
vllm,few_shot,27,1132.89,0.00,1194.79,1,0.84,1
vllm,few_shot,28,1113.55,89.74,1203.29,2,1.66,1
vllm,few_shot,29,1104.90,99.48,1204.37,2,1.66,1
vllm,few_shot,30,1132.97,0.00,1205.82,1,0.83,1
vllm,few_shot,31,1184.96,0.00,1199.91,1,0.83,1
vllm,few_shot,32,1119.79,0.00,1200.87,1,0.83,1
vllm,few_shot,33,1129.42,0.00,1203.80,1,0.83,1
vllm,few_shot,34,1105.59,109.16,1214.75,2,1.65,1
vllm,few_shot,35,1117.72,89.89,1207.60,2,1.66,1
vllm,few_shot,36,1184.02,0.00,1205.69,1,0.83,1
vllm,few_shot,37,1182.95,0.00,1206.92,1,0.83,1
vllm,few_shot,38,1128.60,0.00,1212.24,1,0.82,1
vllm,few_shot,39,155.51,0.00,184.26,1,5.43,1
vllm,few_shot,40,136.13,0.00,164.57,1,6.08,1
vllm,few_shot,41,177.73,0.00,182.71,1,5.47,1
vllm,few_shot,42,1120.27,0.00,1216.72,1,0.82,1
