model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-25T09:02:52.936506+00:00

Build Times
provider,build_time_s
torchinferno,441.3
vllm,521.4
sglang,268.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,139.65,140.18,vllm
ttft_p99_ms,,980.98,602.47,sglang
tpot_median_ms,,47.88,76.09,vllm
tpot_p99_ms,,127.73,388.29,vllm
e2e_median_ms,,181.59,210.31,vllm
e2e_p99_ms,,1024.17,873.85,sglang
throughput_median_tps,,7.66,5.71,vllm
total_output_tokens,,1462,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,189.15,205.64,vllm
ttft_p99_ms,,423.18,69786.71,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,213.35,340.98,vllm
e2e_p99_ms,,456.94,69830.03,vllm
throughput_median_tps,,4.69,2.93,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,158.92,161.16,vllm
ttft_p99_ms,,335.41,336.10,vllm
tpot_median_ms,,54.50,109.83,vllm
tpot_p99_ms,,181.65,433.78,vllm
e2e_median_ms,,205.67,267.86,vllm
e2e_p99_ms,,394.84,591.58,vllm
throughput_median_tps,,6.61,5.01,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,133.43,107.94,sglang
ttft_last_turn_ms,,170.42,200.00,vllm
ttft_growth_ratio,,1.28,1.85,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,58.20,79.45,vllm
ttft_p99_ms,,2053.59,428.16,sglang
tpot_median_ms,,28.82,34.08,vllm
tpot_p99_ms,,1730.12,115.82,sglang
e2e_median_ms,,80.06,120.92,vllm
e2e_p99_ms,,2083.04,521.62,sglang
throughput_median_tps,,15.06,10.69,vllm
total_output_tokens,,1476,1469,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,77.72,72.27,sglang
ttft_p99_ms,,193.20,170.27,sglang
tpot_median_ms,,15.14,22.23,vllm
tpot_p99_ms,,23.30,26.59,vllm
e2e_median_ms,,635.51,826.47,vllm
e2e_p99_ms,,1068.20,1579.24,vllm
throughput_median_tps,,57.38,42.15,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,839.51,0.00,840.82,1,1.19,1
vllm,few_shot,1,842.03,0.00,842.16,1,1.19,1
vllm,few_shot,2,841.14,0.00,841.27,1,1.19,1
vllm,few_shot,3,834.38,0.00,840.81,1,1.19,1
vllm,few_shot,4,841.30,0.00,847.10,1,1.18,1
vllm,few_shot,5,839.73,0.00,845.98,1,1.18,1
vllm,few_shot,6,843.50,0.00,846.10,1,1.18,1
vllm,few_shot,7,847.60,0.00,848.99,1,1.18,1
vllm,few_shot,8,847.94,0.00,849.73,1,1.18,1
vllm,few_shot,9,849.23,0.00,853.67,1,1.17,1
vllm,few_shot,10,848.92,31.60,880.52,2,2.27,1
vllm,few_shot,11,873.97,0.00,888.07,1,1.13,1
vllm,few_shot,12,885.05,0.00,900.00,1,1.11,1
vllm,few_shot,13,876.69,0.00,898.95,1,1.11,1
vllm,few_shot,14,875.75,0.00,897.97,1,1.11,1
vllm,few_shot,15,874.53,41.76,916.29,2,2.18,1
vllm,few_shot,16,877.00,40.07,917.07,2,2.18,1
vllm,few_shot,17,881.52,0.00,909.56,1,1.10,1
vllm,few_shot,18,874.69,44.37,919.07,2,2.18,1
vllm,few_shot,19,875.37,44.41,919.77,2,2.17,1
vllm,few_shot,20,888.24,0.00,914.74,1,1.09,1
vllm,few_shot,21,876.67,47.58,924.26,2,2.16,1
vllm,few_shot,22,875.47,50.07,925.54,2,2.16,1
vllm,few_shot,23,898.43,0.00,921.75,1,1.08,1
vllm,few_shot,24,903.07,0.00,926.69,1,1.08,1
vllm,few_shot,25,893.25,43.72,936.97,2,2.13,1
vllm,few_shot,26,894.58,43.84,938.42,2,2.13,1
vllm,few_shot,27,903.00,0.00,931.25,1,1.07,1
vllm,few_shot,28,900.45,0.00,933.38,1,1.07,1
vllm,few_shot,29,903.58,0.00,936.20,1,1.07,1
vllm,few_shot,30,891.55,56.03,947.58,2,2.11,1
vllm,few_shot,31,887.42,53.73,941.16,2,2.13,1
vllm,few_shot,32,900.91,0.00,941.30,1,1.06,1
vllm,few_shot,33,910.04,0.00,942.90,1,1.06,1
vllm,few_shot,34,897.26,88.75,986.01,2,2.03,1
vllm,few_shot,35,903.99,87.78,991.76,2,2.02,1
vllm,few_shot,36,902.68,89.88,992.56,2,2.01,1
vllm,few_shot,37,929.35,0.00,993.78,1,1.01,1
vllm,few_shot,38,922.73,0.00,993.69,1,1.01,1
vllm,few_shot,39,928.29,0.00,994.10,1,1.01,1
vllm,few_shot,40,932.39,0.00,996.09,1,1.00,1
vllm,few_shot,41,907.42,94.72,1002.14,2,2.00,1
vllm,few_shot,42,902.15,100.43,1002.58,2,1.99,1
vllm,few_shot,43,931.66,0.00,1002.83,1,1.00,1
vllm,few_shot,44,175.42,0.00,180.40,1,5.54,1
vllm,few_shot,45,164.83,0.00,170.16,1,5.88,1
