model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-04T15:02:12.959025+00:00

Build Times
provider,build_time_s
torchinferno,45.9
vllm,261.4
sglang,148.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,170.15,169.42,146.43,sglang
ttft_p99_ms,841.86,322.36,583.86,vllm
tpot_median_ms,49.13,59.84,77.75,torchinferno
tpot_p99_ms,168.20,171.42,145.46,sglang
e2e_median_ms,225.37,222.24,219.77,sglang
e2e_p99_ms,866.31,377.68,642.31,vllm
throughput_median_tps,5.59,6.40,5.35,vllm
total_output_tokens,1461,1455,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,170.39,157.34,221.82,vllm
ttft_p99_ms,472.09,477.65,70124.39,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,179.34,274.03,374.51,torchinferno
e2e_p99_ms,492.30,684.17,70270.47,torchinferno
throughput_median_tps,5.58,3.65,2.67,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,346.04,176.70,160.47,sglang
ttft_p99_ms,595.61,475.69,672.31,vllm
tpot_median_ms,61.29,51.23,101.07,vllm
tpot_p99_ms,122.39,197.34,278.21,torchinferno
e2e_median_ms,402.41,223.68,266.27,vllm
e2e_p99_ms,643.36,523.79,787.55,vllm
throughput_median_tps,3.59,5.99,5.03,vllm
total_output_tokens,1454,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,253.52,155.77,107.44,sglang
ttft_last_turn_ms,416.88,162.95,187.88,vllm
ttft_growth_ratio,1.64,1.05,1.75,vllm
ttft_first_turn_median_ms,244.98,140.81,97.44,sglang
ttft_first_turn_p99_ms,409.89,453.28,179.44,sglang
ttft_last_turn_median_ms,391.76,159.10,187.66,vllm
ttft_last_turn_p99_ms,644.44,343.37,314.42,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,130.62,66.07,73.89,vllm
ttft_p99_ms,415.12,2093.21,201.28,sglang
tpot_median_ms,32.97,30.64,82.23,vllm
tpot_p99_ms,101.79,2023.51,525.96,torchinferno
e2e_median_ms,156.03,89.16,154.77,vllm
e2e_p99_ms,439.51,2137.18,604.15,torchinferno
throughput_median_tps,8.39,13.35,9.43,vllm
total_output_tokens,1477,1464,1463,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,268.18,84.63,72.28,sglang
ttft_p99_ms,666.55,221.69,368.58,vllm
tpot_median_ms,20.20,14.88,22.38,vllm
tpot_p99_ms,35.48,21.99,30.62,vllm
e2e_median_ms,968.28,636.58,827.08,vllm
e2e_p99_ms,1728.33,1013.70,1595.48,vllm
throughput_median_tps,37.25,57.78,41.63,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,699.67,0.00,707.40,1,1.41,1,,,,,,,1,,,
torchinferno,few_shot,12,1,699.50,0.00,707.08,1,1.41,1,,,,,,,12,,,
torchinferno,few_shot,8,2,701.53,0.00,710.10,1,1.41,1,,,,,,,8,,,
torchinferno,few_shot,4,3,697.45,0.00,714.45,1,1.40,1,,,,,,,4,,,
torchinferno,few_shot,7,4,695.45,0.00,715.42,1,1.40,1,,,,,,,7,,,
torchinferno,few_shot,9,5,700.02,0.00,716.69,1,1.40,1,,,,,,,9,,,
torchinferno,few_shot,10,6,697.47,0.00,717.71,1,1.39,1,,,,,,,10,,,
torchinferno,few_shot,11,7,698.88,0.00,718.58,1,1.39,1,,,,,,,11,,,
torchinferno,few_shot,18,8,690.13,21.62,711.75,2,2.81,1,,,,,,,18,,,
torchinferno,few_shot,5,9,698.62,0.00,724.02,1,1.38,1,,,,,,,5,,,
torchinferno,few_shot,16,10,691.93,23.90,715.83,2,2.79,1,,,,,,,16,,,
torchinferno,few_shot,2,11,698.21,30.08,728.29,2,2.75,1,,,,,,,2,,,
torchinferno,few_shot,13,12,695.85,30.41,726.26,2,2.75,1,,,,,,,13,,,
torchinferno,few_shot,20,13,691.06,28.44,719.50,2,2.78,1,,,,,,,20,,,
torchinferno,few_shot,14,14,694.71,34.00,728.71,2,2.74,1,,,,,,,14,,,
torchinferno,few_shot,3,15,699.35,34.64,733.99,2,2.72,1,,,,,,,3,,,
torchinferno,few_shot,17,16,689.50,0.00,723.84,1,1.38,1,,,,,,,17,,,
torchinferno,few_shot,6,17,699.83,35.35,735.18,2,2.72,1,,,,,,,6,,,
torchinferno,few_shot,0,18,702.95,36.59,739.55,2,2.70,1,,,,,,,0,,,
torchinferno,few_shot,15,19,692.73,37.45,730.18,2,2.74,1,,,,,,,15,,,
torchinferno,few_shot,38,20,764.00,0.00,777.16,1,1.29,1,,,,,,,38,,,
torchinferno,few_shot,26,21,767.99,0.00,781.50,1,1.28,1,,,,,,,26,,,
torchinferno,few_shot,41,22,766.28,0.00,782.89,1,1.28,1,,,,,,,41,,,
torchinferno,few_shot,28,23,768.83,0.00,788.54,1,1.27,1,,,,,,,28,,,
torchinferno,few_shot,42,24,763.36,0.00,786.51,1,1.27,1,,,,,,,42,,,
torchinferno,few_shot,24,25,772.49,0.00,792.32,1,1.26,1,,,,,,,24,,,
torchinferno,few_shot,47,26,763.54,0.00,788.03,1,1.27,1,,,,,,,47,,,
torchinferno,few_shot,34,27,770.39,0.00,793.06,1,1.26,1,,,,,,,34,,,
torchinferno,few_shot,39,28,763.62,0.00,793.02,1,1.26,1,,,,,,,39,,,
torchinferno,few_shot,22,29,765.38,33.66,799.04,2,2.50,1,,,,,,,22,,,
torchinferno,few_shot,46,30,766.38,0.00,795.11,1,1.26,1,,,,,,,46,,,
torchinferno,few_shot,48,31,765.96,0.00,795.22,1,1.26,1,,,,,,,48,,,
torchinferno,few_shot,45,32,761.18,38.69,799.87,2,2.50,1,,,,,,,45,,,
torchinferno,few_shot,43,33,766.09,0.00,801.82,1,1.25,1,,,,,,,43,,,
torchinferno,few_shot,25,34,766.74,0.00,807.35,1,1.24,1,,,,,,,25,,,
torchinferno,few_shot,35,35,765.71,0.00,807.13,1,1.24,1,,,,,,,35,,,
torchinferno,few_shot,21,36,765.37,47.00,812.37,2,2.46,1,,,,,,,21,,,
torchinferno,few_shot,44,37,763.98,44.58,808.56,2,2.47,1,,,,,,,44,,,
torchinferno,few_shot,51,38,762.24,44.14,806.37,2,2.48,1,,,,,,,51,,,
