model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-24T09:28:07.995689

Build Times
provider,build_time_s
torchinferno,3.9
vllm,86.2
sglang,9.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,165.32,160.09,142.96,sglang
ttft_p99_ms,1830.28,400.66,535.09,vllm
tpot_median_ms,52.34,61.52,81.45,torchinferno
tpot_p99_ms,157.65,307.83,554.35,torchinferno
e2e_median_ms,214.97,219.59,219.33,torchinferno
e2e_p99_ms,1888.04,453.31,746.82,vllm
throughput_median_tps,5.65,6.56,5.37,vllm
total_output_tokens,1451,1450,1457,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,221.14,168.99,222.96,vllm
ttft_p99_ms,695.18,670.81,58991.77,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,368.75,300.43,419.15,vllm
e2e_p99_ms,814.63,916.39,59152.69,torchinferno
throughput_median_tps,2.71,3.33,2.39,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,427.60,182.56,180.38,sglang
ttft_p99_ms,1894.70,388.78,705.36,vllm
tpot_median_ms,68.55,70.68,110.87,torchinferno
tpot_p99_ms,227.86,197.55,472.67,vllm
e2e_median_ms,502.42,242.50,299.36,vllm
e2e_p99_ms,1953.93,460.51,869.48,vllm
throughput_median_tps,2.31,5.73,4.29,vllm
total_output_tokens,1450,1450,1444,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,951.72,171.19,114.11,sglang
ttft_last_turn_ms,959.60,189.83,209.68,vllm
ttft_growth_ratio,1.01,1.11,1.84,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.65,72.74,76.65,vllm
ttft_p99_ms,1205.62,3434.93,539.42,sglang
tpot_median_ms,51.38,35.56,62.32,vllm
tpot_p99_ms,551.82,1727.56,537.53,sglang
e2e_median_ms,323.52,100.43,149.59,vllm
e2e_p99_ms,1265.84,3484.80,619.47,sglang
throughput_median_tps,4.31,12.04,8.89,vllm
total_output_tokens,1474,1463,1469,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,404.96,88.08,89.64,vllm
ttft_p99_ms,1933.55,358.11,552.92,vllm
tpot_median_ms,24.76,18.87,26.17,vllm
tpot_p99_ms,54.47,40.79,42.27,vllm
e2e_median_ms,1440.67,772.60,1025.60,vllm
e2e_p99_ms,3036.35,1281.87,1894.44,vllm
throughput_median_tps,25.85,47.05,34.56,vllm
total_output_tokens,36715,36715,36711,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1002.57,0.00,1014.85,1,0.99,1
torchinferno,few_shot,1,1004.37,0.00,1017.55,1,0.98,1
torchinferno,few_shot,2,990.60,0.00,1006.74,1,0.99,1
torchinferno,few_shot,3,993.25,0.00,1008.05,1,0.99,1
torchinferno,few_shot,4,1005.11,22.44,1027.56,2,1.95,1
torchinferno,few_shot,5,1005.38,23.30,1028.68,2,1.94,1
torchinferno,few_shot,6,993.49,25.39,1018.88,2,1.96,1
torchinferno,few_shot,7,992.27,28.17,1020.44,2,1.96,1
torchinferno,few_shot,8,1739.44,0.00,1751.86,1,0.57,1
torchinferno,few_shot,9,1722.34,0.00,1742.67,1,0.57,1
torchinferno,few_shot,10,1725.22,0.00,1745.27,1,0.57,1
torchinferno,few_shot,11,1722.22,0.00,1747.66,1,0.57,1
torchinferno,few_shot,12,1741.65,0.00,1763.08,1,0.57,1
torchinferno,few_shot,13,1738.76,0.00,1766.22,1,0.57,1
torchinferno,few_shot,14,1729.48,0.00,1754.30,1,0.57,1
torchinferno,few_shot,15,1722.12,0.00,1758.79,1,0.57,1
torchinferno,few_shot,16,1737.93,0.00,1772.59,1,0.56,1
torchinferno,few_shot,17,1725.80,37.96,1763.76,2,1.13,1
torchinferno,few_shot,18,1726.18,0.00,1767.58,1,0.57,1
torchinferno,few_shot,19,1736.60,41.59,1778.19,2,1.12,1
torchinferno,few_shot,20,1727.31,37.60,1764.91,2,1.13,1
torchinferno,few_shot,21,1741.78,0.00,1783.29,1,0.56,1
torchinferno,few_shot,22,1725.24,48.77,1774.00,2,1.13,1
torchinferno,few_shot,23,1745.34,0.00,1787.08,1,0.56,1
torchinferno,few_shot,24,1723.39,0.00,1771.17,1,0.56,1
torchinferno,few_shot,25,1736.45,0.00,1789.30,1,0.56,1
torchinferno,few_shot,26,1742.42,49.21,1791.63,2,1.12,1
torchinferno,few_shot,27,1740.04,55.17,1795.21,2,1.11,1
torchinferno,few_shot,28,1721.24,0.00,1781.66,1,0.56,1
torchinferno,few_shot,29,1729.79,0.00,1786.64,1,0.56,1
torchinferno,few_shot,30,1722.20,0.00,1782.13,1,0.56,1
torchinferno,few_shot,31,1740.21,61.81,1802.01,2,1.11,1
torchinferno,few_shot,32,1721.44,0.00,1786.96,1,0.56,1
torchinferno,few_shot,33,1734.28,0.00,1803.16,1,0.55,1
torchinferno,few_shot,34,1729.54,63.08,1792.62,2,1.12,1
torchinferno,few_shot,35,1740.00,66.34,1806.34,2,1.11,1
torchinferno,few_shot,36,1725.19,68.57,1793.76,2,1.11,1
torchinferno,few_shot,37,1724.29,72.85,1797.14,2,1.11,1
torchinferno,few_shot,38,1728.16,74.03,1802.19,2,1.11,1
torchinferno,few_shot,39,1726.07,76.96,1803.02,2,1.11,1
torchinferno,few_shot,40,1840.77,0.00,1846.43,1,0.54,1
torchinferno,few_shot,41,1840.26,0.00,1848.09,1,0.54,1
torchinferno,few_shot,42,812.37,0.00,831.98,1,1.20,1
torchinferno,few_shot,43,1833.84,0.00,1850.19,1,0.54,1
torchinferno,few_shot,44,809.54,0.00,834.88,1,1.20,1
torchinferno,few_shot,45,818.50,0.00,834.69,1,1.20,1
