model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-06T17:02:34.771962+00:00

Build Times
provider,build_time_s
torchinferno,42.8
vllm,391.5
sglang,262.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,153.69,124.52,135.34,vllm
ttft_p99_ms,596.93,259.36,600.59,vllm
tpot_median_ms,45.35,37.09,85.35,vllm
tpot_p99_ms,153.45,127.15,731.04,vllm
e2e_median_ms,196.68,153.89,216.81,vllm
e2e_p99_ms,638.32,312.18,850.67,vllm
throughput_median_tps,6.10,9.07,5.68,vllm
total_output_tokens,1461,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,102.42,135.47,214.34,torchinferno
ttft_p99_ms,358.61,331.37,69648.35,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,108.96,159.21,356.36,torchinferno
e2e_p99_ms,376.72,386.68,69704.44,torchinferno
throughput_median_tps,9.18,6.28,2.81,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,215.57,165.35,159.30,sglang
ttft_p99_ms,659.81,550.87,668.24,vllm
tpot_median_ms,62.66,46.39,117.39,vllm
tpot_p99_ms,319.78,186.64,1028.74,vllm
e2e_median_ms,277.55,207.95,273.38,vllm
e2e_p99_ms,705.92,603.94,1072.38,vllm
throughput_median_tps,4.53,6.44,4.81,vllm
total_output_tokens,1444,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,217.03,169.20,105.44,sglang
ttft_last_turn_ms,241.16,191.93,180.66,sglang
ttft_growth_ratio,1.11,1.13,1.71,torchinferno
ttft_first_turn_median_ms,196.48,144.60,109.67,sglang
ttft_first_turn_p99_ms,394.93,554.49,316.89,sglang
ttft_last_turn_median_ms,228.72,169.07,174.73,vllm
ttft_last_turn_p99_ms,465.59,581.99,306.64,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,77.88,33.40,50.15,vllm
ttft_p99_ms,238.96,45.54,411.55,vllm
tpot_median_ms,63.26,21.67,379.50,vllm
tpot_p99_ms,165.00,29.77,1064.27,vllm
e2e_median_ms,108.25,49.06,432.89,vllm
e2e_p99_ms,298.26,118.47,1106.15,vllm
throughput_median_tps,12.47,25.38,3.25,vllm
total_output_tokens,1474,1502,1464,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,261.93,85.57,66.95,sglang
ttft_p99_ms,1438.85,252.57,929.09,vllm
tpot_median_ms,20.63,14.66,22.81,vllm
tpot_p99_ms,50.40,18.04,99.57,vllm
e2e_median_ms,1023.94,636.41,878.12,vllm
e2e_p99_ms,2150.22,1039.52,1934.81,vllm
throughput_median_tps,34.46,57.85,40.82,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,213.75,0.00,221.71,1,4.51,1,,,,,,,4,,,
torchinferno,few_shot,3,1,236.88,146.15,383.03,2,5.22,1,,,,,,,3,,,
torchinferno,few_shot,10,2,301.18,0.00,314.72,1,3.18,1,,,,,,,10,,,
torchinferno,few_shot,5,3,396.29,0.00,413.24,1,2.42,1,,,,,,,5,,,
torchinferno,few_shot,9,4,318.03,0.00,337.68,1,2.96,1,,,,,,,9,,,
torchinferno,few_shot,7,5,358.43,0.00,375.90,1,2.66,1,,,,,,,7,,,
torchinferno,few_shot,11,6,287.46,0.00,305.87,1,3.27,1,,,,,,,11,,,
torchinferno,few_shot,1,7,516.17,0.00,536.57,1,1.86,1,,,,,,,1,,,
torchinferno,few_shot,64,8,193.54,0.00,218.71,1,4.57,1,,,,,,,64,,,
torchinferno,few_shot,12,9,264.06,0.00,290.74,1,3.44,1,,,,,,,12,,,
torchinferno,few_shot,8,10,339.05,0.00,367.26,1,2.72,1,,,,,,,8,,,
torchinferno,few_shot,15,11,201.30,31.36,232.66,2,8.60,1,,,,,,,15,,,
torchinferno,few_shot,21,12,97.48,29.12,126.61,2,15.80,1,,,,,,,21,,,
torchinferno,few_shot,6,13,382.25,30.94,413.19,2,4.84,1,,,,,,,6,,,
torchinferno,few_shot,16,14,188.41,33.25,221.67,2,9.02,1,,,,,,,16,,,
torchinferno,few_shot,18,15,147.26,38.95,186.21,2,10.74,1,,,,,,,18,,,
torchinferno,few_shot,20,16,112.76,40.10,152.86,2,13.08,1,,,,,,,20,,,
torchinferno,few_shot,2,17,493.28,45.70,538.98,2,3.71,1,,,,,,,2,,,
torchinferno,few_shot,17,18,170.09,0.00,211.63,1,4.73,1,,,,,,,17,,,
torchinferno,few_shot,0,19,533.49,49.88,583.37,2,3.43,1,,,,,,,0,,,
torchinferno,few_shot,19,20,130.90,49.36,180.26,2,11.10,1,,,,,,,19,,,
torchinferno,few_shot,13,21,249.00,51.56,300.56,2,6.65,1,,,,,,,13,,,
torchinferno,few_shot,14,22,227.01,53.81,280.82,2,7.12,1,,,,,,,14,,,
torchinferno,few_shot,23,23,63.02,56.64,119.66,2,16.71,1,,,,,,,23,,,
torchinferno,few_shot,22,24,81.32,59.54,140.86,2,14.20,1,,,,,,,22,,,
torchinferno,few_shot,65,25,120.86,0.00,134.60,1,7.43,1,,,,,,,65,,,
torchinferno,few_shot,25,26,92.75,0.00,104.02,1,9.61,1,,,,,,,25,,,
torchinferno,few_shot,24,27,107.42,0.00,122.85,1,8.14,1,,,,,,,24,,,
torchinferno,few_shot,26,28,78.68,0.00,89.75,1,11.14,1,,,,,,,26,,,
torchinferno,few_shot,27,29,58.48,153.45,211.92,2,9.44,1,,,,,,,27,,,
torchinferno,few_shot,67,30,260.21,0.00,276.64,1,3.61,1,,,,,,,67,,,
torchinferno,few_shot,66,31,261.80,0.00,279.90,1,3.57,1,,,,,,,66,,,
torchinferno,few_shot,29,32,216.80,0.00,232.92,1,4.29,1,,,,,,,29,,,
torchinferno,few_shot,71,33,252.71,0.00,273.06,1,3.66,1,,,,,,,71,,,
torchinferno,few_shot,69,34,260.60,0.00,278.12,1,3.60,1,,,,,,,69,,,
torchinferno,few_shot,28,35,250.36,0.00,265.23,1,3.77,1,,,,,,,28,,,
torchinferno,few_shot,31,36,175.92,0.00,196.46,1,5.09,1,,,,,,,31,,,
torchinferno,few_shot,80,37,238.50,0.00,262.07,1,3.82,1,,,,,,,80,,,
torchinferno,few_shot,81,38,237.28,0.00,258.87,1,3.86,1,,,,,,,81,,,
