model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-08T16:13:28.988962

Build Times
provider,build_time_s
vllm,807.8
sglang,87.5
torchinferno,39.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,31.51,31.13,299.00,sglang
ttft_p99_ms,259.57,39.16,724.29,sglang
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,45.35,42.01,556.40,sglang
e2e_p99_ms,271.98,46.35,1080.78,sglang
throughput_median_tps,22.05,23.80,1.80,sglang
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,63.51,433.39,1545.50,vllm
ttft_p99_ms,77.30,448.72,1565.29,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,87.37,441.47,1866.20,vllm
e2e_p99_ms,96.85,455.22,1889.07,vllm
throughput_median_tps,11.45,2.27,0.54,vllm
total_output_tokens,16,16,16,vllm
num_requests,16,16,16,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,30.79,32.16,359.48,vllm
ttft_p99_ms,31.21,40.62,498.05,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,44.18,42.83,621.40,sglang
e2e_p99_ms,44.67,51.81,774.58,vllm
throughput_median_tps,22.63,23.35,1.61,sglang
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm
ttft_first_turn_ms,25.26,26.60,498.05,vllm
ttft_last_turn_ms,30.85,33.79,308.87,vllm
ttft_growth_ratio,1.22,1.27,0.62,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,33.71,41.23,302.12,vllm
ttft_p99_ms,63.87,47.48,1262.99,sglang
tpot_median_ms,28.11,24.03,345.17,sglang
tpot_p99_ms,29.64,24.48,349.97,sglang
e2e_median_ms,56.47,56.24,560.67,sglang
e2e_p99_ms,77.13,67.62,1342.13,sglang
throughput_median_tps,19.92,18.05,1.78,vllm
total_output_tokens,33,33,33,vllm
num_requests,31,31,31,
correctness_rate,1.00,1.00,1.00,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,31.13,32.83,334.21,vllm
ttft_p99_ms,31.87,33.57,355.87,vllm
tpot_median_ms,14.08,12.09,265.83,sglang
tpot_p99_ms,15.27,13.20,292.38,sglang
e2e_median_ms,551.80,480.09,10136.54,sglang
e2e_p99_ms,944.98,821.76,17817.89,sglang
throughput_median_tps,68.82,79.10,3.75,sglang
total_output_tokens,303,303,303,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,259.57,0.00,271.98,1,3.68,1
vllm,few_shot,1,32.64,0.00,46.41,1,21.55,1
vllm,few_shot,2,31.17,0.00,44.84,1,22.30,1
vllm,few_shot,3,30.98,0.00,44.72,1,22.36,1
vllm,few_shot,4,31.52,0.00,45.50,1,21.98,1
vllm,few_shot,5,31.49,0.00,45.28,1,22.09,1
vllm,few_shot,6,32.41,0.00,45.42,1,22.02,1
vllm,few_shot,7,31.13,0.00,44.57,1,22.43,1
vllm,self_consistency,0,34.67,0.00,45.99,1,21.75,1
vllm,self_consistency,1,63.87,0.00,93.24,1,10.73,1
vllm,self_consistency,2,63.15,0.00,92.95,1,10.76,1
vllm,self_consistency,3,50.89,0.00,82.31,1,12.15,1
vllm,self_consistency,4,54.27,0.00,83.26,1,12.01,1
vllm,self_consistency,5,57.93,0.00,88.13,1,11.35,1
vllm,self_consistency,6,61.89,0.00,91.85,1,10.89,1
vllm,self_consistency,7,57.73,0.00,88.32,1,11.32,1
vllm,self_consistency,8,67.04,0.00,96.85,1,10.33,1
vllm,self_consistency,9,49.96,0.00,82.32,1,12.15,1
vllm,self_consistency,10,76.47,0.00,87.99,1,11.37,1
vllm,self_consistency,11,67.76,0.00,78.47,1,12.74,1
vllm,self_consistency,12,69.91,0.00,80.90,1,12.36,1
vllm,self_consistency,13,71.97,0.00,83.54,1,11.97,1
vllm,self_consistency,14,73.98,0.00,86.74,1,11.53,1
vllm,self_consistency,15,77.30,0.00,91.68,1,10.91,1
vllm,multi_turn,0,25.26,0.00,38.77,1,25.80,1
vllm,multi_turn,1,30.78,0.00,44.29,1,22.58,1
vllm,multi_turn,2,30.43,0.00,43.85,1,22.80,1
vllm,multi_turn,3,30.80,0.00,43.66,1,22.90,1
vllm,multi_turn,4,30.92,0.00,44.36,1,22.54,1
vllm,multi_turn,5,30.60,0.00,44.17,1,22.64,1
vllm,multi_turn,6,31.21,0.00,44.67,1,22.39,1
vllm,multi_turn,7,30.85,0.00,44.19,1,22.63,1
vllm,tree_of_thought,0,29.35,0.00,46.51,1,21.50,1
vllm,tree_of_thought,1,32.57,0.00,49.53,1,20.19,1
vllm,tree_of_thought,2,48.04,0.00,61.79,1,16.18,1
vllm,tree_of_thought,3,45.70,0.00,58.98,1,16.95,1
vllm,tree_of_thought,4,33.42,0.00,50.99,1,19.61,1
vllm,tree_of_thought,5,49.44,0.00,66.79,1,14.97,1
vllm,tree_of_thought,6,47.68,0.00,65.48,1,15.27,1
vllm,tree_of_thought,7,63.87,0.00,77.13,1,12.97,1
vllm,tree_of_thought,8,32.02,0.00,48.02,1,20.82,1
vllm,tree_of_thought,9,49.01,0.00,64.25,1,15.56,1
vllm,tree_of_thought,10,46.02,0.00,61.66,1,16.22,1
vllm,tree_of_thought,11,59.69,0.00,73.52,1,13.60,1
vllm,tree_of_thought,12,33.71,0.00,50.20,1,19.92,1
vllm,tree_of_thought,13,44.70,0.00,58.22,1,17.18,1
vllm,tree_of_thought,14,47.18,0.00,59.87,1,16.70,1
vllm,tree_of_thought,15,48.37,26.58,74.95,2,26.68,1
