model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T18:01:55.355439

Build Times
provider,build_time_s
torchinferno,144.8
vllm,1294.5
sglang,174.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,311.88,171.49,149.24,sglang
ttft_p99_ms,2717.52,476.69,5425.15,vllm
tpot_median_ms,156.86,60.80,77.75,vllm
tpot_p99_ms,207.87,171.73,7322.84,vllm
e2e_median_ms,413.13,230.81,221.50,sglang
e2e_p99_ms,2822.38,608.12,12692.75,vllm
throughput_median_tps,3.39,6.36,5.26,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,306.25,150.50,222.71,vllm
ttft_p99_ms,1790.38,435.47,69838.70,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,332.43,225.12,359.94,vllm
e2e_p99_ms,1862.18,637.66,69962.70,vllm
throughput_median_tps,3.01,4.44,2.78,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1151.64,191.39,167.10,sglang
ttft_p99_ms,3222.68,483.62,662.30,vllm
tpot_median_ms,125.26,72.73,110.16,vllm
tpot_p99_ms,966.71,275.96,320.47,vllm
e2e_median_ms,1238.52,258.88,276.42,vllm
e2e_p99_ms,3350.50,628.59,746.84,vllm
throughput_median_tps,1.18,5.42,4.73,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1447.98,156.76,112.70,sglang
ttft_last_turn_ms,954.00,175.94,192.02,vllm
ttft_growth_ratio,0.66,1.12,1.70,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,413.13,60.92,82.69,vllm
ttft_p99_ms,1033.91,82.13,760.89,vllm
tpot_median_ms,136.05,27.99,60.18,vllm
tpot_p99_ms,158.11,38.43,771.69,vllm
e2e_median_ms,519.86,82.10,153.70,vllm
e2e_p99_ms,1161.31,117.21,862.20,vllm
throughput_median_tps,2.52,15.23,8.90,vllm
total_output_tokens,1473,1489,1467,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1061.68,77.86,75.55,sglang
ttft_p99_ms,3511.85,272.71,338.37,vllm
tpot_median_ms,15.70,14.95,22.26,vllm
tpot_p99_ms,52.91,23.99,56.69,vllm
e2e_median_ms,1675.60,626.39,843.28,vllm
e2e_p99_ms,4668.20,1003.85,1799.39,vllm
throughput_median_tps,19.89,58.35,41.31,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,895.79,0.00,1364.89,1,0.73,1
torchinferno,few_shot,1,2432.59,0.00,2504.12,1,0.40,1
torchinferno,few_shot,2,2414.38,0.00,2499.65,1,0.40,1
torchinferno,few_shot,3,2432.41,0.00,2519.68,1,0.40,1
torchinferno,few_shot,4,2426.83,0.00,2526.50,1,0.40,1
torchinferno,few_shot,5,2424.18,0.00,2513.58,1,0.40,1
torchinferno,few_shot,6,2419.10,0.00,2516.92,1,0.40,1
torchinferno,few_shot,7,2435.97,0.00,2529.89,1,0.40,1
torchinferno,few_shot,8,2426.39,0.00,2516.35,1,0.40,1
torchinferno,few_shot,9,2433.13,0.00,2533.30,1,0.39,1
torchinferno,few_shot,10,2419.34,0.00,2523.63,1,0.40,1
torchinferno,few_shot,11,2440.33,0.00,2538.40,1,0.39,1
torchinferno,few_shot,12,2426.93,0.00,2525.97,1,0.40,1
torchinferno,few_shot,13,2427.69,0.00,2542.09,1,0.39,1
torchinferno,few_shot,14,2438.98,0.00,2541.46,1,0.39,1
torchinferno,few_shot,15,2422.41,0.00,2530.73,1,0.40,1
torchinferno,few_shot,16,2426.06,0.00,2547.93,1,0.39,1
torchinferno,few_shot,17,2418.58,0.00,2536.65,1,0.39,1
torchinferno,few_shot,18,2413.13,0.00,2534.63,1,0.39,1
torchinferno,few_shot,19,2421.19,0.00,2537.99,1,0.39,1
torchinferno,few_shot,20,2415.65,0.00,2545.55,1,0.39,1
torchinferno,few_shot,21,2418.61,0.00,2548.03,1,0.39,1
torchinferno,few_shot,22,2420.11,0.00,2547.35,1,0.39,1
torchinferno,few_shot,23,2421.06,0.00,2551.76,1,0.39,1
torchinferno,few_shot,24,2433.35,0.00,2571.72,1,0.39,1
torchinferno,few_shot,25,2419.24,0.00,2553.38,1,0.39,1
torchinferno,few_shot,26,2427.65,164.77,2592.42,2,0.77,1
torchinferno,few_shot,27,2430.49,176.93,2607.42,2,0.77,1
torchinferno,few_shot,28,2422.07,171.66,2593.73,2,0.77,1
torchinferno,few_shot,29,2426.92,173.35,2600.27,2,0.77,1
torchinferno,few_shot,30,2418.09,178.20,2596.29,2,0.77,1
torchinferno,few_shot,31,2446.54,170.08,2616.62,2,0.76,1
torchinferno,few_shot,32,2426.54,187.52,2614.06,2,0.77,1
torchinferno,few_shot,33,2436.64,178.00,2614.64,2,0.76,1
torchinferno,few_shot,34,2432.14,184.68,2616.83,2,0.76,1
torchinferno,few_shot,35,2424.63,177.35,2601.98,2,0.77,1
torchinferno,few_shot,36,2421.76,191.44,2613.20,2,0.77,1
torchinferno,few_shot,37,2423.37,184.77,2608.14,2,0.77,1
torchinferno,few_shot,38,2436.88,193.71,2630.59,2,0.76,1
torchinferno,few_shot,39,2428.26,186.97,2615.23,2,0.76,1
torchinferno,few_shot,40,2428.01,200.67,2628.68,2,0.76,1
torchinferno,few_shot,41,2423.16,197.78,2620.94,2,0.76,1
torchinferno,few_shot,42,2421.16,197.26,2618.42,2,0.76,1
torchinferno,few_shot,43,2424.25,207.87,2632.11,2,0.76,1
torchinferno,few_shot,44,2439.17,198.44,2637.61,2,0.76,1
torchinferno,few_shot,45,2418.34,210.32,2628.66,2,0.76,1
