model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T17:09:23.565257

Build Times
provider,build_time_s
torchinferno,384.5
vllm,1173.9
sglang,174.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,286.90,158.64,136.74,sglang
ttft_p99_ms,1930.57,528.84,5680.95,vllm
tpot_median_ms,149.85,54.51,75.39,vllm
tpot_p99_ms,199.91,139.27,7411.41,vllm
e2e_median_ms,375.36,209.19,207.32,sglang
e2e_p99_ms,2073.19,584.52,13058.95,vllm
throughput_median_tps,3.84,6.92,5.76,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,262.83,200.08,210.15,vllm
ttft_p99_ms,1648.93,246.00,70489.10,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,291.78,255.93,352.36,vllm
e2e_p99_ms,1730.40,339.61,70592.24,vllm
throughput_median_tps,3.43,3.91,2.84,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,534.39,174.13,160.39,sglang
ttft_p99_ms,1363.80,322.02,635.36,vllm
tpot_median_ms,135.75,62.85,102.65,vllm
tpot_p99_ms,451.13,202.62,229.15,vllm
e2e_median_ms,631.65,225.38,257.97,vllm
e2e_p99_ms,1490.28,445.38,701.78,vllm
throughput_median_tps,2.06,6.08,5.12,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,707.77,141.46,112.92,sglang
ttft_last_turn_ms,501.41,179.17,181.99,vllm
ttft_growth_ratio,0.71,1.27,1.61,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,347.48,57.56,74.21,vllm
ttft_p99_ms,885.88,145.69,453.84,vllm
tpot_median_ms,132.93,26.96,68.62,vllm
tpot_p99_ms,153.87,39.85,173.02,vllm
e2e_median_ms,458.66,77.88,161.14,vllm
e2e_p99_ms,1005.82,152.22,493.32,vllm
throughput_median_tps,2.82,15.55,9.18,vllm
total_output_tokens,1493,1458,1461,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,573.06,65.54,65.17,sglang
ttft_p99_ms,2387.56,171.50,102.74,sglang
tpot_median_ms,14.92,14.98,22.05,torchinferno
tpot_p99_ms,67.77,19.85,28.87,vllm
e2e_median_ms,1195.07,606.15,815.29,vllm
e2e_p99_ms,3115.45,1001.09,1536.58,vllm
throughput_median_tps,27.28,59.87,42.95,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,948.95,0.00,1137.38,1,0.88,1
torchinferno,few_shot,1,1637.02,0.00,1721.68,1,0.58,1
torchinferno,few_shot,2,1639.92,0.00,1724.61,1,0.58,1
torchinferno,few_shot,3,1640.10,0.00,1727.57,1,0.58,1
torchinferno,few_shot,4,1644.46,0.00,1734.55,1,0.58,1
torchinferno,few_shot,5,1644.25,0.00,1730.96,1,0.58,1
torchinferno,few_shot,6,1636.54,0.00,1729.44,1,0.58,1
torchinferno,few_shot,7,1642.76,0.00,1732.98,1,0.58,1
torchinferno,few_shot,8,1637.95,0.00,1737.88,1,0.58,1
torchinferno,few_shot,9,1641.17,0.00,1738.38,1,0.58,1
torchinferno,few_shot,10,1633.11,0.00,1736.81,1,0.58,1
torchinferno,few_shot,11,1636.48,0.00,1739.36,1,0.57,1
torchinferno,few_shot,12,1632.15,0.00,1737.89,1,0.58,1
torchinferno,few_shot,13,1643.57,0.00,1741.23,1,0.57,1
torchinferno,few_shot,14,1635.99,0.00,1746.19,1,0.57,1
torchinferno,few_shot,15,1638.30,0.00,1742.95,1,0.57,1
torchinferno,few_shot,16,1638.20,0.00,1745.40,1,0.57,1
torchinferno,few_shot,17,1640.52,0.00,1746.53,1,0.57,1
torchinferno,few_shot,18,1641.74,0.00,1746.05,1,0.57,1
torchinferno,few_shot,19,1640.49,0.00,1752.91,1,0.57,1
torchinferno,few_shot,20,1631.90,0.00,1749.13,1,0.57,1
torchinferno,few_shot,21,1634.99,0.00,1755.70,1,0.57,1
torchinferno,few_shot,22,1640.31,0.00,1752.48,1,0.57,1
torchinferno,few_shot,23,1635.87,0.00,1759.36,1,0.57,1
torchinferno,few_shot,24,1646.97,0.00,1761.84,1,0.57,1
torchinferno,few_shot,25,1634.26,0.00,1755.65,1,0.57,1
torchinferno,few_shot,26,1639.50,0.00,1755.88,1,0.57,1
torchinferno,few_shot,27,1639.78,168.24,1808.01,2,1.11,1
torchinferno,few_shot,28,1641.35,164.35,1805.70,2,1.11,1
torchinferno,few_shot,29,1642.62,165.18,1807.80,2,1.11,1
torchinferno,few_shot,30,1634.22,171.60,1805.82,2,1.11,1
torchinferno,few_shot,31,1633.89,176.93,1810.82,2,1.10,1
torchinferno,few_shot,32,1640.17,167.96,1808.13,2,1.11,1
torchinferno,few_shot,33,1644.54,168.00,1812.53,2,1.10,1
torchinferno,few_shot,34,1642.44,173.89,1816.33,2,1.10,1
torchinferno,few_shot,35,1643.57,176.20,1819.76,2,1.10,1
torchinferno,few_shot,36,1642.46,177.39,1819.85,2,1.10,1
torchinferno,few_shot,37,1638.49,185.47,1823.96,2,1.10,1
torchinferno,few_shot,38,1634.98,188.17,1823.16,2,1.10,1
torchinferno,few_shot,39,1639.77,188.61,1828.38,2,1.09,1
torchinferno,few_shot,40,1639.09,189.29,1828.38,2,1.09,1
torchinferno,few_shot,41,1632.85,195.63,1828.48,2,1.09,1
torchinferno,few_shot,42,1634.29,194.27,1828.56,2,1.09,1
torchinferno,few_shot,43,1636.20,197.04,1833.24,2,1.09,1
torchinferno,few_shot,44,1637.46,200.68,1838.13,2,1.09,1
torchinferno,few_shot,45,1640.04,196.11,1836.15,2,1.09,1
