model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-19T00:02:54.303017

Build Times
provider,build_time_s
torchinferno,305.4
vllm,1104.3
sglang,171.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.22,149.86,138.19,sglang
ttft_p99_ms,1389.19,599.68,8015.71,vllm
tpot_median_ms,148.88,52.65,79.12,vllm
tpot_p99_ms,185.16,144.32,7316.90,vllm
e2e_median_ms,383.86,200.78,208.40,vllm
e2e_p99_ms,1548.29,649.84,15295.78,vllm
throughput_median_tps,4.01,7.08,5.78,vllm
total_output_tokens,1466,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,289.29,180.37,204.51,vllm
ttft_p99_ms,1611.57,403.92,70402.19,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,319.95,199.06,343.88,vllm
e2e_p99_ms,1667.93,430.19,70508.98,vllm
throughput_median_tps,3.13,5.02,2.91,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,552.05,169.10,155.28,sglang
ttft_p99_ms,1473.61,321.18,619.58,vllm
tpot_median_ms,125.63,51.81,97.92,vllm
tpot_p99_ms,580.04,175.87,242.49,vllm
e2e_median_ms,641.67,213.76,255.87,vllm
e2e_p99_ms,1712.18,410.44,672.97,vllm
throughput_median_tps,1.99,6.29,5.24,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,808.43,147.44,110.75,sglang
ttft_last_turn_ms,499.46,163.29,171.47,vllm
ttft_growth_ratio,0.62,1.11,1.55,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,311.69,57.70,73.67,vllm
ttft_p99_ms,705.22,126.54,471.47,vllm
tpot_median_ms,130.56,26.52,54.42,vllm
tpot_p99_ms,153.14,44.57,431.00,vllm
e2e_median_ms,410.75,77.53,144.10,vllm
e2e_p99_ms,817.73,155.52,513.86,vllm
throughput_median_tps,3.54,15.77,10.23,vllm
total_output_tokens,1477,1469,1469,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,764.77,68.67,64.70,sglang
ttft_p99_ms,2267.10,213.65,139.09,sglang
tpot_median_ms,16.85,14.98,22.29,vllm
tpot_p99_ms,66.96,21.11,27.50,vllm
e2e_median_ms,1431.60,624.71,827.43,vllm
e2e_p99_ms,3137.12,999.23,1535.62,vllm
throughput_median_tps,21.59,59.32,42.45,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,867.47,0.00,937.04,1,1.07,1
torchinferno,few_shot,1,870.57,129.29,999.86,2,2.00,1
torchinferno,few_shot,2,1379.63,0.00,1444.95,1,0.69,1
torchinferno,few_shot,3,1384.95,0.00,1442.39,1,0.69,1
torchinferno,few_shot,4,1366.10,0.00,1434.61,1,0.70,1
torchinferno,few_shot,5,1376.56,0.00,1434.61,1,0.70,1
torchinferno,few_shot,6,1389.19,0.00,1449.59,1,0.69,1
torchinferno,few_shot,7,1374.82,0.00,1442.04,1,0.69,1
torchinferno,few_shot,8,1381.19,0.00,1452.46,1,0.69,1
torchinferno,few_shot,9,1377.66,0.00,1453.09,1,0.69,1
torchinferno,few_shot,10,1374.02,0.00,1447.61,1,0.69,1
torchinferno,few_shot,11,1369.78,0.00,1451.50,1,0.69,1
torchinferno,few_shot,12,1371.98,0.00,1448.15,1,0.69,1
torchinferno,few_shot,13,1386.41,0.00,1464.53,1,0.68,1
torchinferno,few_shot,14,1377.47,0.00,1456.03,1,0.69,1
torchinferno,few_shot,15,1368.60,0.00,1452.90,1,0.69,1
torchinferno,few_shot,16,1381.66,0.00,1457.22,1,0.69,1
torchinferno,few_shot,17,1371.88,0.00,1460.38,1,0.68,1
torchinferno,few_shot,18,1377.87,0.00,1468.32,1,0.68,1
torchinferno,few_shot,19,1377.78,0.00,1474.73,1,0.68,1
torchinferno,few_shot,20,1391.17,0.00,1479.61,1,0.68,1
torchinferno,few_shot,21,384.73,0.00,480.22,1,2.08,1
torchinferno,few_shot,22,1390.92,0.00,1476.65,1,0.68,1
torchinferno,few_shot,23,1392.80,0.00,1482.66,1,0.67,1
torchinferno,few_shot,24,1370.34,0.00,1469.90,1,0.68,1
torchinferno,few_shot,25,1380.29,0.00,1485.62,1,0.67,1
torchinferno,few_shot,26,1390.59,0.00,1482.80,1,0.67,1
torchinferno,few_shot,27,454.74,0.00,550.47,1,1.82,1
torchinferno,few_shot,28,1390.76,0.00,1487.69,1,0.67,1
torchinferno,few_shot,29,1388.87,0.00,1485.92,1,0.67,1
torchinferno,few_shot,30,1384.37,0.00,1497.68,1,0.67,1
torchinferno,few_shot,31,1378.60,0.00,1497.50,1,0.67,1
torchinferno,few_shot,32,1364.43,0.00,1488.09,1,0.67,1
torchinferno,few_shot,33,1395.21,0.00,1507.74,1,0.66,1
torchinferno,few_shot,34,1367.69,0.00,1493.78,1,0.67,1
torchinferno,few_shot,35,1369.52,139.09,1508.62,2,1.33,1
torchinferno,few_shot,36,1392.31,132.76,1525.07,2,1.31,1
torchinferno,few_shot,37,1380.00,134.68,1514.68,2,1.32,1
torchinferno,few_shot,38,1385.05,142.53,1527.58,2,1.31,1
torchinferno,few_shot,39,1384.41,144.73,1529.13,2,1.31,1
torchinferno,few_shot,40,1390.04,144.29,1534.33,2,1.30,1
torchinferno,few_shot,41,1380.28,147.91,1528.18,2,1.31,1
torchinferno,few_shot,42,1374.24,147.45,1521.69,2,1.31,1
torchinferno,few_shot,43,1383.94,149.39,1533.33,2,1.30,1
torchinferno,few_shot,44,1377.83,157.86,1535.69,2,1.30,1
torchinferno,few_shot,45,1372.62,152.05,1524.67,2,1.31,1
torchinferno,few_shot,46,1383.29,156.33,1539.62,2,1.30,1
torchinferno,few_shot,47,1374.83,153.26,1528.09,2,1.31,1
torchinferno,few_shot,48,1380.49,160.96,1541.45,2,1.30,1
torchinferno,few_shot,49,1376.64,150.59,1527.23,2,1.31,1
torchinferno,few_shot,50,1386.85,162.21,1549.06,2,1.29,1
torchinferno,few_shot,51,1373.06,156.88,1529.94,2,1.31,1
torchinferno,few_shot,52,1378.62,169.68,1548.29,2,1.29,1
torchinferno,few_shot,53,1367.14,166.12,1533.26,2,1.30,1
torchinferno,few_shot,54,1366.99,170.21,1537.20,2,1.30,1
torchinferno,few_shot,55,1382.41,174.53,1556.94,2,1.28,1
torchinferno,few_shot,56,1369.24,170.46,1539.70,2,1.30,1
torchinferno,few_shot,57,1373.91,169.45,1543.36,2,1.30,1
torchinferno,few_shot,58,1381.04,175.71,1556.74,2,1.28,1
torchinferno,few_shot,59,1389.59,167.76,1557.35,2,1.28,1
torchinferno,few_shot,60,1377.99,166.52,1544.50,2,1.29,1
torchinferno,few_shot,61,1387.61,172.14,1559.75,2,1.28,1
torchinferno,few_shot,62,1375.74,185.16,1560.90,2,1.28,1
torchinferno,few_shot,63,1374.72,176.68,1551.40,2,1.29,1
torchinferno,few_shot,64,1383.86,179.30,1563.16,2,1.28,1
torchinferno,few_shot,65,1380.95,184.61,1565.56,2,1.28,1
torchinferno,few_shot,66,184.77,0.00,243.18,1,4.11,1
torchinferno,few_shot,67,183.71,0.00,246.66,1,4.05,1
torchinferno,few_shot,68,184.24,0.00,251.23,1,3.98,1
torchinferno,few_shot,69,163.82,0.00,229.34,1,4.36,1
torchinferno,few_shot,70,150.15,0.00,218.65,1,4.57,1
torchinferno,few_shot,71,185.05,0.00,259.43,1,3.85,1
torchinferno,few_shot,72,158.70,0.00,232.37,1,4.30,1
torchinferno,few_shot,73,128.37,0.00,205.04,1,4.88,1
torchinferno,few_shot,74,136.62,0.00,213.15,1,4.69,1
torchinferno,few_shot,75,146.07,0.00,222.84,1,4.49,1
torchinferno,few_shot,76,150.99,0.00,228.07,1,4.38,1
torchinferno,few_shot,77,174.26,0.00,253.99,1,3.94,1
torchinferno,few_shot,78,158.17,0.00,243.08,1,4.11,1
torchinferno,few_shot,79,170.89,0.00,252.68,1,3.96,1
torchinferno,few_shot,80,155.27,0.00,238.18,1,4.20,1
torchinferno,few_shot,81,127.68,0.00,215.94,1,4.63,1
torchinferno,few_shot,82,173.89,0.00,265.66,1,3.76,1
torchinferno,few_shot,83,171.78,131.80,303.58,2,6.59,1
torchinferno,few_shot,84,164.56,134.18,298.74,2,6.69,1
torchinferno,few_shot,85,154.61,138.27,292.88,2,6.83,1
torchinferno,few_shot,86,177.20,133.99,311.19,2,6.43,1
torchinferno,few_shot,87,161.89,141.26,303.15,2,6.60,1
torchinferno,few_shot,88,143.30,140.34,283.64,2,7.05,1
torchinferno,few_shot,89,176.84,145.20,322.04,2,6.21,1
torchinferno,few_shot,90,156.69,144.62,301.31,2,6.64,1
torchinferno,few_shot,91,442.90,0.00,507.98,1,1.97,1
torchinferno,few_shot,92,398.59,0.00,455.11,1,2.20,1
torchinferno,few_shot,93,364.44,0.00,430.76,1,2.32,1
torchinferno,few_shot,94,224.34,0.00,277.54,1,3.60,1
torchinferno,few_shot,95,391.80,0.00,457.06,1,2.19,1
torchinferno,few_shot,96,378.34,0.00,445.82,1,2.24,1
torchinferno,few_shot,97,406.64,0.00,477.83,1,2.09,1
torchinferno,few_shot,98,224.54,0.00,296.45,1,3.37,1
torchinferno,few_shot,99,238.57,0.00,311.20,1,3.21,1
torchinferno,few_shot,100,391.10,0.00,458.45,1,2.18,1
torchinferno,few_shot,101,423.58,0.00,503.27,1,1.99,1
torchinferno,few_shot,102,244.72,0.00,311.41,1,3.21,1
torchinferno,few_shot,103,221.95,0.00,296.88,1,3.37,1
torchinferno,few_shot,104,225.48,0.00,305.06,1,3.28,1
torchinferno,few_shot,105,476.61,0.00,561.74,1,1.78,1
torchinferno,few_shot,106,394.81,0.00,472.03,1,2.12,1
torchinferno,few_shot,107,377.66,0.00,462.10,1,2.16,1
torchinferno,few_shot,108,379.68,0.00,470.93,1,2.12,1
torchinferno,few_shot,109,234.27,0.00,321.08,1,3.11,1
torchinferno,few_shot,110,403.92,0.00,502.45,1,1.99,1
torchinferno,few_shot,111,417.21,0.00,502.27,1,1.99,1
torchinferno,few_shot,112,237.11,0.00,337.15,1,2.97,1
torchinferno,few_shot,113,408.38,0.00,499.36,1,2.00,1
torchinferno,few_shot,114,450.26,0.00,553.34,1,1.81,1
torchinferno,few_shot,115,394.18,0.00,492.40,1,2.03,1
torchinferno,few_shot,116,405.20,0.00,504.61,1,1.98,1
torchinferno,few_shot,117,403.07,0.00,501.05,1,2.00,1
torchinferno,few_shot,118,365.53,0.00,473.14,1,2.11,1
torchinferno,few_shot,119,237.13,0.00,344.16,1,2.91,1
torchinferno,few_shot,120,452.17,0.00,570.93,1,1.75,1
torchinferno,few_shot,121,461.68,144.52,606.20,2,3.30,1
torchinferno,few_shot,122,391.75,141.41,533.17,2,3.75,1
torchinferno,few_shot,123,368.06,141.25,509.31,2,3.93,1
torchinferno,few_shot,124,240.38,140.13,380.51,2,5.26,1
torchinferno,few_shot,125,378.64,146.67,525.31,2,3.81,1
torchinferno,few_shot,126,404.83,146.02,550.84,2,3.63,1
torchinferno,few_shot,127,405.65,140.85,546.51,2,3.66,1
torchinferno,few_shot,128,232.28,140.54,372.82,2,5.36,1
torchinferno,few_shot,129,376.75,153.58,530.33,2,3.77,1
torchinferno,few_shot,130,224.68,145.24,369.92,2,5.41,1
torchinferno,few_shot,131,397.51,160.19,557.69,2,3.59,1
torchinferno,few_shot,132,222.14,152.80,374.94,2,5.33,1
torchinferno,few_shot,133,390.77,156.40,547.16,2,3.66,1
torchinferno,few_shot,134,367.75,163.80,531.55,2,3.76,1
torchinferno,few_shot,135,240.14,151.88,392.03,2,5.10,1
torchinferno,few_shot,136,395.66,153.23,548.90,2,3.64,1
torchinferno,few_shot,137,220.00,164.82,384.82,2,5.20,1
torchinferno,few_shot,138,388.89,160.19,549.08,2,3.64,1
torchinferno,few_shot,139,214.20,164.53,378.73,2,5.28,1
torchinferno,few_shot,140,366.44,171.79,538.24,2,3.72,1
torchinferno,few_shot,141,394.56,175.19,569.75,2,3.51,1
torchinferno,few_shot,142,414.05,169.77,583.81,2,3.43,1
torchinferno,few_shot,143,454.44,166.31,620.75,2,3.22,1
torchinferno,few_shot,144,450.32,163.16,613.47,2,3.26,1
torchinferno,few_shot,145,226.34,172.98,399.32,2,5.01,1
torchinferno,few_shot,146,371.59,181.34,552.93,2,3.62,1
torchinferno,few_shot,147,155.23,0.00,224.18,1,4.46,1
torchinferno,few_shot,148,151.74,0.00,212.59,1,4.70,1
torchinferno,few_shot,149,184.47,0.00,249.82,1,4.00,1
torchinferno,few_shot,150,187.05,0.00,257.46,1,3.88,1
torchinferno,few_shot,151,177.66,0.00,255.02,1,3.92,1
torchinferno,few_shot,152,169.98,0.00,248.38,1,4.03,1
