model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-20T11:02:42.117172

Build Times
provider,build_time_s
torchinferno,400.7
vllm,515.6
sglang,254.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,176.21,136.81,142.81,vllm
ttft_p99_ms,2127.84,267.19,695.00,vllm
tpot_median_ms,37.44,45.68,77.12,torchinferno
tpot_p99_ms,366.78,134.54,396.23,vllm
e2e_median_ms,208.93,173.88,213.38,vllm
e2e_p99_ms,2156.17,332.12,889.93,vllm
throughput_median_tps,5.47,7.90,5.78,vllm
total_output_tokens,1461,1459,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,294.21,206.99,222.52,vllm
ttft_p99_ms,532.44,469.32,71316.42,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,407.46,230.94,369.09,vllm
e2e_p99_ms,637.48,486.14,71414.59,vllm
throughput_median_tps,2.45,4.33,2.71,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,550.46,157.26,165.76,vllm
ttft_p99_ms,1237.80,300.01,304.01,vllm
tpot_median_ms,46.78,45.04,99.03,vllm
tpot_p99_ms,80.66,203.67,236.55,torchinferno
e2e_median_ms,586.30,191.07,258.62,vllm
e2e_p99_ms,1274.22,420.82,423.05,vllm
throughput_median_tps,2.08,6.80,5.20,vllm
total_output_tokens,1462,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,601.34,126.67,112.01,sglang
ttft_last_turn_ms,774.66,152.61,208.15,vllm
ttft_growth_ratio,1.29,1.20,1.86,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.34,59.23,86.13,vllm
ttft_p99_ms,620.07,349.07,535.16,vllm
tpot_median_ms,32.53,29.11,39.73,vllm
tpot_p99_ms,250.80,308.81,137.83,sglang
e2e_median_ms,227.39,81.78,143.57,vllm
e2e_p99_ms,842.89,380.56,557.85,vllm
throughput_median_tps,5.77,14.86,9.51,vllm
total_output_tokens,1460,1481,1468,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,362.62,74.64,67.77,sglang
ttft_p99_ms,1487.35,207.63,120.22,sglang
tpot_median_ms,21.61,14.83,22.46,vllm
tpot_p99_ms,41.66,24.14,26.92,vllm
e2e_median_ms,1137.12,616.03,833.10,vllm
e2e_p99_ms,2543.70,1009.43,1583.41,vllm
throughput_median_tps,31.42,58.87,42.04,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1312.05,0.00,1320.87,1,0.76,1
torchinferno,few_shot,1,1318.43,0.00,1328.12,1,0.75,1
torchinferno,few_shot,2,1315.26,0.00,1325.65,1,0.75,1
torchinferno,few_shot,3,1311.30,0.00,1325.98,1,0.75,1
torchinferno,few_shot,4,1318.30,127.55,1445.85,2,1.38,1
torchinferno,few_shot,5,1318.89,131.16,1450.05,2,1.38,1
torchinferno,few_shot,6,1315.56,131.01,1446.56,2,1.38,1
torchinferno,few_shot,7,1676.22,0.00,2016.41,1,0.50,1
torchinferno,few_shot,8,1673.28,0.00,2013.73,1,0.50,1
torchinferno,few_shot,9,1674.25,0.00,2016.18,1,0.50,1
torchinferno,few_shot,10,1673.86,0.00,2016.64,1,0.50,1
torchinferno,few_shot,11,1677.52,0.00,2020.14,1,0.50,1
torchinferno,few_shot,12,1675.09,0.00,2020.59,1,0.49,1
torchinferno,few_shot,13,1676.28,350.49,2026.77,2,0.99,1
torchinferno,few_shot,14,1678.00,350.57,2028.57,2,0.99,1
torchinferno,few_shot,15,1676.36,353.98,2030.34,2,0.99,1
torchinferno,few_shot,16,1678.83,353.48,2032.31,2,0.98,1
torchinferno,few_shot,17,1677.49,355.92,2033.42,2,0.98,1
torchinferno,few_shot,18,1680.63,362.31,2042.95,2,0.98,1
torchinferno,few_shot,19,1674.73,364.33,2039.06,2,0.98,1
torchinferno,few_shot,20,1676.27,0.00,2042.00,1,0.49,1
torchinferno,few_shot,21,1675.55,366.78,2042.33,2,0.98,1
torchinferno,few_shot,22,1676.01,0.00,2048.02,1,0.49,1
torchinferno,few_shot,23,1675.50,0.00,2048.54,1,0.49,1
torchinferno,few_shot,24,1674.87,371.33,2046.20,2,0.98,1
torchinferno,few_shot,25,1677.39,371.76,2049.14,2,0.98,1
torchinferno,few_shot,26,1674.54,0.00,2052.92,1,0.49,1
torchinferno,few_shot,27,1671.93,379.72,2051.65,2,0.97,1
torchinferno,few_shot,28,1671.69,380.87,2052.56,2,0.97,1
torchinferno,few_shot,29,2073.49,0.00,2078.86,1,0.48,1
torchinferno,few_shot,30,2062.88,0.00,2078.90,1,0.48,1
torchinferno,few_shot,31,2068.89,0.00,2080.37,1,0.48,1
torchinferno,few_shot,32,2067.85,0.00,2084.13,1,0.48,1
torchinferno,few_shot,33,2067.44,0.00,2084.54,1,0.48,1
torchinferno,few_shot,34,2071.43,0.00,2084.94,1,0.48,1
torchinferno,few_shot,35,2066.21,0.00,2087.56,1,0.48,1
torchinferno,few_shot,36,2061.08,0.00,2097.16,1,0.48,1
torchinferno,few_shot,37,2065.11,0.00,2100.11,1,0.48,1
torchinferno,few_shot,38,2059.94,0.00,2101.23,1,0.48,1
torchinferno,few_shot,39,2067.10,35.81,2102.91,2,0.95,1
torchinferno,few_shot,40,2062.10,0.00,2105.85,1,0.47,1
torchinferno,few_shot,41,2064.15,0.00,2109.87,1,0.47,1
torchinferno,few_shot,42,2069.02,41.79,2110.81,2,0.95,1
torchinferno,few_shot,43,2068.68,40.41,2109.09,2,0.95,1
torchinferno,few_shot,44,2058.75,51.58,2110.32,2,0.95,1
torchinferno,few_shot,45,2062.93,0.00,2109.64,1,0.47,1
