model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-15T23:02:45.066569+00:00

Build Times
provider,build_time_s
torchinferno,45.5
vllm,304.2
sglang,207.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.57,70.81,79.74,vllm
ttft_p99_ms,717.70,114.24,666.53,vllm
tpot_median_ms,31.31,37.05,65.03,torchinferno
tpot_p99_ms,44.01,57.24,837.71,torchinferno
e2e_median_ms,165.54,96.06,137.02,vllm
e2e_p99_ms,754.03,154.47,938.58,vllm
throughput_median_tps,6.92,13.64,9.95,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,57.37,69.61,127.06,torchinferno
ttft_p99_ms,322.00,408.23,70826.52,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,76.54,85.81,205.89,torchinferno
e2e_p99_ms,340.18,424.65,70850.96,torchinferno
throughput_median_tps,13.06,11.65,4.86,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,195.35,75.35,85.39,vllm
ttft_p99_ms,1890.77,156.17,461.93,vllm
tpot_median_ms,35.37,34.69,75.04,vllm
tpot_p99_ms,177.86,92.77,913.37,vllm
e2e_median_ms,224.28,99.72,149.05,vllm
e2e_p99_ms,1925.78,199.99,972.38,vllm
throughput_median_tps,5.02,13.06,9.06,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,905.35,73.93,65.53,sglang
ttft_last_turn_ms,174.95,82.60,93.82,vllm
ttft_growth_ratio,0.19,1.12,1.43,torchinferno
ttft_first_turn_median_ms,812.36,67.58,63.10,sglang
ttft_first_turn_p99_ms,2004.46,149.98,103.81,sglang
ttft_last_turn_median_ms,185.06,75.24,92.22,vllm
ttft_last_turn_p99_ms,266.55,161.24,116.61,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.13,37.71,53.18,vllm
ttft_p99_ms,766.57,90.46,417.13,vllm
tpot_median_ms,35.11,27.94,400.51,vllm
tpot_p99_ms,76.19,35.93,1073.74,vllm
e2e_median_ms,74.83,58.27,461.34,vllm
e2e_p99_ms,792.60,123.65,1130.29,vllm
throughput_median_tps,19.09,22.74,2.94,vllm
total_output_tokens,1462,1475,1460,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,177.31,47.16,52.97,vllm
ttft_p99_ms,494.58,65.75,115.12,vllm
tpot_median_ms,19.12,15.30,24.73,vllm
tpot_p99_ms,24.69,18.59,106.93,vllm
e2e_median_ms,889.69,578.56,959.41,vllm
e2e_p99_ms,1531.60,1039.49,1745.36,vllm
throughput_median_tps,41.68,60.64,38.98,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,778.18,0.00,790.29,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,795.21,24.35,819.56,2,2.44,1,,,,,,,0,,,
torchinferno,few_shot,4,2,802.99,0.00,815.79,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,31,3,351.90,0.00,365.48,1,2.74,1,,,,,,,31,,,
torchinferno,few_shot,25,4,454.89,0.00,467.58,1,2.14,1,,,,,,,25,,,
torchinferno,few_shot,5,5,787.34,0.00,801.47,1,1.25,1,,,,,,,5,,,
torchinferno,few_shot,24,6,470.61,0.00,486.00,1,2.06,1,,,,,,,24,,,
torchinferno,few_shot,7,7,752.31,0.00,770.03,1,1.30,1,,,,,,,7,,,
torchinferno,few_shot,8,8,733.83,0.00,754.03,1,1.33,1,,,,,,,8,,,
torchinferno,few_shot,11,9,685.73,0.00,704.80,1,1.42,1,,,,,,,11,,,
torchinferno,few_shot,26,10,435.09,0.00,455.34,1,2.20,1,,,,,,,26,,,
torchinferno,few_shot,29,11,386.08,0.00,405.28,1,2.47,1,,,,,,,29,,,
torchinferno,few_shot,28,12,403.66,0.00,423.33,1,2.36,1,,,,,,,28,,,
torchinferno,few_shot,10,13,703.38,0.00,724.71,1,1.38,1,,,,,,,10,,,
torchinferno,few_shot,17,14,587.31,0.00,611.05,1,1.64,1,,,,,,,17,,,
torchinferno,few_shot,12,15,669.72,0.00,696.01,1,1.44,1,,,,,,,12,,,
torchinferno,few_shot,2,16,837.12,27.61,864.73,2,2.31,1,,,,,,,2,,,
torchinferno,few_shot,32,17,335.91,28.17,364.08,2,5.49,1,,,,,,,32,,,
torchinferno,few_shot,22,18,501.77,31.01,532.79,2,3.75,1,,,,,,,22,,,
torchinferno,few_shot,33,19,317.38,31.31,348.70,2,5.74,1,,,,,,,33,,,
torchinferno,few_shot,16,20,600.73,32.86,633.59,2,3.16,1,,,,,,,16,,,
torchinferno,few_shot,14,21,637.56,29.87,667.43,2,3.00,1,,,,,,,14,,,
torchinferno,few_shot,15,22,618.22,33.15,651.37,2,3.07,1,,,,,,,15,,,
torchinferno,few_shot,20,23,534.60,34.08,568.68,2,3.52,1,,,,,,,20,,,
torchinferno,few_shot,21,24,519.58,33.25,552.82,2,3.62,1,,,,,,,21,,,
torchinferno,few_shot,18,25,569.13,33.99,603.12,2,3.32,1,,,,,,,18,,,
torchinferno,few_shot,13,26,650.87,36.34,687.21,2,2.91,1,,,,,,,13,,,
torchinferno,few_shot,30,27,369.89,33.45,403.33,2,4.96,1,,,,,,,30,,,
torchinferno,few_shot,9,28,717.70,0.00,755.03,1,1.32,1,,,,,,,9,,,
torchinferno,few_shot,27,29,420.39,36.24,456.63,2,4.38,1,,,,,,,27,,,
torchinferno,few_shot,6,30,770.69,36.12,806.81,2,2.48,1,,,,,,,6,,,
torchinferno,few_shot,3,31,821.94,36.80,858.74,2,2.33,1,,,,,,,3,,,
torchinferno,few_shot,19,32,553.09,40.28,593.38,2,3.37,1,,,,,,,19,,,
torchinferno,few_shot,23,33,484.86,45.66,530.52,2,3.77,1,,,,,,,23,,,
torchinferno,few_shot,34,34,383.91,0.00,395.21,1,2.53,1,,,,,,,34,,,
torchinferno,few_shot,43,35,232.04,0.00,246.35,1,4.06,1,,,,,,,43,,,
torchinferno,few_shot,37,36,331.51,0.00,346.79,1,2.88,1,,,,,,,37,,,
torchinferno,few_shot,46,37,182.26,0.00,197.69,1,5.06,1,,,,,,,46,,,
torchinferno,few_shot,64,38,144.01,0.00,159.24,1,6.28,1,,,,,,,64,,,
