model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-21T01:03:11.763575

Build Times
provider,build_time_s
torchinferno,260.4
vllm,1102.4
sglang,183.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,271.08,157.53,136.97,sglang
ttft_p99_ms,1811.85,592.78,5350.24,vllm
tpot_median_ms,155.21,56.12,81.22,vllm
tpot_p99_ms,214.27,160.06,7305.59,vllm
e2e_median_ms,368.11,214.51,207.92,sglang
e2e_p99_ms,2006.09,656.62,12630.99,vllm
throughput_median_tps,4.07,6.90,5.73,vllm
total_output_tokens,1461,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,276.49,199.90,194.05,sglang
ttft_p99_ms,2657.81,516.90,69768.33,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,308.36,222.85,324.89,vllm
e2e_p99_ms,2713.00,543.83,69904.58,vllm
throughput_median_tps,3.24,4.49,3.08,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,703.56,166.36,155.84,sglang
ttft_p99_ms,2247.03,332.91,601.80,vllm
tpot_median_ms,107.03,50.53,102.29,vllm
tpot_p99_ms,580.85,194.21,246.78,vllm
e2e_median_ms,806.80,209.03,259.25,vllm
e2e_p99_ms,2479.49,406.80,722.11,vllm
throughput_median_tps,1.54,6.44,5.18,vllm
total_output_tokens,1462,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1129.48,140.43,112.58,sglang
ttft_last_turn_ms,638.57,169.54,181.68,vllm
ttft_growth_ratio,0.57,1.21,1.61,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,333.08,57.32,72.91,vllm
ttft_p99_ms,886.42,128.54,482.25,vllm
tpot_median_ms,133.56,26.43,71.70,vllm
tpot_p99_ms,154.81,36.63,203.37,vllm
e2e_median_ms,435.53,77.55,166.77,vllm
e2e_p99_ms,1003.28,149.49,524.77,vllm
throughput_median_tps,3.11,15.78,8.86,vllm
total_output_tokens,1459,1461,1474,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,727.95,70.33,65.70,sglang
ttft_p99_ms,2638.28,172.45,103.24,sglang
tpot_median_ms,15.28,14.94,21.95,vllm
tpot_p99_ms,32.65,21.74,26.50,vllm
e2e_median_ms,1388.05,612.36,824.15,vllm
e2e_p99_ms,3564.33,1007.70,1521.77,vllm
throughput_median_tps,25.61,59.18,43.01,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,952.30,0.00,1225.59,1,0.82,1
torchinferno,few_shot,1,1810.63,0.00,1889.71,1,0.53,1
torchinferno,few_shot,2,1797.03,0.00,1889.80,1,0.53,1
torchinferno,few_shot,3,1809.73,0.00,1902.67,1,0.53,1
torchinferno,few_shot,4,583.17,0.00,677.26,1,1.48,1
torchinferno,few_shot,5,1800.09,0.00,1899.25,1,0.53,1
torchinferno,few_shot,6,1806.86,0.00,1897.51,1,0.53,1
torchinferno,few_shot,7,1811.85,0.00,1906.21,1,0.52,1
torchinferno,few_shot,8,1804.75,0.00,1903.83,1,0.53,1
torchinferno,few_shot,9,1803.53,0.00,1914.05,1,0.52,1
torchinferno,few_shot,10,1798.30,0.00,1909.40,1,0.52,1
torchinferno,few_shot,11,1808.07,0.00,1909.09,1,0.52,1
torchinferno,few_shot,12,1806.01,0.00,1909.02,1,0.52,1
torchinferno,few_shot,13,1810.02,0.00,1915.41,1,0.52,1
torchinferno,few_shot,14,1799.44,0.00,1911.61,1,0.52,1
torchinferno,few_shot,15,1819.39,0.00,1921.56,1,0.52,1
torchinferno,few_shot,16,1810.97,0.00,1919.77,1,0.52,1
torchinferno,few_shot,17,1797.71,0.00,1918.02,1,0.52,1
torchinferno,few_shot,18,1804.21,0.00,1920.63,1,0.52,1
torchinferno,few_shot,19,1804.07,0.00,1920.28,1,0.52,1
torchinferno,few_shot,20,1818.06,0.00,1930.39,1,0.52,1
torchinferno,few_shot,21,1803.42,0.00,1927.17,1,0.52,1
torchinferno,few_shot,22,1813.05,0.00,1929.19,1,0.52,1
torchinferno,few_shot,23,1806.44,0.00,1928.31,1,0.52,1
torchinferno,few_shot,24,1814.16,0.00,1931.51,1,0.52,1
torchinferno,few_shot,25,1810.35,0.00,1937.10,1,0.52,1
torchinferno,few_shot,26,1800.17,0.00,1933.35,1,0.52,1
torchinferno,few_shot,27,1812.86,0.00,1940.19,1,0.52,1
torchinferno,few_shot,28,1805.09,0.00,1942.08,1,0.51,1
torchinferno,few_shot,29,1800.68,0.00,1937.09,1,0.52,1
torchinferno,few_shot,30,1808.38,0.00,1941.19,1,0.52,1
torchinferno,few_shot,31,1801.52,0.00,1944.03,1,0.51,1
torchinferno,few_shot,32,1805.89,0.00,1953.82,1,0.51,1
torchinferno,few_shot,33,1810.19,164.80,1974.99,2,1.01,1
torchinferno,few_shot,34,1810.78,172.09,1982.87,2,1.01,1
torchinferno,few_shot,35,1811.86,166.31,1978.17,2,1.01,1
torchinferno,few_shot,36,1799.47,185.92,1985.39,2,1.01,1
torchinferno,few_shot,37,1807.52,177.98,1985.50,2,1.01,1
torchinferno,few_shot,38,1799.60,182.03,1981.63,2,1.01,1
torchinferno,few_shot,39,1815.45,171.82,1987.28,2,1.01,1
torchinferno,few_shot,40,1807.57,182.66,1990.23,2,1.00,1
torchinferno,few_shot,41,1800.21,191.72,1991.93,2,1.00,1
torchinferno,few_shot,42,1803.59,192.11,1995.70,2,1.00,1
torchinferno,few_shot,43,1800.45,188.74,1989.19,2,1.01,1
torchinferno,few_shot,44,1800.19,196.54,1996.73,2,1.00,1
torchinferno,few_shot,45,1809.69,184.99,1994.69,2,1.00,1
torchinferno,few_shot,46,1806.06,192.93,1998.99,2,1.00,1
torchinferno,few_shot,47,1815.36,185.29,2000.64,2,1.00,1
torchinferno,few_shot,48,1804.26,192.94,1997.19,2,1.00,1
torchinferno,few_shot,49,1805.71,191.46,1997.16,2,1.00,1
torchinferno,few_shot,50,1806.91,198.26,2005.17,2,1.00,1
torchinferno,few_shot,51,1793.96,205.47,1999.43,2,1.00,1
torchinferno,few_shot,52,1803.78,198.53,2002.31,2,1.00,1
torchinferno,few_shot,53,1811.58,192.82,2004.39,2,1.00,1
torchinferno,few_shot,54,1796.47,209.62,2006.09,2,1.00,1
