model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-30T01:03:35.460276+00:00

Build Times
provider,build_time_s
torchinferno,717.6
vllm,682.7
sglang,340.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,171.62,167.91,152.69,sglang
ttft_p99_ms,2303.28,282.53,645.69,vllm
tpot_median_ms,49.71,57.37,68.59,torchinferno
tpot_p99_ms,793.22,157.49,142.88,sglang
e2e_median_ms,214.44,221.93,223.41,torchinferno
e2e_p99_ms,2338.38,362.78,685.90,vllm
throughput_median_tps,5.41,6.64,5.32,vllm
total_output_tokens,1461,1447,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,223.75,203.81,213.94,vllm
ttft_p99_ms,541.19,510.65,73269.01,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,241.33,229.16,368.05,vllm
e2e_p99_ms,568.21,536.56,73366.65,vllm
throughput_median_tps,4.14,4.36,2.72,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,310.69,168.04,167.07,sglang
ttft_p99_ms,601.51,339.37,285.13,sglang
tpot_median_ms,60.34,57.05,98.36,vllm
tpot_p99_ms,137.02,195.66,214.44,torchinferno
e2e_median_ms,365.41,219.56,263.55,vllm
e2e_p99_ms,665.58,417.89,442.53,vllm
throughput_median_tps,3.85,6.19,5.04,vllm
total_output_tokens,1442,1450,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,421.16,146.46,115.68,sglang
ttft_last_turn_ms,373.47,166.58,199.68,vllm
ttft_growth_ratio,0.89,1.14,1.73,torchinferno
ttft_first_turn_median_ms,410.63,143.90,109.88,sglang
ttft_first_turn_p99_ms,623.20,330.24,193.12,sglang
ttft_last_turn_median_ms,376.64,158.21,195.42,vllm
ttft_last_turn_p99_ms,434.63,340.52,306.34,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,195.17,64.96,84.77,vllm
ttft_p99_ms,483.13,2036.99,577.83,torchinferno
tpot_median_ms,58.77,32.04,39.43,vllm
tpot_p99_ms,106.55,1963.80,544.34,torchinferno
e2e_median_ms,244.61,89.53,141.16,vllm
e2e_p99_ms,501.35,2107.11,630.93,torchinferno
throughput_median_tps,5.73,13.59,9.45,vllm
total_output_tokens,1461,1476,1463,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,324.20,83.14,81.18,sglang
ttft_p99_ms,907.24,205.13,380.80,vllm
tpot_median_ms,23.69,14.92,21.97,vllm
tpot_p99_ms,124.47,20.85,42.13,vllm
e2e_median_ms,1157.64,640.22,868.56,vllm
e2e_p99_ms,2191.06,1044.29,1547.70,vllm
throughput_median_tps,31.21,57.70,41.64,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,10,0,1333.65,0.00,1784.29,1,0.56,1,,,,,,,10,,,
torchinferno,few_shot,7,1,1332.51,0.00,1786.47,1,0.56,1,,,,,,,7,,,
torchinferno,few_shot,12,2,1334.26,0.00,1788.25,1,0.56,1,,,,,,,12,,,
torchinferno,few_shot,4,3,1332.67,0.00,1792.41,1,0.56,1,,,,,,,4,,,
torchinferno,few_shot,24,4,1335.09,0.00,1789.73,1,0.56,1,,,,,,,24,,,
torchinferno,few_shot,1,5,1337.12,0.00,1798.44,1,0.56,1,,,,,,,1,,,
torchinferno,few_shot,11,6,1335.49,0.00,1796.20,1,0.56,1,,,,,,,11,,,
torchinferno,few_shot,8,7,1332.85,0.00,1798.34,1,0.56,1,,,,,,,8,,,
torchinferno,few_shot,9,8,1330.11,0.00,1800.72,1,0.56,1,,,,,,,9,,,
torchinferno,few_shot,17,9,1333.10,0.00,1801.27,1,0.56,1,,,,,,,17,,,
torchinferno,few_shot,18,10,1329.45,787.23,2116.67,2,0.94,1,,,,,,,18,,,
torchinferno,few_shot,15,11,1335.84,783.61,2119.45,2,0.94,1,,,,,,,15,,,
torchinferno,few_shot,13,12,1331.86,789.32,2121.18,2,0.94,1,,,,,,,13,,,
torchinferno,few_shot,16,13,1330.73,791.61,2122.33,2,0.94,1,,,,,,,16,,,
torchinferno,few_shot,14,14,1334.67,789.54,2124.21,2,0.94,1,,,,,,,14,,,
torchinferno,few_shot,2,15,1335.96,793.22,2129.19,2,0.94,1,,,,,,,2,,,
torchinferno,few_shot,0,16,1335.14,796.69,2131.84,2,0.94,1,,,,,,,0,,,
torchinferno,few_shot,19,17,1333.40,795.13,2128.53,2,0.94,1,,,,,,,19,,,
torchinferno,few_shot,3,18,1338.65,795.38,2134.03,2,0.94,1,,,,,,,3,,,
torchinferno,few_shot,6,19,1333.88,801.84,2135.72,2,0.94,1,,,,,,,6,,,
torchinferno,few_shot,31,20,2217.76,0.00,2229.34,1,0.45,1,,,,,,,31,,,
torchinferno,few_shot,29,21,2215.79,0.00,2231.04,1,0.45,1,,,,,,,29,,,
torchinferno,few_shot,46,22,2219.52,0.00,2230.22,1,0.45,1,,,,,,,46,,,
torchinferno,few_shot,48,23,2216.16,0.00,2231.77,1,0.45,1,,,,,,,48,,,
torchinferno,few_shot,35,24,2213.34,0.00,2235.65,1,0.45,1,,,,,,,35,,,
torchinferno,few_shot,37,25,2219.01,0.00,2236.55,1,0.45,1,,,,,,,37,,,
torchinferno,few_shot,42,26,2218.70,0.00,2236.68,1,0.45,1,,,,,,,42,,,
torchinferno,few_shot,41,27,2212.68,0.00,2239.42,1,0.45,1,,,,,,,41,,,
torchinferno,few_shot,38,28,2218.61,0.00,2241.56,1,0.45,1,,,,,,,38,,,
torchinferno,few_shot,25,29,2224.85,0.00,2245.59,1,0.45,1,,,,,,,25,,,
torchinferno,few_shot,22,30,2217.06,31.14,2248.20,2,0.89,1,,,,,,,22,,,
torchinferno,few_shot,5,31,2221.33,0.00,2254.11,1,0.44,1,,,,,,,5,,,
torchinferno,few_shot,44,32,2217.41,31.11,2248.53,2,0.89,1,,,,,,,44,,,
torchinferno,few_shot,34,33,2217.10,0.00,2251.40,1,0.44,1,,,,,,,34,,,
torchinferno,few_shot,36,34,2219.83,32.60,2252.43,2,0.89,1,,,,,,,36,,,
torchinferno,few_shot,39,35,2217.87,0.00,2253.97,1,0.44,1,,,,,,,39,,,
torchinferno,few_shot,33,36,2217.04,39.19,2256.23,2,0.89,1,,,,,,,33,,,
torchinferno,few_shot,43,37,2214.94,0.00,2255.57,1,0.44,1,,,,,,,43,,,
torchinferno,few_shot,30,38,2216.64,42.36,2259.00,2,0.89,1,,,,,,,30,,,
torchinferno,few_shot,23,39,2213.98,47.98,2261.96,2,0.88,1,,,,,,,23,,,
torchinferno,few_shot,26,40,2215.85,0.00,2262.65,1,0.44,1,,,,,,,26,,,
torchinferno,few_shot,28,41,2222.84,0.00,2263.92,1,0.44,1,,,,,,,28,,,
torchinferno,few_shot,32,42,2222.41,42.67,2265.08,2,0.88,1,,,,,,,32,,,
torchinferno,few_shot,20,43,2214.95,57.90,2272.85,2,0.88,1,,,,,,,20,,,
torchinferno,few_shot,27,44,2222.18,51.29,2273.46,2,0.88,1,,,,,,,27,,,
torchinferno,few_shot,21,45,2219.87,56.11,2275.98,2,0.88,1,,,,,,,21,,,
torchinferno,few_shot,40,46,2218.78,56.08,2274.86,2,0.88,1,,,,,,,40,,,
torchinferno,few_shot,50,47,2220.46,55.37,2275.84,2,0.88,1,,,,,,,50,,,
torchinferno,few_shot,47,48,2211.20,0.00,2277.48,1,0.44,1,,,,,,,47,,,
torchinferno,few_shot,52,49,2217.72,60.00,2277.73,2,0.88,1,,,,,,,52,,,
torchinferno,few_shot,49,50,2214.25,66.49,2280.74,2,0.88,1,,,,,,,49,,,
torchinferno,few_shot,45,51,2220.94,64.82,2285.76,2,0.87,1,,,,,,,45,,,
torchinferno,few_shot,64,52,530.36,0.00,541.73,1,1.85,1,,,,,,,64,,,
torchinferno,few_shot,58,53,2310.18,0.00,2320.57,1,0.43,1,,,,,,,58,,,
torchinferno,few_shot,65,54,527.69,0.00,547.04,1,1.83,1,,,,,,,65,,,
torchinferno,few_shot,82,55,184.79,0.00,203.69,1,4.91,1,,,,,,,82,,,
torchinferno,few_shot,67,56,521.75,0.00,546.62,1,1.83,1,,,,,,,67,,,
torchinferno,few_shot,69,57,514.86,0.00,542.94,1,1.84,1,,,,,,,69,,,
torchinferno,few_shot,57,58,2306.40,0.00,2332.79,1,0.43,1,,,,,,,57,,,
torchinferno,few_shot,71,59,512.93,0.00,543.72,1,1.84,1,,,,,,,71,,,
torchinferno,few_shot,80,60,187.64,0.00,215.68,1,4.64,1,,,,,,,80,,,
torchinferno,few_shot,51,61,2309.43,28.95,2338.38,2,0.86,1,,,,,,,51,,,
torchinferno,few_shot,74,62,197.69,0.00,227.73,1,4.39,1,,,,,,,74,,,
torchinferno,few_shot,56,63,2302.49,38.20,2340.69,2,0.85,1,,,,,,,56,,,
torchinferno,few_shot,59,64,2302.62,39.33,2341.95,2,0.85,1,,,,,,,59,,,
