model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-22T13:03:24.594026

Build Times
provider,build_time_s
torchinferno,400.3
vllm,1268.7
sglang,196.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,289.96,167.28,137.19,sglang
ttft_p99_ms,1866.19,544.98,4438.88,vllm
tpot_median_ms,151.96,58.92,72.78,vllm
tpot_p99_ms,214.84,140.70,7299.17,vllm
e2e_median_ms,389.37,223.87,204.57,sglang
e2e_p99_ms,2053.24,590.75,11715.84,vllm
throughput_median_tps,3.81,6.41,5.86,vllm
total_output_tokens,1460,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,302.59,184.95,197.47,vllm
ttft_p99_ms,1583.90,418.15,70435.36,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,323.13,210.24,334.49,vllm
e2e_p99_ms,1611.92,493.78,70539.50,vllm
throughput_median_tps,3.09,4.76,2.99,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,671.30,165.22,158.47,sglang
ttft_p99_ms,1905.58,343.36,552.08,vllm
tpot_median_ms,113.56,57.03,103.10,vllm
tpot_p99_ms,469.33,195.32,245.66,vllm
e2e_median_ms,779.87,217.66,254.82,vllm
e2e_p99_ms,2134.39,423.22,693.51,vllm
throughput_median_tps,1.74,6.23,5.23,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1049.85,139.86,111.90,sglang
ttft_last_turn_ms,547.84,161.36,179.04,vllm
ttft_growth_ratio,0.52,1.15,1.60,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,372.82,57.35,73.00,vllm
ttft_p99_ms,939.53,128.84,462.30,vllm
tpot_median_ms,129.45,26.61,62.90,vllm
tpot_p99_ms,149.04,41.22,159.43,vllm
e2e_median_ms,474.63,78.05,149.16,vllm
e2e_p99_ms,1069.74,158.52,497.64,vllm
throughput_median_tps,2.91,16.12,9.73,vllm
total_output_tokens,1465,1471,1462,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,70.25,63.57,sglang
ttft_p99_ms,,189.36,97.62,sglang
tpot_median_ms,,15.01,22.55,vllm
tpot_p99_ms,,19.24,26.88,vllm
e2e_median_ms,,622.41,828.10,vllm
e2e_p99_ms,,1008.50,1570.11,vllm
throughput_median_tps,,59.01,42.03,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,997.31,201.83,1199.14,2,1.67,1
torchinferno,few_shot,1,1871.88,0.00,1943.01,1,0.51,1
torchinferno,few_shot,2,1861.27,0.00,1946.88,1,0.51,1
torchinferno,few_shot,3,1855.00,0.00,1940.87,1,0.52,1
torchinferno,few_shot,4,1865.01,0.00,1942.78,1,0.51,1
torchinferno,few_shot,5,1854.76,0.00,1946.33,1,0.51,1
torchinferno,few_shot,6,1853.85,0.00,1946.08,1,0.51,1
torchinferno,few_shot,7,1869.29,0.00,1951.32,1,0.51,1
torchinferno,few_shot,8,1864.19,0.00,1950.84,1,0.51,1
torchinferno,few_shot,9,1860.60,0.00,1955.87,1,0.51,1
torchinferno,few_shot,10,673.44,0.00,764.96,1,1.31,1
torchinferno,few_shot,11,1862.34,0.00,1962.35,1,0.51,1
torchinferno,few_shot,12,1863.04,0.00,1956.92,1,0.51,1
torchinferno,few_shot,13,1856.05,0.00,1967.07,1,0.51,1
torchinferno,few_shot,14,1852.21,0.00,1963.61,1,0.51,1
torchinferno,few_shot,15,1852.17,0.00,1964.23,1,0.51,1
torchinferno,few_shot,16,1856.87,0.00,1967.46,1,0.51,1
torchinferno,few_shot,17,1852.90,0.00,1963.49,1,0.51,1
torchinferno,few_shot,18,1856.67,0.00,1965.80,1,0.51,1
torchinferno,few_shot,19,1862.30,0.00,1975.62,1,0.51,1
torchinferno,few_shot,20,1873.43,0.00,1976.95,1,0.51,1
torchinferno,few_shot,21,1864.27,0.00,1980.86,1,0.50,1
torchinferno,few_shot,22,1858.55,0.00,1981.39,1,0.50,1
torchinferno,few_shot,23,1862.11,0.00,1981.84,1,0.50,1
torchinferno,few_shot,24,1870.30,0.00,1982.88,1,0.50,1
torchinferno,few_shot,25,1858.08,0.00,1980.12,1,0.51,1
torchinferno,few_shot,26,1864.66,0.00,1983.69,1,0.50,1
torchinferno,few_shot,27,1853.80,0.00,1985.11,1,0.50,1
torchinferno,few_shot,28,1853.10,0.00,1983.55,1,0.50,1
torchinferno,few_shot,29,1857.90,0.00,1984.65,1,0.50,1
torchinferno,few_shot,30,1849.57,0.00,1987.35,1,0.50,1
torchinferno,few_shot,31,1853.50,0.00,1993.01,1,0.50,1
torchinferno,few_shot,32,1855.11,0.00,2000.64,1,0.50,1
torchinferno,few_shot,33,1863.85,0.00,2002.44,1,0.50,1
torchinferno,few_shot,34,1854.20,167.64,2021.85,2,0.99,1
torchinferno,few_shot,35,1856.53,159.32,2015.85,2,0.99,1
torchinferno,few_shot,36,1859.69,161.98,2021.68,2,0.99,1
torchinferno,few_shot,37,1866.52,161.67,2028.19,2,0.99,1
torchinferno,few_shot,38,1854.26,173.53,2027.79,2,0.99,1
torchinferno,few_shot,39,1864.19,162.84,2027.03,2,0.99,1
torchinferno,few_shot,40,1869.79,164.09,2033.87,2,0.98,1
torchinferno,few_shot,41,1863.53,165.85,2029.38,2,0.99,1
torchinferno,few_shot,42,1856.44,179.92,2036.36,2,0.98,1
torchinferno,few_shot,43,1862.82,172.91,2035.73,2,0.98,1
torchinferno,few_shot,44,1866.41,173.87,2040.28,2,0.98,1
