model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-09T20:42:10.134010

Build Times
provider,build_time_s
vllm,1022.8
sglang,295.5
torchinferno,73.2

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,25.34,31.64,36.79,vllm
ttft_p99_ms,816.84,7651.05,2293.95,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,36.02,39.97,46.68,vllm
e2e_p99_ms,1163.64,14998.22,2303.69,vllm
throughput_median_tps,27.76,25.02,21.42,vllm
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,71.48,511.21,740.27,vllm
ttft_p99_ms,99.12,529.89,824.58,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,85.98,521.81,1613.04,vllm
e2e_p99_ms,130.42,538.73,1642.03,vllm
throughput_median_tps,11.63,1.92,0.62,vllm
total_output_tokens,16,16,16,vllm
num_requests,16,16,16,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,24.40,29.45,468.07,vllm
ttft_p99_ms,24.63,32.93,878.47,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,35.15,38.30,787.84,vllm
e2e_p99_ms,35.50,41.17,1177.23,vllm
throughput_median_tps,28.45,26.11,1.29,vllm
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm
ttft_first_turn_ms,22.80,31.77,310.20,vllm
ttft_last_turn_ms,24.56,29.39,336.70,vllm
ttft_growth_ratio,1.08,0.92,1.09,sglang

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,38.55,45.84,83.59,vllm
ttft_p99_ms,157.47,61.07,759.94,sglang
tpot_median_ms,76.17,18.04,115.94,sglang
tpot_p99_ms,129.94,18.04,116.07,sglang
e2e_median_ms,51.25,56.26,198.70,vllm
e2e_p99_ms,167.76,69.20,2356.05,sglang
throughput_median_tps,20.03,17.94,5.09,vllm
total_output_tokens,33,33,33,vllm
num_requests,31,31,31,
correctness_rate,1.00,1.00,1.00,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,25.16,29.92,211.19,vllm
ttft_p99_ms,25.79,34.80,215.40,vllm
tpot_median_ms,11.12,9.33,10.00,sglang
tpot_p99_ms,12.18,12.54,11.01,torchinferno
e2e_median_ms,436.38,378.00,579.62,sglang
e2e_p99_ms,750.87,642.08,862.79,sglang
throughput_median_tps,87.02,100.46,65.39,sglang
total_output_tokens,303,303,303,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,816.84,0.00,1163.64,1,0.86,1
vllm,few_shot,1,26.18,0.00,37.32,1,26.80,1
vllm,few_shot,2,25.31,0.00,36.24,1,27.59,1
vllm,few_shot,3,26.35,0.00,35.86,1,27.89,1
vllm,few_shot,4,25.38,0.00,36.19,1,27.63,1
vllm,few_shot,5,24.70,0.00,35.69,1,28.02,1
vllm,few_shot,6,24.58,0.00,35.37,1,28.28,1
vllm,few_shot,7,24.67,0.00,35.38,1,28.26,1
vllm,self_consistency,0,71.83,0.00,81.41,1,12.28,1
vllm,self_consistency,1,99.12,0.00,129.85,1,7.70,1
vllm,self_consistency,2,53.74,0.00,87.48,1,11.43,1
vllm,self_consistency,3,49.88,0.00,83.66,1,11.95,1
vllm,self_consistency,4,53.17,0.00,86.46,1,11.57,1
vllm,self_consistency,5,96.57,0.00,130.42,1,7.67,1
vllm,self_consistency,6,56.81,0.00,91.69,1,10.91,1
vllm,self_consistency,7,62.74,0.00,74.66,1,13.39,1
vllm,self_consistency,8,63.59,0.00,74.46,1,13.43,1
vllm,self_consistency,9,71.13,0.00,81.08,1,12.33,1
vllm,self_consistency,10,74.82,0.00,87.27,1,11.46,1
vllm,self_consistency,11,75.99,0.00,88.93,1,11.24,1
vllm,self_consistency,12,71.84,0.00,85.51,1,11.69,1
vllm,self_consistency,13,73.34,0.00,83.69,1,11.95,1
vllm,self_consistency,14,66.66,0.00,79.45,1,12.59,1
vllm,self_consistency,15,79.72,0.00,92.30,1,10.83,1
vllm,multi_turn,0,22.80,0.00,33.30,1,30.03,1
vllm,multi_turn,1,24.29,0.00,35.11,1,28.48,1
vllm,multi_turn,2,24.27,0.00,35.12,1,28.47,1
vllm,multi_turn,3,24.39,0.00,35.12,1,28.47,1
vllm,multi_turn,4,24.41,0.00,35.17,1,28.43,1
vllm,multi_turn,5,24.45,0.00,35.26,1,28.36,1
vllm,multi_turn,6,24.63,0.00,35.50,1,28.17,1
vllm,multi_turn,7,24.56,0.00,35.37,1,28.28,1
vllm,tree_of_thought,0,29.86,0.00,46.10,1,21.69,1
vllm,tree_of_thought,1,43.92,0.00,55.92,1,17.88,1
vllm,tree_of_thought,2,42.12,0.00,53.09,1,18.84,1
vllm,tree_of_thought,3,42.80,0.00,54.50,1,18.35,1
vllm,tree_of_thought,4,27.51,0.00,42.39,1,23.59,1
vllm,tree_of_thought,5,38.35,0.00,49.93,1,20.03,1
vllm,tree_of_thought,6,41.15,0.00,51.78,1,19.31,1
vllm,tree_of_thought,7,37.68,0.00,49.69,1,20.12,1
vllm,tree_of_thought,8,25.29,0.00,40.57,1,24.65,1
vllm,tree_of_thought,9,39.09,0.00,49.87,1,20.05,1
vllm,tree_of_thought,10,37.90,0.00,48.26,1,20.72,1
vllm,tree_of_thought,11,41.39,0.00,53.17,1,18.81,1
vllm,tree_of_thought,12,28.72,129.94,158.65,2,12.61,1
vllm,tree_of_thought,13,43.32,0.00,160.04,1,6.25,1
vllm,tree_of_thought,14,155.08,0.00,166.18,1,6.02,1
vllm,tree_of_thought,15,157.47,0.00,167.76,1,5.96,1
vllm,tree_of_thought,16,25.74,0.00,36.49,1,27.41,1
vllm,tree_of_thought,17,30.65,0.00,43.65,1,22.91,1
vllm,tree_of_thought,18,27.59,0.00,40.36,1,24.77,1
vllm,tree_of_thought,19,42.38,0.00,55.04,1,18.17,1
vllm,tree_of_thought,20,58.46,0.00,69.80,1,14.33,1
vllm,tree_of_thought,21,27.85,0.00,41.30,1,24.21,1
vllm,tree_of_thought,22,36.64,0.00,49.78,1,20.09,1
vllm,tree_of_thought,23,38.55,0.00,51.25,1,19.51,1
vllm,tree_of_thought,24,52.22,0.00,63.44,1,15.76,1
vllm,tree_of_thought,25,23.52,0.00,34.23,1,29.21,1
vllm,tree_of_thought,26,26.23,0.00,37.17,1,26.90,1
vllm,tree_of_thought,27,48.71,0.00,60.66,1,16.49,1
vllm,tree_of_thought,28,45.73,0.00,57.35,1,17.44,1
vllm,tree_of_thought,29,47.03,22.41,69.43,2,28.80,1
vllm,tree_of_thought,30,23.09,0.00,33.90,1,29.50,1
vllm,long_output,0,20.87,12.18,118.32,9,76.07,1
vllm,long_output,1,24.34,11.52,208.72,17,81.45,1
