model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-24T11:03:51.943261

Build Times
provider,build_time_s
torchinferno,305.5
vllm,1241.7
sglang,210.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,289.20,153.65,137.58,sglang
ttft_p99_ms,2058.50,936.25,7921.79,vllm
tpot_median_ms,153.56,56.00,74.49,vllm
tpot_p99_ms,215.01,137.97,7314.09,vllm
e2e_median_ms,385.45,202.52,210.57,vllm
e2e_p99_ms,2258.89,985.45,15212.50,vllm
throughput_median_tps,3.86,7.17,5.64,vllm
total_output_tokens,1461,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,270.88,203.52,198.87,sglang
ttft_p99_ms,1857.25,375.65,71446.39,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,299.99,235.60,336.56,vllm
e2e_p99_ms,1894.31,443.11,71581.84,vllm
throughput_median_tps,3.33,4.24,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,697.10,164.79,156.34,sglang
ttft_p99_ms,1861.19,334.25,829.48,vllm
tpot_median_ms,96.03,60.32,107.33,vllm
tpot_p99_ms,417.78,187.45,237.62,vllm
e2e_median_ms,797.04,212.65,255.12,vllm
e2e_p99_ms,2093.90,416.86,973.57,vllm
throughput_median_tps,1.59,6.30,5.19,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,973.14,132.83,108.91,sglang
ttft_last_turn_ms,563.89,159.80,174.39,vllm
ttft_growth_ratio,0.58,1.20,1.60,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,317.09,57.67,72.98,vllm
ttft_p99_ms,787.25,154.14,488.54,vllm
tpot_median_ms,133.01,26.15,67.65,vllm
tpot_p99_ms,150.59,118.16,179.87,vllm
e2e_median_ms,415.82,77.67,160.15,vllm
e2e_p99_ms,920.94,171.00,532.97,vllm
throughput_median_tps,3.66,15.37,9.08,vllm
total_output_tokens,1473,1462,1460,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,883.24,65.26,64.60,sglang
ttft_p99_ms,2641.16,155.07,109.43,sglang
tpot_median_ms,16.33,14.95,22.74,vllm
tpot_p99_ms,63.14,20.06,26.94,vllm
e2e_median_ms,1549.52,608.06,839.00,vllm
e2e_p99_ms,3440.73,991.58,1601.53,vllm
throughput_median_tps,22.49,59.95,41.55,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1063.72,267.44,1331.16,2,1.50,1
torchinferno,few_shot,1,2047.56,0.00,2140.80,1,0.47,1
torchinferno,few_shot,2,2055.50,0.00,2136.18,1,0.47,1
torchinferno,few_shot,3,2055.87,0.00,2145.05,1,0.47,1
torchinferno,few_shot,4,2052.10,0.00,2144.53,1,0.47,1
torchinferno,few_shot,5,2058.08,0.00,2143.41,1,0.47,1
torchinferno,few_shot,6,2052.51,0.00,2145.12,1,0.47,1
torchinferno,few_shot,7,2049.75,0.00,2145.28,1,0.47,1
torchinferno,few_shot,8,2047.02,0.00,2149.98,1,0.47,1
torchinferno,few_shot,9,2051.62,0.00,2153.67,1,0.46,1
torchinferno,few_shot,10,2052.61,0.00,2153.68,1,0.46,1
torchinferno,few_shot,11,2058.50,0.00,2152.06,1,0.46,1
torchinferno,few_shot,12,2056.13,0.00,2152.79,1,0.46,1
torchinferno,few_shot,13,2053.11,0.00,2156.45,1,0.46,1
torchinferno,few_shot,14,2047.35,0.00,2155.86,1,0.46,1
torchinferno,few_shot,15,722.42,0.00,830.23,1,1.20,1
torchinferno,few_shot,16,2057.02,0.00,2157.78,1,0.46,1
torchinferno,few_shot,17,2050.34,0.00,2168.06,1,0.46,1
torchinferno,few_shot,18,2059.06,0.00,2162.13,1,0.46,1
torchinferno,few_shot,19,2044.82,0.00,2170.72,1,0.46,1
torchinferno,few_shot,20,2046.08,0.00,2165.05,1,0.46,1
torchinferno,few_shot,21,2047.38,0.00,2168.42,1,0.46,1
torchinferno,few_shot,22,2060.08,0.00,2176.67,1,0.46,1
torchinferno,few_shot,23,2046.02,0.00,2170.41,1,0.46,1
torchinferno,few_shot,24,2049.36,0.00,2172.62,1,0.46,1
torchinferno,few_shot,25,2051.09,0.00,2180.89,1,0.46,1
torchinferno,few_shot,26,2044.60,0.00,2178.56,1,0.46,1
torchinferno,few_shot,27,2058.55,0.00,2179.27,1,0.46,1
torchinferno,few_shot,28,2063.67,0.00,2182.91,1,0.46,1
torchinferno,few_shot,29,2054.75,0.00,2183.84,1,0.46,1
torchinferno,few_shot,30,2049.16,0.00,2182.12,1,0.46,1
torchinferno,few_shot,31,2045.73,0.00,2192.19,1,0.46,1
torchinferno,few_shot,32,2045.49,0.00,2186.65,1,0.46,1
torchinferno,few_shot,33,2046.97,0.00,2199.46,1,0.45,1
torchinferno,few_shot,34,2044.01,179.04,2223.05,2,0.90,1
torchinferno,few_shot,35,2052.48,167.85,2220.33,2,0.90,1
torchinferno,few_shot,36,2052.30,175.60,2227.90,2,0.90,1
torchinferno,few_shot,37,2056.65,173.06,2229.71,2,0.90,1
torchinferno,few_shot,38,2045.02,185.80,2230.82,2,0.90,1
torchinferno,few_shot,39,2042.71,185.87,2228.58,2,0.90,1
torchinferno,few_shot,40,2044.67,191.66,2236.33,2,0.89,1
torchinferno,few_shot,41,2045.58,185.74,2231.32,2,0.90,1
torchinferno,few_shot,42,2060.14,173.81,2233.96,2,0.90,1
torchinferno,few_shot,43,2064.12,175.08,2239.19,2,0.89,1
torchinferno,few_shot,44,2056.88,182.25,2239.14,2,0.89,1
torchinferno,few_shot,45,2049.61,192.30,2241.91,2,0.89,1
torchinferno,few_shot,46,2052.31,185.90,2238.22,2,0.89,1
torchinferno,few_shot,47,2044.13,199.73,2243.86,2,0.89,1
torchinferno,few_shot,48,2051.56,195.67,2247.23,2,0.89,1
torchinferno,few_shot,49,2052.05,193.02,2245.07,2,0.89,1
torchinferno,few_shot,50,2058.68,187.07,2245.75,2,0.89,1
torchinferno,few_shot,51,2058.44,191.12,2249.55,2,0.89,1
torchinferno,few_shot,52,2043.81,206.31,2250.12,2,0.89,1
torchinferno,few_shot,53,2063.97,195.44,2259.41,2,0.89,1
torchinferno,few_shot,54,2052.95,199.67,2252.62,2,0.89,1
torchinferno,few_shot,55,2046.85,214.86,2261.71,2,0.88,1
torchinferno,few_shot,56,2052.71,212.78,2265.49,2,0.88,1
torchinferno,few_shot,57,2046.90,213.70,2260.59,2,0.88,1
torchinferno,few_shot,58,2055.57,201.85,2257.42,2,0.89,1
torchinferno,few_shot,59,2056.27,202.62,2258.89,2,0.89,1
torchinferno,few_shot,60,2050.10,212.41,2262.51,2,0.88,1
torchinferno,few_shot,61,2053.80,215.22,2269.02,2,0.88,1
torchinferno,few_shot,62,2052.92,221.28,2274.21,2,0.88,1
torchinferno,few_shot,63,2049.54,215.60,2265.14,2,0.88,1
torchinferno,few_shot,64,2060.37,215.01,2275.38,2,0.88,1
torchinferno,few_shot,65,214.64,0.00,287.98,1,3.47,1
torchinferno,few_shot,66,163.38,0.00,230.06,1,4.35,1
torchinferno,few_shot,67,193.35,0.00,268.90,1,3.72,1
torchinferno,few_shot,68,215.87,0.00,297.54,1,3.36,1
torchinferno,few_shot,69,209.00,0.00,289.17,1,3.46,1
torchinferno,few_shot,70,181.17,0.00,260.36,1,3.84,1
torchinferno,few_shot,71,181.66,0.00,266.52,1,3.75,1
torchinferno,few_shot,72,169.45,0.00,247.44,1,4.04,1
torchinferno,few_shot,73,208.97,0.00,291.53,1,3.43,1
torchinferno,few_shot,74,195.00,0.00,276.31,1,3.62,1
torchinferno,few_shot,75,180.63,0.00,270.06,1,3.70,1
torchinferno,few_shot,76,170.01,0.00,254.66,1,3.93,1
torchinferno,few_shot,77,209.20,0.00,294.68,1,3.39,1
torchinferno,few_shot,78,208.50,0.00,303.15,1,3.30,1
torchinferno,few_shot,79,217.57,0.00,310.01,1,3.23,1
torchinferno,few_shot,80,195.86,0.00,290.07,1,3.45,1
torchinferno,few_shot,81,178.19,0.00,278.65,1,3.59,1
torchinferno,few_shot,82,172.37,0.00,277.27,1,3.61,1
torchinferno,few_shot,83,205.76,0.00,310.13,1,3.22,1
torchinferno,few_shot,84,205.75,0.00,306.74,1,3.26,1
torchinferno,few_shot,85,178.74,0.00,285.41,1,3.50,1
torchinferno,few_shot,86,174.02,0.00,282.88,1,3.54,1
torchinferno,few_shot,87,167.08,150.83,317.91,2,6.29,1
torchinferno,few_shot,88,196.58,152.08,348.66,2,5.74,1
torchinferno,few_shot,89,190.64,148.09,338.73,2,5.90,1
torchinferno,few_shot,90,174.26,152.66,326.92,2,6.12,1
torchinferno,few_shot,91,207.73,150.79,358.51,2,5.58,1
torchinferno,few_shot,92,166.15,157.72,323.87,2,6.18,1
torchinferno,few_shot,93,206.81,158.26,365.07,2,5.48,1
torchinferno,few_shot,94,200.77,160.19,360.96,2,5.54,1
torchinferno,few_shot,95,199.91,157.98,357.90,2,5.59,1
torchinferno,few_shot,96,198.58,159.50,358.07,2,5.59,1
torchinferno,few_shot,97,182.25,169.80,352.05,2,5.68,1
torchinferno,few_shot,98,405.22,0.00,463.55,1,2.16,1
torchinferno,few_shot,99,188.78,0.00,252.20,1,3.97,1
torchinferno,few_shot,100,224.17,0.00,291.38,1,3.43,1
torchinferno,few_shot,101,393.03,0.00,455.08,1,2.20,1
torchinferno,few_shot,102,206.23,0.00,280.75,1,3.56,1
torchinferno,few_shot,103,418.13,0.00,497.21,1,2.01,1
torchinferno,few_shot,104,420.41,0.00,497.18,1,2.01,1
torchinferno,few_shot,105,227.51,0.00,291.62,1,3.43,1
torchinferno,few_shot,106,227.29,0.00,301.16,1,3.32,1
torchinferno,few_shot,107,206.51,0.00,273.51,1,3.66,1
torchinferno,few_shot,108,380.38,0.00,460.27,1,2.17,1
torchinferno,few_shot,109,407.98,0.00,497.00,1,2.01,1
torchinferno,few_shot,110,207.16,0.00,294.10,1,3.40,1
torchinferno,few_shot,111,219.19,0.00,296.80,1,3.37,1
torchinferno,few_shot,112,398.11,0.00,485.59,1,2.06,1
torchinferno,few_shot,113,407.67,0.00,504.70,1,1.98,1
torchinferno,few_shot,114,401.99,0.00,493.20,1,2.03,1
torchinferno,few_shot,115,419.00,0.00,503.72,1,1.99,1
torchinferno,few_shot,116,418.50,0.00,518.17,1,1.93,1
torchinferno,few_shot,117,210.20,0.00,298.88,1,3.35,1
torchinferno,few_shot,118,210.30,0.00,316.28,1,3.16,1
torchinferno,few_shot,119,410.99,0.00,505.45,1,1.98,1
torchinferno,few_shot,120,418.92,0.00,512.64,1,1.95,1
torchinferno,few_shot,121,394.50,0.00,499.04,1,2.00,1
torchinferno,few_shot,122,414.55,0.00,528.27,1,1.89,1
torchinferno,few_shot,123,379.82,0.00,495.44,1,2.02,1
torchinferno,few_shot,124,231.55,0.00,332.87,1,3.00,1
torchinferno,few_shot,125,393.55,148.29,541.84,2,3.69,1
torchinferno,few_shot,126,376.11,143.55,519.66,2,3.85,1
torchinferno,few_shot,127,200.02,138.23,338.25,2,5.91,1
torchinferno,few_shot,128,219.18,145.03,364.21,2,5.49,1
torchinferno,few_shot,129,393.67,148.62,542.29,2,3.69,1
torchinferno,few_shot,130,412.32,152.96,565.28,2,3.54,1
torchinferno,few_shot,131,395.15,153.39,548.54,2,3.65,1
torchinferno,few_shot,132,383.24,160.55,543.80,2,3.68,1
torchinferno,few_shot,133,424.30,155.38,579.68,2,3.45,1
torchinferno,few_shot,134,416.31,151.61,567.92,2,3.52,1
torchinferno,few_shot,135,206.11,150.07,356.18,2,5.62,1
