model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-09T19:53:33.642687

Build Times
provider,build_time_s
vllm,1026.2
sglang,310.4
torchinferno,77.2

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,25.46,33.21,36.58,vllm
ttft_p99_ms,669.90,8067.05,655.81,torchinferno
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,36.34,41.35,46.45,vllm
e2e_p99_ms,1015.74,15512.28,1123.93,vllm
throughput_median_tps,27.52,24.19,21.53,vllm
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,65.32,504.50,925.16,vllm
ttft_p99_ms,78.14,520.86,1013.18,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,84.27,515.48,1438.20,vllm
e2e_p99_ms,92.15,527.98,1454.53,vllm
throughput_median_tps,11.87,1.94,0.70,vllm
total_output_tokens,16,16,16,vllm
num_requests,16,16,16,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,24.60,28.91,629.16,vllm
ttft_p99_ms,24.69,31.26,1689.62,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,35.42,38.02,965.59,vllm
e2e_p99_ms,35.56,40.21,1699.13,vllm
throughput_median_tps,28.24,26.30,1.12,vllm
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm
ttft_first_turn_ms,21.68,29.57,612.88,vllm
ttft_last_turn_ms,24.69,28.90,645.44,vllm
ttft_growth_ratio,1.14,0.98,1.05,sglang

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,37.93,46.10,81.98,vllm
ttft_p99_ms,163.89,55.40,650.42,sglang
tpot_median_ms,22.67,18.46,113.41,sglang
tpot_p99_ms,24.36,19.72,113.46,sglang
e2e_median_ms,49.14,56.34,194.16,vllm
e2e_p99_ms,175.97,74.58,2736.50,sglang
throughput_median_tps,21.37,17.96,5.20,vllm
total_output_tokens,33,33,33,vllm
num_requests,31,31,31,
correctness_rate,1.00,1.00,1.00,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,25.68,30.21,501.86,vllm
ttft_p99_ms,27.48,34.27,960.72,vllm
tpot_median_ms,11.23,9.33,9.83,sglang
tpot_p99_ms,12.26,12.58,10.74,torchinferno
e2e_median_ms,441.96,376.73,1065.90,sglang
e2e_p99_ms,755.46,639.89,1362.48,sglang
throughput_median_tps,85.92,100.80,30.79,sglang
total_output_tokens,303,303,303,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,669.90,0.00,1015.74,1,0.98,1
vllm,few_shot,1,27.08,0.00,38.05,1,26.28,1
vllm,few_shot,2,25.70,0.00,36.52,1,27.38,1
vllm,few_shot,3,25.22,0.00,36.16,1,27.65,1
vllm,few_shot,4,24.97,0.00,36.01,1,27.77,1
vllm,few_shot,5,24.90,0.00,35.77,1,27.96,1
vllm,few_shot,6,24.75,0.00,35.62,1,28.07,1
vllm,few_shot,7,26.96,0.00,37.96,1,26.34,1
vllm,self_consistency,0,32.82,0.00,43.24,1,23.12,1
vllm,self_consistency,1,51.50,0.00,83.69,1,11.95,1
vllm,self_consistency,2,55.70,0.00,89.30,1,11.20,1
vllm,self_consistency,3,56.40,0.00,91.30,1,10.95,1
vllm,self_consistency,4,49.81,0.00,84.85,1,11.79,1
vllm,self_consistency,5,54.07,0.00,88.79,1,11.26,1
vllm,self_consistency,6,68.27,0.00,78.55,1,12.73,1
vllm,self_consistency,7,77.61,0.00,88.54,1,11.29,1
vllm,self_consistency,8,61.94,0.00,72.66,1,13.76,1
vllm,self_consistency,9,65.37,0.00,75.33,1,13.28,1
vllm,self_consistency,10,78.14,0.00,92.15,1,10.85,1
vllm,self_consistency,11,65.47,0.00,78.90,1,12.67,1
vllm,self_consistency,12,65.27,0.00,77.10,1,12.97,1
vllm,self_consistency,13,70.86,0.00,84.86,1,11.78,1
vllm,self_consistency,14,70.61,0.00,81.97,1,12.20,1
vllm,self_consistency,15,78.05,0.00,87.91,1,11.38,1
vllm,multi_turn,0,21.68,0.00,32.44,1,30.83,1
vllm,multi_turn,1,24.62,0.00,35.55,1,28.13,1
vllm,multi_turn,2,24.66,0.00,35.43,1,28.22,1
vllm,multi_turn,3,24.42,0.00,35.25,1,28.36,1
vllm,multi_turn,4,24.43,0.00,35.21,1,28.40,1
vllm,multi_turn,5,24.58,0.00,35.40,1,28.25,1
vllm,multi_turn,6,24.64,0.00,35.49,1,28.18,1
vllm,multi_turn,7,24.69,0.00,35.56,1,28.12,1
vllm,tree_of_thought,0,30.43,0.00,45.84,1,21.81,1
vllm,tree_of_thought,1,40.32,0.00,160.69,1,6.22,1
vllm,tree_of_thought,2,163.89,0.00,175.97,1,5.68,1
vllm,tree_of_thought,3,162.69,0.00,174.36,1,5.74,1
vllm,tree_of_thought,4,30.22,0.00,47.20,1,21.19,1
vllm,tree_of_thought,5,28.96,0.00,45.79,1,21.84,1
vllm,tree_of_thought,6,50.02,0.00,64.24,1,15.57,1
vllm,tree_of_thought,7,62.58,0.00,73.79,1,13.55,1
vllm,tree_of_thought,8,26.76,0.00,41.61,1,24.03,1
vllm,tree_of_thought,9,32.57,0.00,46.80,1,21.37,1
vllm,tree_of_thought,10,29.18,0.00,44.16,1,22.64,1
vllm,tree_of_thought,11,44.83,0.00,55.49,1,18.02,1
vllm,tree_of_thought,12,28.49,0.00,43.36,1,23.06,1
vllm,tree_of_thought,13,39.86,0.00,50.75,1,19.71,1
vllm,tree_of_thought,14,39.11,0.00,49.14,1,20.35,1
vllm,tree_of_thought,15,42.14,20.97,63.12,2,31.69,1
vllm,tree_of_thought,16,25.54,0.00,36.27,1,27.57,1
vllm,tree_of_thought,17,26.89,0.00,38.10,1,26.24,1
vllm,tree_of_thought,18,30.78,0.00,41.72,1,23.97,1
vllm,tree_of_thought,19,53.26,0.00,64.50,1,15.50,1
vllm,tree_of_thought,20,50.82,0.00,61.77,1,16.19,1
vllm,tree_of_thought,21,28.61,0.00,42.89,1,23.31,1
vllm,tree_of_thought,22,26.23,0.00,40.26,1,24.84,1
vllm,tree_of_thought,23,37.93,0.00,49.83,1,20.07,1
vllm,tree_of_thought,24,41.05,0.00,52.63,1,19.00,1
vllm,tree_of_thought,25,26.66,0.00,37.49,1,26.67,1
vllm,tree_of_thought,26,29.04,0.00,44.15,1,22.65,1
vllm,tree_of_thought,27,42.76,0.00,55.59,1,17.99,1
vllm,tree_of_thought,28,40.51,24.36,64.87,2,30.83,1
vllm,tree_of_thought,29,52.64,0.00,63.96,1,15.64,1
vllm,tree_of_thought,30,23.33,0.00,34.06,1,29.36,1
vllm,long_output,0,20.89,12.26,118.96,9,75.66,1
vllm,long_output,1,24.50,11.57,209.54,17,81.13,1
vllm,long_output,2,24.47,11.34,296.52,25,84.31,1
vllm,long_output,3,25.98,11.29,398.45,34,85.33,1
vllm,long_output,4,27.48,11.17,485.48,42,86.51,1
vllm,long_output,5,25.68,11.10,569.58,50,87.78,1
vllm,long_output,6,25.67,11.07,667.63,59,88.37,1
vllm,long_output,7,25.78,11.06,755.46,67,88.69,1
sglang,few_shot,0,8067.05,0.00,15512.28,1,0.06,1
sglang,few_shot,1,444.41,0.00,453.41,1,2.21,1
sglang,few_shot,2,32.49,0.00,41.71,1,23.97,1
sglang,few_shot,3,31.96,0.00,40.18,1,24.89,1
sglang,few_shot,4,34.20,0.00,39.52,1,25.30,1
sglang,few_shot,5,31.44,0.00,40.98,1,24.40,1
sglang,few_shot,6,33.93,0.00,42.77,1,23.38,1
sglang,few_shot,7,30.16,0.00,38.67,1,25.86,1
sglang,self_consistency,0,492.44,0.00,499.52,1,2.00,1
sglang,self_consistency,1,518.33,0.00,520.75,1,1.92,1
sglang,self_consistency,2,510.77,0.00,515.97,1,1.94,1
sglang,self_consistency,3,497.81,0.00,508.65,1,1.97,1
sglang,self_consistency,4,511.34,0.00,519.46,1,1.93,1
sglang,self_consistency,5,507.72,0.00,515.34,1,1.94,1
sglang,self_consistency,6,513.19,0.00,516.63,1,1.94,1
sglang,self_consistency,7,495.31,0.00,506.31,1,1.98,1
sglang,self_consistency,8,520.86,0.00,527.98,1,1.89,1
sglang,self_consistency,9,491.42,0.00,501.13,1,2.00,1
sglang,self_consistency,10,518.87,0.00,523.07,1,1.91,1
sglang,self_consistency,11,501.24,0.00,508.47,1,1.97,1
sglang,self_consistency,12,490.42,0.00,504.33,1,1.98,1
sglang,self_consistency,13,439.96,0.00,527.27,1,1.90,1
sglang,self_consistency,14,501.28,0.00,512.45,1,1.95,1
sglang,self_consistency,15,513.02,0.00,515.63,1,1.94,1
sglang,multi_turn,0,29.57,0.00,38.07,1,26.27,1
sglang,multi_turn,1,31.26,0.00,40.21,1,24.87,1
sglang,multi_turn,2,29.80,0.00,38.46,1,26.00,1
sglang,multi_turn,3,28.93,0.00,37.97,1,26.34,1
sglang,multi_turn,4,28.77,0.00,37.67,1,26.55,1
sglang,multi_turn,5,28.85,0.00,38.26,1,26.14,1
sglang,multi_turn,6,28.76,0.00,37.54,1,26.64,1
sglang,multi_turn,7,28.90,0.00,37.67,1,26.55,1
sglang,tree_of_thought,0,55.40,0.00,64.90,1,15.41,1
sglang,tree_of_thought,1,45.18,0.00,58.75,1,17.02,1
sglang,tree_of_thought,2,54.66,0.00,63.73,1,15.69,1
sglang,tree_of_thought,3,52.16,0.00,60.72,1,16.47,1
sglang,tree_of_thought,4,46.12,0.00,56.00,1,17.86,1
sglang,tree_of_thought,5,46.00,0.00,55.30,1,18.08,1
sglang,tree_of_thought,6,48.14,0.00,58.20,1,17.18,1
sglang,tree_of_thought,7,46.91,0.00,59.86,1,16.71,1
sglang,tree_of_thought,8,45.23,0.00,54.99,1,18.19,1
sglang,tree_of_thought,9,47.42,0.00,59.56,1,16.79,1
sglang,tree_of_thought,10,49.54,0.00,58.57,1,17.07,1
sglang,tree_of_thought,11,47.25,0.00,57.04,1,17.53,1
sglang,tree_of_thought,12,54.25,0.00,64.67,1,15.46,1
sglang,tree_of_thought,13,52.78,0.00,67.75,1,14.76,1
sglang,tree_of_thought,14,51.82,0.00,63.87,1,15.66,1
sglang,tree_of_thought,15,54.85,19.72,74.58,2,26.82,1
sglang,tree_of_thought,16,28.15,0.00,37.57,1,26.61,1
sglang,tree_of_thought,17,43.71,0.00,53.36,1,18.74,1
sglang,tree_of_thought,18,41.66,0.00,52.24,1,19.14,1
sglang,tree_of_thought,19,44.74,0.00,57.00,1,17.54,1
sglang,tree_of_thought,20,46.10,0.00,55.68,1,17.96,1
sglang,tree_of_thought,21,43.37,0.00,54.66,1,18.30,1
sglang,tree_of_thought,22,46.58,0.00,56.34,1,17.75,1
sglang,tree_of_thought,23,42.34,0.00,51.81,1,19.30,1
sglang,tree_of_thought,24,45.01,0.00,53.93,1,18.54,1
sglang,tree_of_thought,25,24.75,0.00,32.70,1,30.58,1
sglang,tree_of_thought,26,41.06,0.00,50.51,1,19.80,1
sglang,tree_of_thought,27,42.22,0.00,53.69,1,18.63,1
sglang,tree_of_thought,28,46.88,0.00,55.44,1,18.04,1
sglang,tree_of_thought,29,43.48,17.20,60.68,2,32.96,1
sglang,tree_of_thought,30,26.55,0.00,34.96,1,28.61,1
sglang,long_output,0,25.56,10.21,107.23,9,83.93,1
sglang,long_output,1,29.49,12.58,230.78,17,73.66,1
sglang,long_output,2,34.27,9.45,261.19,25,95.72,1
sglang,long_output,3,31.23,9.35,339.78,34,100.07,1
sglang,long_output,4,32.22,9.30,413.68,42,101.53,1
sglang,long_output,5,30.10,9.28,484.97,50,103.10,1
sglang,long_output,6,30.31,9.25,566.78,59,104.10,1
sglang,long_output,7,30.12,9.24,639.89,67,104.71,1
torchinferno,few_shot,0,377.29,0.00,1123.93,1,0.89,1
torchinferno,few_shot,1,36.83,0.00,46.66,1,21.43,1
torchinferno,few_shot,2,36.73,0.00,46.62,1,21.45,1
torchinferno,few_shot,3,35.75,0.00,45.55,1,21.96,1
torchinferno,few_shot,4,35.42,0.00,45.18,1,22.13,1
torchinferno,few_shot,5,655.81,0.00,665.46,1,1.50,1
torchinferno,few_shot,6,36.42,0.00,46.29,1,21.60,1
torchinferno,few_shot,7,35.75,0.00,45.53,1,21.96,1
torchinferno,self_consistency,0,1006.21,0.00,1425.34,1,0.70,1
torchinferno,self_consistency,1,835.55,0.00,1436.83,1,0.70,1
torchinferno,self_consistency,2,845.20,0.00,1444.63,1,0.69,1
torchinferno,self_consistency,3,998.38,0.00,1422.24,1,0.70,1
torchinferno,self_consistency,4,1004.22,0.00,1426.05,1,0.70,1
torchinferno,self_consistency,5,851.94,0.00,1453.85,1,0.69,1
torchinferno,self_consistency,6,841.06,0.00,1444.75,1,0.69,1
torchinferno,self_consistency,7,1003.47,0.00,1428.51,1,0.70,1
torchinferno,self_consistency,8,845.16,0.00,1448.59,1,0.69,1
torchinferno,self_consistency,9,1001.74,0.00,1426.33,1,0.70,1
torchinferno,self_consistency,10,1006.61,0.00,1431.29,1,0.70,1
torchinferno,self_consistency,11,851.65,0.00,1454.53,1,0.69,1
torchinferno,self_consistency,12,839.36,0.00,1443.23,1,0.69,1
torchinferno,self_consistency,13,1008.72,0.00,1436.33,1,0.70,1
torchinferno,self_consistency,14,847.78,0.00,1452.89,1,0.69,1
torchinferno,self_consistency,15,1013.18,0.00,1439.57,1,0.69,1
torchinferno,multi_turn,0,612.88,0.00,1374.78,1,0.73,1
torchinferno,multi_turn,1,611.73,0.00,1231.74,1,0.81,1
torchinferno,multi_turn,2,609.94,0.00,619.42,1,1.61,1
torchinferno,multi_turn,3,693.81,0.00,703.28,1,1.42,1
torchinferno,multi_turn,4,1689.62,0.00,1699.13,1,0.59,1
torchinferno,multi_turn,5,523.53,0.00,1227.90,1,0.81,1
torchinferno,multi_turn,6,661.29,0.00,671.00,1,1.49,1
torchinferno,multi_turn,7,645.44,0.00,655.17,1,1.53,1
torchinferno,tree_of_thought,0,191.06,0.00,247.04,1,4.05,1
torchinferno,tree_of_thought,1,185.37,0.00,241.56,1,4.14,1
torchinferno,tree_of_thought,2,189.12,0.00,247.06,1,4.05,1
torchinferno,tree_of_thought,3,186.42,0.00,243.80,1,4.10,1
torchinferno,tree_of_thought,4,80.62,0.00,136.57,1,7.32,1
torchinferno,tree_of_thought,5,80.04,0.00,136.80,1,7.31,1
torchinferno,tree_of_thought,6,77.78,0.00,135.66,1,7.37,1
torchinferno,tree_of_thought,7,81.98,0.00,139.29,1,7.18,1
torchinferno,tree_of_thought,8,168.89,0.00,225.78,1,4.43,1
torchinferno,tree_of_thought,9,165.34,0.00,223.05,1,4.48,1
torchinferno,tree_of_thought,10,170.27,0.00,228.00,1,4.39,1
torchinferno,tree_of_thought,11,650.42,0.00,2736.50,1,0.37,1
torchinferno,tree_of_thought,12,81.22,0.00,194.16,1,5.15,1
torchinferno,tree_of_thought,13,78.75,0.00,192.26,1,5.20,1
torchinferno,tree_of_thought,14,80.35,113.46,193.81,2,10.32,1
torchinferno,tree_of_thought,15,78.05,0.00,191.39,1,5.22,1
torchinferno,tree_of_thought,16,220.47,0.00,524.34,1,1.91,1
torchinferno,tree_of_thought,17,80.53,0.00,137.77,1,7.26,1
torchinferno,tree_of_thought,18,81.13,0.00,139.85,1,7.15,1
torchinferno,tree_of_thought,19,85.35,0.00,143.31,1,6.98,1
torchinferno,tree_of_thought,20,83.41,0.00,142.07,1,7.04,1
torchinferno,tree_of_thought,21,81.08,0.00,136.86,1,7.31,1
torchinferno,tree_of_thought,22,78.69,0.00,135.99,1,7.35,1
torchinferno,tree_of_thought,23,81.83,0.00,139.64,1,7.16,1
torchinferno,tree_of_thought,24,77.59,0.00,135.10,1,7.40,1
