model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-05T23:02:02.958564+00:00

Build Times
provider,build_time_s
torchinferno,40.4
vllm,244.0
sglang,217.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,164.33,114.73,136.37,vllm
ttft_p99_ms,1004.49,243.22,573.98,vllm
tpot_median_ms,46.04,41.50,80.58,vllm
tpot_p99_ms,154.31,131.28,894.00,vllm
e2e_median_ms,213.06,153.91,212.64,vllm
e2e_p99_ms,1050.05,300.60,969.35,vllm
throughput_median_tps,5.98,9.57,5.72,vllm
total_output_tokens,1466,1466,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,157.40,122.80,206.20,vllm
ttft_p99_ms,589.99,328.17,69650.90,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,166.15,148.66,364.77,vllm
e2e_p99_ms,887.20,359.78,70213.29,vllm
throughput_median_tps,6.02,6.73,2.74,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,322.17,150.77,156.17,vllm
ttft_p99_ms,743.34,471.23,294.25,sglang
tpot_median_ms,62.46,50.11,117.43,vllm
tpot_p99_ms,306.69,182.86,924.47,vllm
e2e_median_ms,381.18,190.22,269.36,vllm
e2e_p99_ms,798.91,502.54,972.98,vllm
throughput_median_tps,3.82,7.01,4.75,vllm
total_output_tokens,1456,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,338.73,144.95,93.29,sglang
ttft_last_turn_ms,345.55,156.70,179.48,vllm
ttft_growth_ratio,1.02,1.08,1.92,torchinferno
ttft_first_turn_median_ms,313.19,136.61,51.95,sglang
ttft_first_turn_p99_ms,713.05,400.78,219.12,sglang
ttft_last_turn_median_ms,354.82,141.60,177.02,vllm
ttft_last_turn_p99_ms,580.97,353.70,274.31,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,76.59,33.03,46.96,vllm
ttft_p99_ms,245.41,44.42,453.10,vllm
tpot_median_ms,63.04,21.93,346.00,vllm
tpot_p99_ms,172.57,28.98,1098.07,vllm
e2e_median_ms,106.53,48.69,379.95,vllm
e2e_p99_ms,307.01,118.54,1141.10,vllm
throughput_median_tps,12.87,25.27,3.79,vllm
total_output_tokens,1478,1492,1466,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,282.61,76.77,70.73,sglang
ttft_p99_ms,1346.66,519.00,259.64,sglang
tpot_median_ms,20.11,14.98,22.41,vllm
tpot_p99_ms,35.12,58.31,97.64,torchinferno
e2e_median_ms,989.81,690.79,880.09,vllm
e2e_p99_ms,2382.22,1739.75,1708.18,sglang
throughput_median_tps,36.99,57.71,41.65,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,484.71,0.00,491.82,1,2.03,1,,,,,,,4,,,
torchinferno,few_shot,3,1,504.77,413.69,918.46,2,2.18,1,,,,,,,3,,,
torchinferno,few_shot,5,2,934.47,0.00,950.18,1,1.05,1,,,,,,,5,,,
torchinferno,few_shot,10,3,797.18,0.00,809.73,1,1.23,1,,,,,,,10,,,
torchinferno,few_shot,31,4,414.01,0.00,433.32,1,2.31,1,,,,,,,31,,,
torchinferno,few_shot,17,5,662.33,0.00,680.30,1,1.47,1,,,,,,,17,,,
torchinferno,few_shot,7,6,855.88,0.00,881.25,1,1.13,1,,,,,,,7,,,
torchinferno,few_shot,8,7,834.78,0.00,859.75,1,1.16,1,,,,,,,8,,,
torchinferno,few_shot,11,8,776.55,0.00,800.77,1,1.25,1,,,,,,,11,,,
torchinferno,few_shot,64,9,466.02,0.00,491.25,1,2.04,1,,,,,,,64,,,
torchinferno,few_shot,9,10,811.87,0.00,843.50,1,1.19,1,,,,,,,9,,,
torchinferno,few_shot,12,11,756.19,0.00,786.87,1,1.27,1,,,,,,,12,,,
torchinferno,few_shot,30,12,436.91,27.19,464.10,2,4.31,1,,,,,,,30,,,
torchinferno,few_shot,29,13,451.47,0.00,482.90,1,2.07,1,,,,,,,29,,,
torchinferno,few_shot,25,14,523.76,0.00,555.58,1,1.80,1,,,,,,,25,,,
torchinferno,few_shot,1,15,1029.45,0.00,1062.27,1,0.94,1,,,,,,,1,,,
torchinferno,few_shot,13,16,736.31,42.51,778.83,2,2.57,1,,,,,,,13,,,
torchinferno,few_shot,28,17,470.24,0.00,508.58,1,1.97,1,,,,,,,28,,,
torchinferno,few_shot,0,18,1046.39,37.53,1083.91,2,1.85,1,,,,,,,0,,,
torchinferno,few_shot,23,19,551.51,48.26,599.76,2,3.33,1,,,,,,,23,,,
torchinferno,few_shot,15,20,697.55,48.20,745.75,2,2.68,1,,,,,,,15,,,
torchinferno,few_shot,6,21,880.15,48.86,929.00,2,2.15,1,,,,,,,6,,,
torchinferno,few_shot,26,22,503.88,0.00,553.68,1,1.81,1,,,,,,,26,,,
torchinferno,few_shot,18,23,639.82,54.34,694.16,2,2.88,1,,,,,,,18,,,
torchinferno,few_shot,19,24,622.70,55.27,677.97,2,2.95,1,,,,,,,19,,,
torchinferno,few_shot,16,25,681.54,52.61,734.15,2,2.72,1,,,,,,,16,,,
torchinferno,few_shot,20,26,610.81,52.29,663.10,2,3.02,1,,,,,,,20,,,
torchinferno,few_shot,21,27,597.58,50.23,647.82,2,3.09,1,,,,,,,21,,,
torchinferno,few_shot,32,28,398.73,58.14,456.87,2,4.38,1,,,,,,,32,,,
torchinferno,few_shot,27,29,482.49,64.59,547.08,2,3.66,1,,,,,,,27,,,
torchinferno,few_shot,14,30,721.29,63.34,784.63,2,2.55,1,,,,,,,14,,,
torchinferno,few_shot,2,31,1005.58,61.92,1067.50,2,1.87,1,,,,,,,2,,,
torchinferno,few_shot,24,32,536.69,0.00,604.26,1,1.65,1,,,,,,,24,,,
torchinferno,few_shot,22,33,571.28,69.68,640.96,2,3.12,1,,,,,,,22,,,
torchinferno,few_shot,35,34,434.78,0.00,447.27,1,2.24,1,,,,,,,35,,,
torchinferno,few_shot,47,35,226.00,0.00,239.01,1,4.18,1,,,,,,,47,,,
torchinferno,few_shot,43,36,286.50,0.00,310.07,1,3.23,1,,,,,,,43,,,
torchinferno,few_shot,48,37,219.27,0.00,224.41,1,4.46,1,,,,,,,48,,,
torchinferno,few_shot,41,38,326.44,0.00,349.32,1,2.86,1,,,,,,,41,,,
torchinferno,few_shot,55,39,78.30,0.00,106.21,1,9.41,1,,,,,,,55,,,
torchinferno,few_shot,34,40,448.11,0.00,477.83,1,2.09,1,,,,,,,34,,,
torchinferno,few_shot,53,41,116.54,0.00,147.39,1,6.78,1,,,,,,,53,,,
torchinferno,few_shot,65,42,142.07,0.00,178.08,1,5.62,1,,,,,,,65,,,
torchinferno,few_shot,37,43,388.16,0.00,430.71,1,2.32,1,,,,,,,37,,,
torchinferno,few_shot,44,44,266.11,42.87,308.98,2,6.47,1,,,,,,,44,,,
torchinferno,few_shot,36,45,409.92,41.15,451.07,2,4.43,1,,,,,,,36,,,
torchinferno,few_shot,46,46,250.45,0.00,277.85,1,3.60,1,,,,,,,46,,,
torchinferno,few_shot,39,47,361.01,0.00,402.69,1,2.48,1,,,,,,,39,,,
torchinferno,few_shot,33,48,473.74,35.20,508.94,2,3.93,1,,,,,,,33,,,
torchinferno,few_shot,52,49,136.32,41.84,178.16,2,11.23,1,,,,,,,52,,,
torchinferno,few_shot,42,50,310.38,0.00,353.50,1,2.83,1,,,,,,,42,,,
torchinferno,few_shot,49,51,181.33,52.25,233.58,2,8.56,1,,,,,,,49,,,
torchinferno,few_shot,54,52,94.50,53.71,148.21,2,13.49,1,,,,,,,54,,,
torchinferno,few_shot,45,53,250.88,55.14,306.01,2,6.54,1,,,,,,,45,,,
torchinferno,few_shot,38,54,373.46,0.00,430.35,1,2.32,1,,,,,,,38,,,
torchinferno,few_shot,40,55,348.61,51.37,399.97,2,5.00,1,,,,,,,40,,,
torchinferno,few_shot,51,56,151.89,56.94,208.83,2,9.58,1,,,,,,,51,,,
torchinferno,few_shot,50,57,166.45,62.63,229.08,2,8.73,1,,,,,,,50,,,
torchinferno,few_shot,88,58,120.28,0.00,128.38,1,7.79,1,,,,,,,88,,,
torchinferno,few_shot,87,59,115.97,0.00,130.99,1,7.63,1,,,,,,,87,,,
torchinferno,few_shot,71,60,153.58,0.00,161.33,1,6.20,1,,,,,,,71,,,
torchinferno,few_shot,68,61,156.00,0.00,168.46,1,5.94,1,,,,,,,68,,,
torchinferno,few_shot,96,62,101.87,0.00,122.52,1,8.16,1,,,,,,,96,,,
torchinferno,few_shot,92,63,111.42,0.00,130.70,1,7.65,1,,,,,,,92,,,
torchinferno,few_shot,81,64,136.92,0.00,150.76,1,6.63,1,,,,,,,81,,,
torchinferno,few_shot,69,65,155.12,0.00,172.65,1,5.79,1,,,,,,,69,,,
torchinferno,few_shot,76,66,137.27,0.00,161.78,1,6.18,1,,,,,,,76,,,
